reference_number,event,type,start_date,end_date,theater,campaign,threats,ownership_federal,ownership_local,ownership_private,ownership_state,ownership_unknown,park,integrity,military,interpretive_political,interpretive_commander_loss,interpretive_casualties,interpretive_tactics_strategy,interpretive_public_mind,interpretive_combat_arm,interpretive_military_firsts,interpretive_minority_troops,interpretive_economic,interpretive_archaelolgical,interpretive_logistics,interpretive_individual_bravery,interpretive_group_behavior,interpretive_joint_ops,interpretive_coop_armies,interpretive_naval,military_jim,military_ed,military_bill,protected_acres,protected_percent,county,land_value,priority1,url
MS012,Meridian,Occupation,1864-02-14,1864-02-20,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Meridian Exp and Exp fr Memphis up Yazoo (1864), 02/14/64, II",,0,1,1,1,0,0,Lost,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Lauderale, Meridian, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=129&dt=295
MS013,Okolona,Engagement,1864-02-22,1864-02-22,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Meridian Exp and Exp fr Memphis up Yazoo (1864), 02/14/64, II",Low,0,0,1,0,0,0,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,"Chickasaw, Okolona, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=125&dt=295
MS014,Brice's Cross Roads,Engagement,1864-06-10,1864-06-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Defense of Mississippi (1864), 06/10/64, II",Mod,1,0,1,0,0,1,Good,B,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,Lee,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=126&dt=295
MS015,Tupelo,Engagement,1864-07-14,1864-07-15,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Defense of Mississippi (1864), 06/10/64, II",,1,1,1,1,0,1,Lost,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Lee,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=128&dt=295
MS016,Corinth,Advance & Siege,1862-04-29,1862-06-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Shiloh Campaign (1862), 04/01/62, I",Mod,0,1,1,0,0,0,Fair,B,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,"Alcorn, Corinth, City of",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=357&dt=295
NC001,Hatteras Inlet Batteries,Capture,1861-08-28,1861-08-29,Main Eastern Theater of Operation,"Blockade of Carolina Coast (1861), 08/01/61, III",High,1,0,0,1,0,1,Poor,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,B,,,,Dare,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=132&dt=295
NC002,Roanoke Island,Battle,1862-02-08,1862-02-08,Main Eastern Theater of Operation,"Burnside's North Carolina Expedition (1862), 02/07/62, II",Low,0,0,0,1,0,0,Fair,B,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,B,,,,Dare,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=133&dt=295
NC003,New Berne,Battle,1862-03-14,1862-03-14,Main Eastern Theater of Operation,"Burnside's North Carolina Expedition (1862), 02/07/62, II",Mod,0,0,1,0,0,0,Poor,B,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,,D,,,,Cravern,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=134&dt=295
NC004,Fort Macon,Siege,1862-03-23,1862-04-26,Main Eastern Theater of Operation,"Burnside's North Carolina Expedition (1862), 02/07/62, II",Low,1,0,0,1,0,1,Fair,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,D,,,,Carteret,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=135&dt=295
NC005,South Mills,Engagement,1862-04-19,1862-04-19,Main Eastern Theater of Operation,"Burnside's North Carolina Expedition (1862), 02/07/62, II",Low,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,D,,,,Camden,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=136&dt=295
NC006,Tranter's Creek,Action,1862-06-05,1862-06-05,Main Eastern Theater of Operation,"Burnside's North Carolina Expedition (1862), 02/07/62, II",Low,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Pitt,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=137&dt=295
NC007,Kinston,Engagement,1862-12-14,1862-12-14,Main Eastern Theater of Operation,"Goldsborough Expedition (1862), 12/14/62, III",,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Lenoir,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=138&dt=295
NC008,White Hall [Ferry],Engagement,1862-12-16,1862-12-16,Main Eastern Theater of Operation,"Goldsborough Expedition (1862), 12/14/62, III",Low,0,0,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Wayne,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=147&dt=295
NC009,Goldsborough Bridge,Engagement,1862-12-17,1862-12-17,Main Eastern Theater of Operation,"Goldsborough Expedition (1862), 12/14/62, III",,0,0,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Wayne,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=140&dt=295
NC010,Fort Anderson,Attack,1863-03-14,1863-03-14,Main Eastern Theater of Operation,"Longstreet's Tidewater Operations (1863), 03/14/63, III",Low,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,D,,,,Cravern,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=148&dt=295
NC011,Washington,Siege,1863-03-30,1863-04-20,Main Eastern Theater of Operation,"Longstreet's Tidewater Operations (1863), 03/14/63, III",,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Beaufort,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=141&dt=295
NC012,Plymouth,Capture,1864-04-17,1864-04-20,Main Eastern Theater of Operation,"Ops. against Plymouth and New Berne (1864), 04/01/64, III",,0,1,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,C,,,,"Washington, Plymouth, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=335&dt=295
NC013,Albemarle Sound,Engagement,1864-05-05,1864-05-05,Main Eastern Theater of Operation,"Ops. against Plymouth and New Berne (1864), 04/01/64, III",Low,0,0,0,1,0,0,Good,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,"Chowan, Washington",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=142&dt=295
NC014,Fort Fisher,Expedition,1864-12-07,1864-12-27,Main Eastern Theater of Operation,"Operations against Fort Fisher (1864-1865), 12/07/64, I",High,1,1,1,1,0,1,Poor,C,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,C,,,,New Hanover,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=149&dt=295
NC015,Fort Fisher,Expedition,1865-01-03,1865-01-17,Main Eastern Theater of Operation,"Operations against Fort Fisher (1864-1865), 12/07/64, I",High,1,1,1,1,0,1,Poor,A,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,A,,,200,100,New Hanover,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=143&dt=295
NC016,Wilmington,Occupation,1865-02-22,1865-02-22,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Campaign of the Carolinas (1865), 02/03/65, I",,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,C,D,,,,"New Hanover, Wilmington, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=144&dt=295
NC017,Wyse Fork,Battle,1865-03-08,1865-03-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Campaign of the Carolinas (1865), 02/03/65, I",Mod,0,1,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Lenoir,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=145&dt=295
NC018,Monroe's Cross-Roads,Engagement,1865-03-10,1865-03-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Campaign of the Carolinas (1865), 02/03/65, I",Mod,1,0,0,0,0,0,Good,D,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,D,,,,Hoke,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=318&dt=295
NC019,Averasborough,Battle,1865-03-16,1865-03-16,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Campaign of the Carolinas (1865), 02/03/65, I",Low,0,0,1,0,0,0,Good,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Harnett, Cumberland",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=146&dt=295
NC020,Bentonville,Battle,1865-03-19,1865-03-21,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Campaign of the Carolinas (1865), 02/03/65, I",Mod,0,0,1,1,0,1,Good,A,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,A,,,90,5,Johnston,$1000-1500,1,http://aad.archives.gov/aad/record-detail.jsp?rid=139&dt=295
ND001,Big Mound,Action,1863-07-24,1863-07-24,Trans-Mississippi Theater of Operations,"Sioux Expedition (1863), 07/24/63, III",Low,0,0,1,0,0,0,Fair,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,D,D,,,,Kidder,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=150&dt=295
ND002,Dead Buffalo Lake,Action,1863-07-26,1863-07-26,Trans-Mississippi Theater of Operations,"Sioux Expedition (1863), 07/24/63, III",Low,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,,,Kidder,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=151&dt=295
ND003,Stony Lake,Action,1863-07-28,1863-07-28,Trans-Mississippi Theater of Operations,"Sioux Expedition (1863), 07/24/63, III",Low,0,1,1,0,0,0,Fair,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,D,D,,,,Burleigh,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=152&dt=295
ND004,Whitestone Hill,Action,1863-09-03,1863-09-03,Trans-Mississippi Theater of Operations,"Dakota Expedition (1863), 09/03/63, III",Low,0,0,1,1,0,1,Fair,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,,,Dickey,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=153&dt=295
ND005,Killdeer Mountain,Action,1864-07-28,1864-07-28,Trans-Mississippi Theater of Operations,"Sully's Exp. Agnst Ind.s in Dakota Terr. (1864), 07/28/64, III",Low,0,0,1,1,0,1,Fair,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,C,,,,Dunn,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=154&dt=295
NM001,Valverde,Engagement,1862-02-21,1862-02-21,Trans-Mississippi Theater of Operations,"Sibley's New Mexico Campaign (1862), 11/01/61, I",Low,1,0,1,0,0,0,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Socorro,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=155&dt=295
NM002,Glorieta Pass,Engagement,1862-03-28,1862-03-28,Trans-Mississippi Theater of Operations,"Sibley's New Mexico Campaign (1862), 11/01/61, I",Mod,1,0,1,0,0,1,Fair,A,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,A,,0,0,"Santa Fe, San Miguel",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=156&dt=295
OH001,Buffington Island,Engagement,1863-07-19,1863-07-19,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Morgan's Raid in KY, IN, OH (1863), 07/02/63, III",,0,0,0,0,1,0,Unk,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,C,,,Meigs,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=336&dt=295
OH002,Salineville,Skirmish,1863-07-26,1863-07-26,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Morgan's Raid in KY, IN, OH (1863), 07/02/63, III",,0,0,0,0,1,0,Unk,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Columbiana,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=337&dt=295
OK001,Round Mountain,Engagement,1861-11-19,1861-11-19,Trans-Mississippi Theater of Operations,"Operations in the Indian Territory (1861), 11/19/61, II",,0,0,0,0,1,0,Unk,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,,,,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=157&dt=295
OK002,Chusto-Talasah,Engagement,1861-12-09,1861-12-09,Trans-Mississippi Theater of Operations,"Operations in the Indian Territory (1861), 11/19/61, II",,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,,,Tulsa,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=158&dt=295
OK003,Chustenahlah,Engagement,1861-12-26,1861-12-26,Trans-Mississippi Theater of Operations,"Operations in the Indian Territory (1861), 11/19/61, II",Low,0,1,1,0,0,0,Good,B,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,C,,,Osage,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=159&dt=295
OK004,Old Fort Wayne,Action,1862-10-22,1862-10-22,Trans-Mississippi Theater of Operations,"Offensive [C] North of Boston Mountains (1862), 08/01/62, III",Low,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Deleware,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=160&dt=295
OK005,Middle Boggy Depot,Action,1864-02-13,1864-02-13,Trans-Mississippi Theater of Operations,"Operations in the Indian Territory (1864), 02/01/64,",,0,0,0,0,1,0,Unk,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=338&dt=295
OK006,Cabin Creek,Engagement,1863-07-01,1863-07-02,Trans-Mississippi Theater of Operations,"Ops. [U] tp Drive [C] from Indian Terr. (1863), 07/01/63, II",Low,0,0,1,1,0,0,Good,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Mayes,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=161&dt=295
OK007,Honey Springs,Engagement,1863-07-17,1863-07-17,Trans-Mississippi Theater of Operations,"Ops. [U] tp Drive [C] from Indian Terr. (1863), 07/01/63, II",High,0,0,1,1,0,0,Fair,B,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,,B,,,,"Muskogee, McIntosh",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=308&dt=295
PA001,Hanover,Action,1863-06-30,1863-06-30,Main Eastern Theater of Operation,"Gettysburg Campaign (1863), 06/09/63, I",,0,0,0,0,1,0,Unk,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,York,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=163&dt=295
PA002,Gettysburg,Battle,1863-07-01,1863-07-03,Main Eastern Theater of Operation,"Gettysburg Campaign (1863), 06/09/63, I",Mod,1,0,1,0,0,1,Good,A,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,,,,3700,90,Adams,$2500-6000,1,http://aad.archives.gov/aad/record-detail.jsp?rid=162&dt=295
SC001,Fort Sumter,Bombardment,1861-04-12,1861-04-14,Lower Seaboard Theater of Operation,"Operations in Charleston Harbor (1861), 04/12/61, I",Low,1,0,1,0,0,1,Good,A,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,A,,197,90,Charleston,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=170&dt=295
SC002,Secessionville,Engagement,1862-06-16,1862-06-16,Lower Seaboard Theater of Operation,"Operations [U] Against Charleston (1862), 06/01/62, II",Mod,0,0,1,0,0,0,Fair,B,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,B,,,,Charleston,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=171&dt=295
SC003,Simmon's Bluff,Engagement,1862-06-21,1862-06-21,Lower Seaboard Theater of Operation,"Operations [U] Against Charleston (1862), 06/01/62, II",Low,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Charleston,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=172&dt=295
SC004,Charleston Harbor,Engagement,1863-04-07,1863-04-07,Lower Seaboard Theater of Operation,"Ops. Agnst Defenses of Charleston (1863), 04/07/63, II",Low,1,1,1,1,0,1,Good,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Charleston,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=164&dt=295
SC005,Fort Wagner,Assault,1863-07-11,1863-07-11,Lower Seaboard Theater of Operation,"Ops. Agnst Defenses of Charleston (1863), 04/07/63, II",,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Charleston,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=165&dt=295
SC006,Grimball's Landing,Engagement,1863-07-16,1863-07-16,Lower Seaboard Theater of Operation,"Ops. Agnst Defenses of Charleston (1863), 04/07/63, II",Mod,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Charleston, James Island",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=166&dt=295
SC007,"Fort Wagner,Morris Is",Siege,1863-07-18,1863-09-07,Lower Seaboard Theater of Operation,"Ops. Agnst Defenses of Charleston (1863), 04/07/63, II",,0,0,1,0,0,0,Lost,B,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,B,,,,Charleston,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=313&dt=295
SC008,Fort Sumter,Bombardment,1863-08-17,1863-12-31,Lower Seaboard Theater of Operation,"Ops. Agnst Defenses of Charleston (1863), 04/07/63, II",Low,1,0,1,0,0,1,Fair,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Charleston,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=167&dt=295
SC009,Charleston Harbor,Engagement,1863-09-07,1863-09-08,Lower Seaboard Theater of Operation,"Ops. Agnst Defenses of Charleston (1863), 04/07/63, II",Low,1,1,1,1,0,1,Fair,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Charleston,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=168&dt=295
SC010,Honey Hill,Engagement,1864-11-30,1864-11-30,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Savannah Campaign (1864), 11/22/64, II",Mod,0,0,1,0,0,0,Good,C,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,C,,C,,,Jasper,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=169&dt=295
SC011,Rivers' Bridge,Action,1865-02-03,1865-02-03,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Campaign of the Carolinas (1865), 02/03/65, I",Low,0,0,0,1,0,1,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Bamberg,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=339&dt=295
TN001,Fort Henry,Capture,1862-02-06,1862-02-06,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Breaking the [Conf.] Barrier in the West (1862), 01/01/62, I",,1,0,1,0,0,0,Lost,B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,B,,,,"Stewart, Calloway, KY",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=173&dt=295
TN002,Fort Donelson,Siege,1862-02-12,1862-02-16,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Breaking the [Conf.] Barrier in the West (1862), 01/01/62, I",High,1,0,1,0,0,1,Fair,A,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,,A,,550,15,"Stewart, Dover, City of",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=174&dt=295
TN003,Shiloh,Battle,1862-04-06,1862-04-07,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Shiloh Campaign (1862), 04/01/62, I",Low,1,0,1,0,0,1,Good,A,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,,A,,3782,90,Hardin,$800,0,http://aad.archives.gov/aad/record-detail.jsp?rid=175&dt=295
TN004,Memphis,Naval,1862-06-06,1862-06-06,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Joint Operations [U] on the Middle Miss. R. (1862), 02/28/62, I",,0,0,0,0,1,0,Unk,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,C,,,,"Shelby, Memphis, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=176&dt=295
TN005,Chattanooga,Attack,1862-06-07,1862-06-08,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Heartland [Confederate] Offensive (1862), 08/29/62, I",,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Hamilton, Chattanooga, Catoosa,Dade",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=177&dt=295
TN006,Murfreesborough,Action,1862-07-13,1862-07-13,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Heartland [Confederate] Offensive (1862), 08/29/62, I",,0,1,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,C,,,,"Rutherford, Murfreesborough, City",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=178&dt=295
TN007,Hatchie's Bridge,Engagement,1862-10-05,1862-10-05,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Batt. of Corinth and Pursuit fr Corinth (1862), 10/03/62, I",Low,0,0,1,0,0,1,Good,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Hardeman, McNairy",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=340&dt=295
TN008,Hartsville,Action,1862-12-07,1862-12-07,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Stones River Campaign (1862-63), 12/31/62, I",Low,0,1,1,0,0,0,Fair,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Trousdale,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=179&dt=295
TN009,Jackson,Engagement,1862-12-19,1862-12-19,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Expedition into West Tennessee (1862-63), 12/19/62, III",Low,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,"Hinds, Jackson City",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=309&dt=295
TN010,Stones River,Battle,1862-12-31,1863-01-03,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Stones River Campaign (1862-63), 12/31/62, I",High,1,0,1,0,0,1,Poor,A,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,A,A,,350,10,Rutherford,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=181&dt=295
TN011,Parker's Cross Roads,Engagement,1862-12-31,1862-12-31,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Expedition into West Tennessee (1862-63), 12/19/62, III",Mod,0,1,1,1,0,1,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Henderon,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=183&dt=295
TN012,Dover,Attack,1863-02-03,1863-02-03,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Middle Tennessee Operations (1863), 02/01/63, III",,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,D,,,,"Stewart, Dover, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=341&dt=295
TN013,Thompson's Station,Engagement,1863-03-05,1863-03-05,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Middle Tennessee Operations (1863), 02/01/63, III",High,0,0,1,0,0,0,Good,C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Williamson,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=182&dt=295
TN014,Vaught's Hill,Action,1863-03-20,1863-03-20,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Middle Tennessee Operations (1863), 02/01/63, III",Low,0,0,1,0,0,0,Good,D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Rutherford,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=180&dt=295
TN015,Brentwood,Action,1863-03-25,1863-03-25,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Middle Tennessee Operations (1863), 02/01/63, III",Mod,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Williamson,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=311&dt=295
TN016,Franklin,Engagement,1863-04-10,1863-04-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Middle Tennessee Operations (1863), 02/01/63, III",High,0,1,1,0,0,1,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Williamson, Franklin, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=319&dt=295
TN017,Hoover's Gap,Skirmish,1863-06-24,1863-06-26,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Tullahoma Campaign (or Mid. TN Campaign) (1863), 06/23/63, III",Low,0,0,1,0,0,0,Fair,C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Bedford, Rutherford",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=351&dt=295
TN018,Chattanooga,Bombardment,1863-08-21,1863-08-21,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Chickagmauga Campaign (1863), 08/21/63, I",,0,0,1,0,0,0,Lost,D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Hamilton, Chattanooga, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=184&dt=295
TN019,Blountsville,Engagement,1863-09-22,1863-09-22,Main Western Theater of Operations & the Gulf Approach (1861-1863),"East Tennessee Campaign (1863), 08/16/63, III",,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Sullivan,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=185&dt=295
TN020,Blue Springs,Action,1863-10-10,1863-10-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"East Tennessee Campaign (1863), 08/16/63, III",Mod,0,1,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Greene,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=198&dt=295
TN021,Wauhatchie,Engagement,1863-10-27,1863-10-29,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Reopening of the Tennessee River (1863), 10/26/63, II",,0,0,1,0,0,0,Lost,B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,A,C,,,"Hamilton, Marion, Dade",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=187&dt=295
