battle,battle_name,state,campaign,url,forces_text,strength,results_text,results,study_area,core_area,potnr_boundary
ND004,Whitestone Hill,ND,Operations against the Sioux in North Dakota (1863),http://www.nps.gov/abpp/CWSII/CWSACReportNorthDakotaUpdate.pdf,"Army detachments of: 6th Iowa Cavalry, 2nd Nebraska Cavalry, Dakota Cavalry, 7th Iowa Cavalry, 45th Iowa Infantry [US]; Santee Sioux (Sisseton and Wahpekute), Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]), and Yankton-Yanktonai Sioux (Pabaksa [Cuthead], and Yankton) [I]",,Union victory,Union,2548.96,373.68,2548.96
ND005,Killdeer Mountain,ND,Sully’s Expedition against the Sioux in Dakota Territory (1864),http://www.nps.gov/abpp/CWSII/CWSACReportNorthDakotaUpdate.pdf,"Army detachments of 8th Minnesota Infantry, 2nd Minnesota Cavalry, 3rd Minnesota Battery, Brackett’s Minnesota Battalion of Cavalry, 6th Iowa Cavalry, 7th Iowa Cavalry, Dakota Cavalry Regiment, Nebraska Scouts, Pope’s Prairie Battery [US]; Santee Sioux (Wahpekute), Teton Sioux (Hunkpapa, Miniconjou, Sans Arc, and Sihasapa [Blackfeet]), and Yankton-Yanktonai Sioux (Pabaksa [Cuthead] and Yanktonai) [I]",,Union victory,Union,17339.64,5414.41,17339.64
NM001,Valverde,NM,Sibley’s New Mexico Campaign (1862),http://www.nps.gov/abpp/CWSII/CWSACReportFarWestUpdate.pdf,Department of New Mexico (combination of regular and volunteer units) [US]; Army of New Mexico [CS],,Confederate Victory,Confederate,35432.92,6888.07,32922.45
NM002,Glorieta Pass,NM,Sibley’s New Mexico Campaign (1862),http://www.nps.gov/abpp/CWSII/CWSACReportFarWestUpdate.pdf,"Northern Division, Army of New Mexico [US]; Army of New Mexico [CS]",,Union victory,Union,12994.06,992.36,12602.63
OH001,Buffington Island,OH,"Morgan’s Raid in Kentucky, Indiana, and Ohio (July 1863)",http://www.nps.gov/abpp/CWSII/CWSACReportOhioUpdate.pdf,"Brigade, 3,000 [US]; Brigade, 1,700 [CS]",,Union victory,Union,19725.64,1235.82,11071.99
OH002,Salineville,OH,"Morgan’s Raid in Kentucky, Indiana, Ohio (July 1863)",http://www.nps.gov/abpp/CWSII/CWSACReportOhioUpdate.pdf,"9th Michigan Cavalry, 2,600 [US]; Confederate Army, 800 [CS]",,Union victory,Union,8424.44,956.12,3485.67
OK001,Round Mountain,OK,Operations in the Indian Territory (1861),http://www.nps.gov/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,"Creek, Cherokee, and Seminole allies [US]; Six companies of the First Regiment Choctaw and Chickasaw Mounted Rifles, a detachment of the 9th Texas Cavalry, the Creek Regiment, and the Creek and Seminole Battalion [CS]",,Confederate victory,Confederate,,,
OK002,Chusto-Talasah,OK,Operations in the Indian Territory (1861),http://www.nps.gov/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,"Creek, Cherokee, and Seminole allies [US]; Indian Department [CS]",,Confederate victory,Confederate,6587.66,1081.04,5880.07
OK003,Chustenahlah,OK,Operations in the Indian Territory (1861),http://www.nps.gov/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,"Creek, Cherokee, and Seminole allies [US]; Indian Department [CS]",,Confederate victory,Confederate,11938.81,1722.74,11938.81
OK004,Old Fort Wayne,OK,Operations North of Boston Mountains (1862),http://www.nps.gov/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,"First Division, Army of the Frontier [US]; First Brigade, Indian Department [CS]",,Union victory,Union,2538.7,563.54,2524.75
OK005,Middle Boggy Depot,OK,Operations in the Indian Territory (1864),http://www.nps.gov/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,"Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers [US]; Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment [CS]",,Union victory,Union,,,
OK006,Cabin Creek,OK,Operations to Control Indian Territory (1863),http://www.nps.gov/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,"Fort Scott Relief Column (consisting of six companies of the 2nd Colorado Infantry, one company each of the 3rd Wisconsin, 9th Kansas and 14th Kansas Cavalries, the 1st Kansas Colored Infantry, the 3rd Indian Regiment, and the 2nd Kansas Artillery) [US]; 1st Cherokee Mounted Rifles, First Creek Mounted Volunteers, a detachment of the 29th Texas Cavalry, and a detachment of Martin’s Partisan Rangers [CS]",,Union victory,Union,2161.03,575.17,2161.03
OK007,Honey Springs,OK,Operations to Control Indian Territory (1863),http://www.nps.gov/abpp/CWSII/CWSACReportOklahomaUpdate.pdf,"District of the Frontier [US]; 1st Brigade, Indian Department [CS]",,Union Victory,Union,6470.15,1138.96,6324.96
PA001,Hanover,PA,Gettysburg Campaign (June-August 1863),http://www.nps.gov/abpp/CWSII/CWSACReportPennsylvaniaUpdate.pdf,"3rd Cavalry Division, Army of the Potomac, including Farnsworth’s 1st Brigade and Custer’s 2nd Brigade [US]; Stuart’s Cavalry Division, Army of Northern Virginia [CS]",,Inconclusive,Inconclusive,6179.85,789.23,0
PA002,Gettysburg,PA,Gettysburg Campaign (June-August 1863),http://www.nps.gov/abpp/CWSII/CWSACReportPennsylvaniaUpdate.pdf,Army of the Potomac [US]; Army of Northern Virginia [CS],,Union Victory,Union,43522.59,8585.47,33993.87
SC001,Fort Sumter I,SC,Operations in Charleston Harbor (April 1861),http://www.nps.gov/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,1st United States Artillery [US]; Provisional Forces of the Confederate States in Charleston Harbor [CS],,Confederate victory,Confederate,4389.13,702.43,3948.47
SC002,Secessionville,SC,Operations Against the Charleston (June 1862),http://www.nps.gov/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,"1st and 2nd Divisions, and Williams’ 3rd Brigade, Northern District, Department of the South [US]; Second Military District of South Carolina and the Tower Battery/Fort Lamar garrison [CS]",,Confederate victory,Confederate,3547.53,1108.59,0
SC003,Simmon’s Bluff,SC,Operations Against the Charleston (June 1862),http://www.nps.gov/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,"Gunboat USS Crusader and the transport Planter; Company E, 55th Pennsylvania Volunteer Infantry [US]; Companies A and H, 16th South Carolina Infantry and a section of the Marion Artillery [CS]",,Union victory,Union,3178.93,320.14,0
SC004,Charleston Harbor I,SC,Operations Against the Defenses of Charleston (1863),http://www.nps.gov/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,South Atlantic Blockading Squadron [US]; First Military District of South Carolina [CS],,Confederate victory,Confederate,5164.74,1881.38,4568.74
SC005,Fort Wagner I,SC,Operations Against the Defenses of Charleston (1863),http://www.nps.gov/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,"Elements of the 1st Brigade (100th New York and 7th New Hampshire Infantry) and 2nd Brigade, 2nd Division, X Corps, Department of the South; the USS Catskill, USS Montauk, USS Nahant, and USS Weehawken [US]; Fort Wagner garrison [CS]",,Confederate victory,Confederate,6308.58,2188.12,5234.69
SC006,Grimball’s Landing,SC,Operations against Defenses of Charleston (1863),http://www.nps.gov/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,"1st Division, X Corps, Department of the South; Stono River Flotilla [US]; 1st Sub-division of the 1st Military District, South Carolina [CS]",,Inconclusive,Inconclusive,3624.28,2028.88,2298.98
SC007,Fort Wagner II,SC,Operations Against the Defenses of Charleston (1863),http://www.nps.gov/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,"2nd Division, X Corps, Department of the South, and the South Atlantic Blockading Squadron [US]; Fort Wagner garrison [CS]",,Confederate victory,Confederate,11840.68,5695.22,6043.51
SC008,Fort Sumter II,SC,Operations Against the Defenses of Charleston (1863),http://www.nps.gov/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,"X Corps, Department of the South; South Atlantic Blockading Squadron [US]; Department of South Carolina, Georgia, and Florida, and Fort Sumter garrison [CS]",,Inconclusive,Inconclusive,9367.57,4763.32,5967.43
SC009,Charleston Harbor II,SC,Operations Against the Defenses of Charleston (1863),http://www.nps.gov/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,"X Corps, Department of the South, and the South Atlantic Blockading Squadron [US]; Department of South Carolina, Georgia, and Florida, and the Fort Wagner and Battery Gregg garrisons [CS]",,Confederate victory,Confederate,9407.24,5763.86,5093.82
SC010,Honey Hill,SC,Savannah Campaign (1864),http://www.nps.gov/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,"Coastal Division, Department of the South; Marine Brigade, South Atlantic Blockading Squadron [US]; 1st Division Georgia Militia; 3rd South Carolina Cavalry; 32nd and 47th Georgia Infantry; 1 Section, Stuart’s Company Artillery; 1 Section Depass’ Light Battery; 1 Gun of Kanapaux’s Company Light Artillery [CS]",,Confederate victory,Confederate,3926.96,2117.46,3102.71
SC011,Rivers’ Bridge,SC,Campaign of the Carolinas (February-April 1865),http://www.nps.gov/abpp/CWSII/SouthCarolinaBattlefieldProfiles.pdf,"1st and 4th Divisions, XVII Corps, and XV Corps, Army of the Tennessee [US]; Harrison’s Brigade, McLaws’ Division, Department of South Carolina, Georgia, and Florida [CS]",,Union victory,Union,4828.66,512.34,4828.66
TN001,Fort Henry,TN,Federal Penetration up the Cumberland and Tennessee Rivers (1862),http://www.nps.gov/abpp/CWSII/Dandridge to Fort Henry.pdf,Flotilla (seven vessels) [US]; Fort Henry Garrison [CS],,Union victory,Union,5144.12,1159.87,2118.79
TN002,Fort Donelson,TN,Federal Penetration up the Cumberland and Tennessee Rivers (1862),http://www.nps.gov/abpp/CWSII/Dandridge to Fort Henry.pdf,"District of Cairo, Western Flotilla [US]; Fort Donelson Garrison [CS]",,Union victory,Union,7729.89,2982.49,3367.33
TN003,Shiloh,TN,Federal Penetration up the Cumberland and Tennessee Rivers (1862),http://www.nps.gov/abpp/CWSII/Nashville to Spring Hill.pdf,"Army of West Tennessee, Army of the Ohio, USS Tyler and USS Lexington [US]; Army of the Mississippi [CS]",,Union victory,Union,31341.81,7283.32,22539.79
TN004,Memphis I,TN,Joint Operations on the Middle Mississippi River (1862),http://www.nps.gov/abpp/CWSII/Memphis I to Murfreesboro II.pdf,Five ironclads and two U.S. Army Rams [US]; eight C.S. Navy Rams [CS],,Union victory,Union,19818.0,9286.44,12170
TN005,Chattanooga I,TN,Confederate Heartland Offensive (1862),http://www.nps.gov/abpp/CWSII/Campbells Station to Columbia.pdf,Negley’s division [US]; Chattanooga garrison [CS],,Union victory,Union,2115.91,1085.14,
TN006,Murfreesboro I,TN,Confederate Heartland Offensive (1862),http://www.nps.gov/abpp/CWSII/Memphis I to Murfreesboro II.pdf,Murfreesboro Garrison [US]; Forrest’s Cavalry Brigade [CS],,Confederate victory,Confederate,8639.61,328.82,
TN007,Hatchie’s Bridge (Davis Bridge),TN,Iuka and Corinth Operations (1862),http://www.nps.gov/abpp/CWSII/Hartsville to Johnsonville.pdf,"Division, Union Army of West Tennessee [US]; Army of West Tennessee[CS]",,Union victory,Union,5754.16,798.19,5103.19
TN008,Hartsville,TN,Stones River Campaign (1862-63),http://www.nps.gov/abpp/CWSII/Hartsville to Johnsonville.pdf,"39th Brigade, XIV Army Corps (Army of the Cumberland) [US]; expeditionary force (two brigades) [CS]",,Confederate victory,Confederate,8044.71,679.95,7507.25
TN009,Jackson,TN,Forrest’s Expedition into West Tennessee (1862-63),http://www.nps.gov/abpp/CWSII/Hartsville to Johnsonville.pdf,Two regiments from the Jackson Garrison [US]; Detachment of Forrest’s Cavalry Division [CS],,Confederate victory,Confederate,2068.23,148.89,1615.61
TN010,Stones River,TN,Stones River Campaign (1862-63),http://www.nps.gov/abpp/CWSII/Stones River to Wauhatchie.pdf,Army of the Cumberland [US]; Army of Tennessee [CS],,Union victory,Union,15087.32,5148.66,3121.01
TN011,Parker’s Cross Roads,TN,Forrest’s Expedition into West Tennessee (1862-63),http://www.nps.gov/abpp/CWSII/Nashville to Spring Hill.pdf,Two brigades [US]; Forrest’s Cavalry Brigade [CS],,Confederate victory,Confederate,7716.82,1287.34,2664.48
TN012,Dover,TN,Middle Tennessee Operations (1863),http://www.nps.gov/abpp/CWSII/Dandridge to Fort Henry.pdf,"Garrison (approx. 800) [US]; Cavalry Division (approx. 2,500) [CS]",,Union victory,Union,2931.62,642.79,750.94
TN013,Thompson’s Station,TN,Middle Tennessee Operations (1863),http://www.nps.gov/abpp/CWSII/Stones River to Wauhatchie.pdf,"Third Brigade, First Division, Reserve Corps, Department of the Cumberland [US]; First Cavalry Corps, Army of Tennessee [CS]",,Confederate victory,Confederate,3473.0,603.18,1356.21
TN014,Vaught’s Hill,TN,Middle Tennessee Operations (1863),http://www.nps.gov/abpp/CWSII/Stones River to Wauhatchie.pdf,"2nd Brigade, 5th Division, XIV Army Corps [US]; Morgan’s Cavalry Division [CS]",,Union victory,Union,3479.82,849.11,2430.15
TN015,Brentwood,TN,Middle Tennessee Operations (1863),http://www.nps.gov/abpp/CWSII/Beans Station to Bulls Gap.pdf,"Detachments of the 22nd Wisconsin Volunteer Infantry, 33rd Indiana, and 19th Michigan Volunteer Infantry regiments, 1st Division, 1st Cavalry Corps (approx. 400) [US]; Forrest’s Division [CS]",,Confederate victory,Confederate,9589.14,1367.26,1346.71
TN016,Franklin I,TN,Middle Tennessee Operations (1863),http://www.nps.gov/abpp/CWSII/Fort Pillow to FranklinII.pdf,"Army of Kentucky [US]; 1st Cavalry Corps, Army of Tennessee [CS]",,Union victory,Union,14386.1,2605.65,
TN017,Hoover’s Gap,TN,Tullahoma Campaign (1863),http://www.nps.gov/abpp/CWSII/Hartsville to Johnsonville.pdf,"Wilder’s Brigade, XIV Army Corps, Army of the Cumberland [US]; two brigades, Stewart’s Division, Hardee’s Corps, Army of Tennessee, and 1st (3rd) Kentucky Cavalry Regiment [CS]",,Union victory,Union,25898.02,3323.32,14213.71
TN018,Chattanooga II,TN,Chickamauga Campaign (1863),http://www.nps.gov/abpp/CWSII/Campbells Station to Columbia.pdf,"Wilder's Brigade, 4th Division, XIV Corps, Army of the Cumberland [US]; Hill's Corps, Army of Tennessee [CS]",,Union victory,Union,6445.71,1244.07,
TN019,Blountsville,TN,East Tennessee Campaign (1863),http://www.nps.gov/abpp/CWSII/Beans Station to Bulls Gap.pdf,"2nd Brigade, 4th Division, XXIII Army Corps, Department of the Ohio [US]; 1st Tennessee Cavalry Regiment and Artillery (approx. 1,200) [CS]",,Union victory,Union,1549.78,459.04,232.57
TN020,Blue Springs,TN,East Tennessee Campaign (1863),http://www.nps.gov/abpp/CWSII/Beans Station to Bulls Gap.pdf,"Department of the Ohio [US]; 1st Tennessee Volunteer Cavalry Regiment, 4th Kentucky Cavalry Regiment, and some home guard troops and artillery [CS]",,Union victory,Union,3715.33,1405.12,1118.17
TN021,Wauhatchie,TN,Reopening of the Tennessee River (1863),http://www.nps.gov/abpp/CWSII/Stones River to Wauhatchie.pdf,"XI Army Corps and 2nd Division, XII Army Corps [US]; Jenkins Division, Longstreet’s Corps [CS]",,Union victory,Union,11457.05,2001.37,7129.61
TN022,Collierville,TN,Operations on the Memphis & Charleston Railroad (1863),http://www.nps.gov/abpp/CWSII/Campbells Station to Columbia.pdf,"3rd Cavalry Brigade (850) [US]; Cavalry Division (2,500) [CS]",,Union victory,Union,5145.25,325.91,
TN023,Campbell’s Station,TN,Knoxville Campaign (1863),http://www.nps.gov/abpp/CWSII/Campbells Station to Columbia.pdf,Department of the Ohio [US]; Longstreet’s Corps [CS],,Union victory,Union,11258.68,814.55,
TN024,Chattanooga III,TN,Chattanooga-Ringgold Campaign (1863),http://www.nps.gov/abpp/CWSII/Campbells Station to Columbia.pdf,Military Division of the Mississippi [US]; Army of Tennessee [CS],,Union victory,Union,45415.23,19107.3,6740.13
TN025,Fort Sanders,TN,Knoxville Campaign (1863),http://www.nps.gov/abpp/CWSII/Fort Pillow to FranklinII.pdf,Army of the Ohio [US]; Longstreet’s Corps [CS],,Union victory,Union,6933.28,831.14,
TN026,Bean’s Station,TN,Knoxville Campaign (1863),http://www.nps.gov/abpp/CWSII/Beans Station to Bulls Gap.pdf,"Cavalry Corps, Department of the Ohio [US]; Longstreet’s 1st Corps Army of Northern Virginia [CS]",,Confederate victory,Confederate,5347.21,668.61,
TN027,Mossy Creek,TN,"Operations about Dandridge, Tennessee (1863-64)",http://www.nps.gov/abpp/CWSII/Memphis I to Murfreesboro II.pdf,"Cavalry Corps, Army of the Ohio, and 1st Brigade, 2nd Division, XXIII Corps [US]; Martin’s Cavalry Brigade, Department of East Tennessee [CS]",,Union victory,Union,9046.8,5210.26,3959.48
TN028,Dandridge,TN,"Operations about Dandridge, Tennessee (1863-64)",http://www.nps.gov/abpp/CWSII/Dandridge to Fort Henry.pdf,"Cavalry Corps, Army of the Ohio, and Infantry of the IV Army Corps [US]; Department of East Tennessee [CS]",,Confederate victory,Confederate,12276.33,4583.26,5076.05
TN029,Fair Garden,TN,"Operations about Dandridge, Tennessee (1863-64)",http://www.nps.gov/abpp/CWSII/Dandridge to Fort Henry.pdf,"Cavalry Division, Cavalry Corps, Army of the Ohio [US]; Cavalry Brigade, Department of East Tennessee [CS]",,Union victory,Union,10310.31,1371.74,8167.08
TN030,Fort Pillow,TN,Forrest’s Expedition into West Tennessee and Kentucky (1864),http://www.nps.gov/abpp/CWSII/Fort Pillow to FranklinII.pdf,"Fort Pillow Garrison (approx. 600) [US]; Brig. Gen. James R. Chalmers’s 1st Division, Forrest’s Cavalry Corps [CS]",,Confederate victory,Confederate,4470.33,423.09,4427.04
TN031,Memphis II,TN,Forrest’s Defense of Mississippi (1864),http://www.nps.gov/abpp/CWSII/Memphis I to Murfreesboro II.pdf,Memphis Garrison [US]; Forrest’s Cavalry Division [CS],,Confederate victory,Confederate,2473.46,205.63,
TN032,Johnsonville,TN,Franklin-Nashville Campaign (1864),http://www.nps.gov/abpp/CWSII/Hartsville to Johnsonville.pdf,Johnsonville garrison and three gunboats [US]; Forrest’s Cavalry Division [CS],,Confederate victory,Confederate,3804.87,2167.4,1281.01
TN033,Bull’s Gap,TN,Breckinridge’s Advance into East Tennessee (1864),http://www.nps.gov/abpp/CWSII/Beans Station to Bulls Gap.pdf,"Governor’s Guard Brigade, State of Tennessee [US]; Department of Western Virginia and East Tennessee (approximately 2,400) [CS]",,Confederate victory,Confederate,12405.25,603.93,3205.43
TN034,Columbia,TN,Franklin-Nashville Campaign (1864),http://www.nps.gov/abpp/CWSII/Campbells Station to Columbia.pdf,XXIII Army Corps and elements of IV Army Corps [US]; Army of Tennessee [CS],,Confederate victory,Confederate,42912.64,4238.82,6707.3
TN035,Spring Hill,TN,Franklin-Nashville Campaign (1864),http://www.nps.gov/abpp/CWSII/Nashville to Spring Hill.pdf,IV and XXIII Army Corps [US]; Army of Tennessee [CS],,Union victory,Union,7034.77,2278.37,3204.75
TN036,Franklin II,TN,Franklin-Nashville Campaign (1864),http://www.nps.gov/abpp/CWSII/Fort Pillow to FranklinII.pdf,"IV Corps, Army of the Cumberland and XXIII Corps, Army of the Ohio [US]; Army of Tennessee [CS]",,Union victory,Union,13681.15,2610.71,
TN037,Murfreesboro II,TN,Franklin-Nashville Campaign (1864),http://www.nps.gov/abpp/CWSII/Memphis I to Murfreesboro II.pdf,"Murfreesboro Garrison [US]; Forrest’s Cavalry Division, Bate's Infantry Division, and Sears’s and Palmer’s Infantry Brigades [CS]",,Union victory,Union,7174.05,799.52,1335.3
TN038,Nashville,TN,Franklin-Nashville Campaign (1864),http://www.nps.gov/abpp/CWSII/Nashville to Spring Hill.pdf,"IV Corps, XXIII Corps, Detachment of Army of the Tennessee, provisional detachment, and cavalry corps [US]; Army of Tennessee [CS]",,Union victory,Union,39422.5,3840.14,
TX001,Sabine Pass I,TX,Operations to Blockade the Texas Coast (1862-63),http://www.nps.gov/abpp/CWSII/CWSACReportTexasUpdate.pdf,Flotilla of the Western Gulf Blockading Squadron [US]; Garrison at Sabine Pass [CS],,Union victory,Union,6229.72,2665.96,0
TX002,Galveston I,TX,Operations to Blockade the Texas Coast (1862-63),http://www.nps.gov/abpp/CWSII/CWSACReportTexasUpdate.pdf,Mortar Flotilla of the Western Gulf Blockading Squadron [US]; Garrison at Galveston [CS],,Union Victory,Union,20539.74,4765.4,0
TX003,Galveston II,TX,Operations against Galveston (1862-1863),http://www.nps.gov/abpp/CWSII/CWSACReportTexasUpdate.pdf,"Companies D, G, and I, 42nd Massachusetts Volunteer Infantry Regiment, and the Mortar Flotilla of the Western Gulf Blockading Squadron [US]; Department of Texas, New Mexico and Arizona, and the Texas Marine Department [CS]",,Confederate Victory,Confederate,19434.01,3855.6,0
TX005,Palmito Ranch,TX,Expedition from Brazos Santiago (1865),http://www.nps.gov/abpp/CWSII/CWSACReportTexasUpdate.pdf,"Detachments from the 62nd U.S. Colored Infantry Regiment, 2nd Texas Cavalry Regiment, and 34th Indiana Volunteer Infantry [US]; Detachments from Gidding’s Regiment, Anderson’s Battalion of Cavalry, and other Confederate units and southern sympathizers [CS]",,Confederate victory,Confederate,11696.3,3744.78,8964.71
TX006,Sabine Pass II,TX,Operations to Blockade the Texas Coast (1863),http://www.nps.gov/abpp/CWSII/CWSACReportTexasUpdate.pdf,Flotilla of the Western Gulf Blockading Squadron and 150 Army sharpshooters [US]; Garrison of Fort Griffon (Texan Davis Guards) [CS],,Confederate victory,Confederate,6489.15,3377.22,0
VA001,Sewell’s Point,VA,Blockade of the Chesapeake Bay (May-June 1861),http://www.nps.gov/abpp/CWSII/Sappony Church to Spotsylvania Court House.pdf,"Gunboats, 2 [US]; Battery Garrison, unknown [CS]",,Inconclusive,Inconclusive,11568.96,1781.39,9878.91
VA002,Aquia Creek,VA,Blockade of the Chesapeake Bay (May-June 1861),http://www.nps.gov/abpp/CWSII/Aldie to Auburn II.pdf,"Gunboats, 4 [US]; Battery Garrison, approximately 1,000 [CS]",,Inconclusive,Inconclusive,10088.83,1594.14,1069.56
VA003,Big Bethel,VA,Blockade of Chesapeake Bay (May-June 1861),http://www.nps.gov/abpp/CWSII/Balls Bluff to Big Bethel.pdf,"Brigades (3,500 US; 1,200 CS)",,Confederate victory,Confederate,121468.07,684.04,
VA004,Blackburn’s Ford,VA,Manassas Campaign (July 1861),http://www.nps.gov/abpp/CWSII/Blackburns Ford to Buckland Mills.pdf,"Brigades (3,000 US; 7,000 CS)",,Confederate victory,Confederate,1975.38,863.56,482.27
VA005,Manassas I,VA,Manassas Campaign (July 1861),http://www.nps.gov/abpp/CWSII/Lewis Farm to Manassas II.pdf,"Armies (28,450 US; 32,230 CS)",,Confederate victory,Confederate,18052.1,2390.08,8067.5
VA006,Balls Bluff,VA,McClellan’s Operations in Northern Virginia (October-December 1861),http://www.nps.gov/abpp/CWSII/Balls Bluff to Big Bethel.pdf,"Brigades (2,000 US; 1,600 CS)",,Confederate victory,Confederate,10436.23,2620.64,1072.29
VA007,Dranesville,VA,McClellan’s Operations in Northern Virginia (October-December 1861),http://www.nps.gov/abpp/CWSII/Deep Bottom II to Drewrys Bluff.pdf,"Brigades (approximately 5,000 US; approximately 4,000 CS)",,Union victory,Union,1272.24,742.89,
VA008,Hampton Roads,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Hampton Roads to High Bridge.pdf,"Warships, 4 [US]; Warship, 1 [CS]",,Inconclusive,Inconclusive,46034.51,13686.42,35040.82
VA009,Yorktown,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Winchester II to Yorktown.pdf,"Armies (118,000 US; 53,000 CS)",,Inconclusive,Inconclusive,63960.79,5905.9,17734.22
VA010,Williamsburg,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Williamsburg to Winchester I.pdf,"Corps, 40,768 [US]; Divisions, 31,823 [CS]",,Inconclusive,Inconclusive,10369.37,1575.42,1075.23
VA011,Eltham’s Landing,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Elthams Landing to Five Forks.pdf,"Divisions (4 Gunboats, approximately 11,000 US; approximately 11,000 CS)",,Inconclusive,Inconclusive,9717.4,2924.83,8749.47
VA012,Drewry’s Bluff,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Deep Bottom II to Drewrys Bluff.pdf,"Gunboats, 5 [US]; Battery Garrison, unknown [CS]",,Confederate victory,Confederate,564.83,258.34,550.95
VA013,Hanover Courthouse,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Hampton Roads to High Bridge.pdf,"Division, 12,000 [US]; Brigade, 4,000 [CS]",,Union victory,Union,7746.83,2078.07,6813.7
VA014,Seven Pines,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Sappony Church to Spotsylvania Court House.pdf,"Corps (34,000 US; 39,000 CS)",,Inconclusive,Inconclusive,11578.55,4037.55,3085.65
VA015,Oak Grove,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Oak Grove to Opequon.pdf,Divisions (unknown US; unknown CS),,Inconclusive (Union forces withdrew to their lines),Inconclusive,5881.98,2539.47,
VA016,Beaver Dam Creek,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Balls Bluff to Big Bethel.pdf,"Corps, 15,631 [US]; Divisions, 16,356 [CS]",,Union victory,Union,14908.23,2687.25,4184.59
VA017,Gaines’ Mill,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Gaines Mill to Guard Hill.pdf,"Corps, 34,214 [US]; Army, 57,018 [CS]",,Confederate victory,Confederate,11545.33,3331.36,7641.4
VA018,Garnett’s and Golding’s Farm,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Gaines Mill to Guard Hill.pdf,Divisions (unknown US; unknown CS),,Inconclusive,Inconclusive,4683.88,1970.63,960.7
VA019,Savage’s Station,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Sappony Church to Spotsylvania Court House.pdf,"II Corps, 26,000 [US]; Division, 14,000 [CS]",,Inconclusive,Inconclusive,17279.88,1925.84,8490.79
VA020,White Oak Swamp/Glendale,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/White oak Road to Wilderness.pdf,"Armies (32,000 US; 29,000 CS)",,Inconclusive (Union withdrawal continued),Inconclusive,16497.36,5231.68,11969.83
VA021,Malvern Hill,VA,Peninsula Campaign (March-September 1862),http://www.nps.gov/abpp/CWSII/Lewis Farm to Manassas II.pdf,"Armies (approximately 80,000 US; approximately 80,000 CS)",,Union victory,Union,9659.0,3229.24,8718.15
VA022,Cedar Mountain,VA,Northern Virginia Campaign (June-September 1862),http://www.nps.gov/abpp/CWSII/Cedar Creek to Chancellorsville.pdf,"Divisions (8,030 US; 16,868 CS)",,Confederate victory,Confederate,9812.46,3225.71,9583.97
VA023,Rappahannock Station I,VA,Northern Virginia Campaign (June-September 1862),http://www.nps.gov/abpp/CWSII/Rappahannock I and II.pdf,Brigades (unknown US; unknown CS),,Inconclusive,Inconclusive,34745.39,2358.46,28464
VA024,Manassas Station Operations,VA,Northern Virginia Campaign (June-September 1862),http://www.nps.gov/abpp/CWSII/Manassas Gap to Middleburg.pdf,Brigades,,Confederate victory,Confederate,11279.66,3771.22,2491.78
VA025,Thoroughfare Gap,VA,Northern Virginia Campaign (June-September 1862),http://www.nps.gov/abpp/CWSII/Thoroughfare Gap to Upperville.pdf,Divisions (unknown US; unknown CS),,Confederate victory,Confederate,3872.19,825.78,3488.62
VA026,Manassas II,VA,Northern Virginia Campaign (June-September 1862),http://www.nps.gov/abpp/CWSII/Lewis Farm to Manassas II.pdf,"Armies (approximately 63,000 US; approximately 55,000 CS)",,Confederate victory,Confederate,17346.5,6890.13,8006.36
