page,year,date,locality,union_troops_engaged,union_killed,union_wounded,union_missing,confederate_killed,confederate_wounded,confederate_missing,remarks
,,Oct. 26th,"Cano Creek, Alabama","1st Division. Fifteenth Corps, commanded by Major General Osterhaus",2,6,,10,30,,Official Report of General Sherman. Also designated Bear Creek and Tuscumbia
,,Oct. 26th,"Philadelphia, Tennessee",,3,,,,3,5,Confederate official reports
,,Oct. 26th,"Vincent’s Cross Roads, Tishamingo County, Mississippi","1st Alabama Union Cavalry, commanded by Colonel G. E. Spencer",14,25,,,,,"Official. Also known as Bay Springs. Casualty Return, S. G. O"
,,Oct. 27th,"Brown’s Ferry, Tennessee","Detachments from the 5th, 6th. and 23d Kentucky, 1st. 6th, 41st, 93d, and 124th Ohio, and 6th Indiana Volunteers, of the 2d Brigade, Hazen’s, 3d Division, Fourth Corps, Army of the Cumberland",5,21,9,,,6,"Official Report of Brigadier General W. F. Smith, commanding"
,,Oct. 27th,"Wauhatchie, Tennessee","Eleventh Corps, Major General O. O. Howard, and 2d Division. Geary’s. Twelfth Corps, commanded by Major General Joseph Hooker",76,339,22,300,1200,100,"Official Report of Major Gen. George H. Thomas, commanding Army of the Cumberland. Casualty List, S. G. O. Appendix to Part I, Medical and Surgical History of the War, page 282"
,,Oct. 28th,"Clarksville, Arkansas",3d Wisconsin Cavalry,,,,,,,"Report of Adjutant General of Wisconsin, 1865, page 620"
,,Oct. 28th,"Leiper's Ferry, Tennessee",11th and 37th Kentucky and 112th Illinois Volunteers,2,5,15,,,,"Official reports, Union and Confederate"
,,Oct. 29th,"Cherokee Station, Alabama","1st Division of the Fifteenth Corps, commanded by Major General Osterhaus",,,,,,,
,,Nov. 1st,"Washington, North Carolina",,,,,5,8,,Unofficial telegrams
,,Nov. 1st,"Fayetteville, Tennessee",4th Indiana Cavalry,,,,,,,Report of Adjutant General of Indiana. Vol. III. page 20
,,Nor. 2d,"Brazios De Santiago, Texas","Troops of the Thirteenth Corps, commanded by Brig. General N. J. T. Dana",,,,,,,Official Report of Major General N. P. Banks
,,Nov. 3d,"Centreville and Piney Factory, Tenn.","A mixed command, under Lieutenant Colonel Scully, 10th Tennessee Volunteers",,,,15,,66,Official Report of Major General G. H. Thomas
,,Nov. 3d,"Grand Coteau, Louisiana","First Corps, Major General J. F. Reynolds; Second Corps, Major General D. N. Church; Third Corps, Major General D. E. Sickles; Fifth Corps, Major General G. G. Meade; Sixth Corps, Major General J. Sedgwick; Eleventh Corps, Major General O. O. Howard; Twelfth Corps, Major General H. W. Slocum. —Army of the Potomao, commanded by Major General Joseph Hooker. ",26,124,576,60,320,65,Official Report of Major General E. O. C. Ord. Also designated as Bayou Bourbeaux and Carrion Crow Bayou
,,Nov. 3d,"Colliersville, Tennessee","Cavalry Brigade, Sixteenth Corps, commanded by Col. Hatch, 2d Iowa Cavalry",4,16,,,,14,
,,Nov. 4th,"Lawrenceburg, Tennessee",14th Michigan Mounted Infantry,,3,,8,7,24,Official Report of Major General Thomas
,,Nov. 4th,"Moscow, Tennessee","Cavalry Brigade, Sixteenth Corps, commanded by Col. Hatch, 2d Iowa Cavalry",3,41,41,,100,,
,,Nov. 4th,"Metly’s Ford, Little Tennessee River","Cavalry of the Army of the Ohio, commanded by Gen. Sanders",,,,,,44,
92,,Nov. 5th,"Mill Point, Pocahontas County, West Virginia","14th Pennsylvania and 3d West Virginia Cavalry, commanded by Brigadier General W. W. Averill",,,,,,,Official Report of Brigadier General B. F. Kelley
,,Nov. 6th,"Kincaels, Tennessee",,,,33,,,,
,,Nov. 6th,"Rogersville, Tennessee","7th Ohio Cavalry, 2d Tennessee Mounted Infantry, and 2d Illinois Battery, commanded by Colonel Garrard, 7th Ohio Cavalry",5,12,650,10,20,,"Ohio in the War, Vol. 2, page POO. Official Report of Brig. General Ransom, C. S. A"
,,Nov. 6th,"Droop Mountain, Virginia","14th Pennsylvania and 2d and 5th West Virginia Cavalry; 8th and 10th West Virginia and 28th Ohio Volunteers, and Battery B, West Virginia Artillery, commanded by Brigadier General W. W. Averill",31,94,1,50,250,100,Official Report of Brigadier General B. F. Kelley U. S. V
,,Nov. 7th,"Rappahannock Station, Virginia","5th Wisconsin, 5th and 5th Maine, 49th and 119th Penn-sylvania, and 121st New York Volunteers, supported by the remainder of the Sixth Corps, Sedgwick’s, and a portion of the Fifth Corps, Army of the Potomac",,370 kw,,11 ,98,1629,"Official Reports of Major General Meade, commanding, and Lieutenant General Leo, C. S. A"
,,Nov. 7th,"Kelly’s Ford, Virginia","1st U. S. Sharpshooters, 40th New York, 1st and 20th Indiana, 3d and 5th Michigan, and 110th Pennsylvania Volunteers, supported by the remainder of the Third Corps, Major General French, Army of the Potomac",,70 kw,,5,59,295,"Official Report of Major General Meade, U. S. V., and Lieutenant General R. E. Lee, C. S. A"
,,Nov. 7th,"Stevensburg, Virginia","3d Cavalry Division, Army of the Potomac, commanded by Brigadier General Kilpatrick",,,,,,,
,,Nov. 8th,"Clarksville, Arkansas",3d Wisconsin Cavalry,2,,,,,,"Report of Adjutant General of Wisconsin, 1865, page 620"
,,Nov. 8th,"Muddy Run, near Culpeper, Virginia","1st Division, Cavalry Corps, Army of the Potomac",4,25,,,,,"Casualty List, S. G. O"
,,Nov. 9th,"Bayou Sara, Mississippi",,,,25,,3,,Confederate official reports
,,Nov. 11th,"Natchez, Mississippi",58th U. S. Colored Troops (6th Mississippi),4,6,1,4,8,,Official
,,Nov. 12th,"Roseville, Arkansas",Two companies 2d Kansas Cavalry,1,,5,,,,Official
,,Nov. 13th,"Trinity River, California",Two companies 1st Battalion California Mountaineer Infantry,,2,,,,,Official
,,Nov. 13th,"Mill Creek Valley, West Virginia",,,,,,,,
,,Nov. 13th,"Palmyra, Tennessee","Mounted infantry, commanded by Captain Cutter",,2,,2,5,1,Official Report of Major General Thomas
,,Nov. 14th,"Huff’s Ferry, Tennessee","111th Ohio, 107th Illinois, 11th and 13th Kentucky, and 23d Michigan Vols., and 24th Michigan Battery",,,100 kwm,,,,
,,Nov. 14th,"Rockford, Tennessee","1st Kentucky Cavalry and 45th Ohio Mounted Infantry, commanded by Colonel S. G. Adams, 1st Kentucky Cavalry",,25,,,,,Official
,,Nov. 14th,"Marysville, Tennessee",11th Kentucky Cavalry,,,100 kwm,,,,
,,Nov. 15th,"Loudon Creek, Tennessee",111th Ohio Volunteers,4,12,,6,10,,"Ohio in the War, Vol. 2, page 591"
,,Nov. 15th,"Lenoirs, Tennessee","Cavalry and infantry of the Army of the Ohio, covering retreat of Major General Burnside’s forces on Knoxville",,,,,,,
93,,Nov. 15th,"Holston River, near Knoxville, Tenn.","11th Kentucky, 45th Ohio, and 37th Kentucky Mounted Infantry, of the Army of the Ohio",,,,,,,
,,Nov. 16th,"Charles City Cross Roads, Virginia","Cavalry expedition, commanded by Colonel West",2,5,,,,90,
,,Nov. 16th,"Campbell's Station, Tennessee","Ninth Corps, Major General Ferrero; 2d Division, Twenty-third Corps, Brig. General Julius White; and Cavalry, commanded by General Sanders, — Army of the Ohio, commanded by Major General A. E. Burnside",60,340,,,,570 kwm,"Casualty List, S. G. O. Brigadier Generals Wm. P. Sanders and Warfield, wounded"
,,Nov. 17th to Dec. 4th,"Siege of Knoxville, Tennessee","Army of the Ohio, Major General Burnside",,,,,,,
,,Nov. 17th,"Willow Creek, California",1st California Battalion Mountaineer Infantry,,5,,,,,Official
,,Nov. 17th,"Mount Jackson, Virginia",1st New York Cavalry,2,3,3,,,27,Official Report of Brig. General J. C. Sullivan
,,Nov. 17th,"Mustang Island, near Aranzas Pass, Texas","13th and 14th Maine, 34th Iowa, and 8th Indiana Vols., and Battery F, 1st Missouri Artillery, commanded by Brigadier General N. J. T. Dana",,,,,,,Report of Major General N. P. Banks
,,Nov. 18th,"Carrion Crow Bayou, Louisiana",6th Missouri Cavalry,,,,,,,
,,Nov. 19th,"Union City, Tennessee","2d Illinois Cavalry, commanded by Captain F. B. Moore",1,,,11,,53,
,,Nov. 21st,"Water Proof, Louisiana",Steamer Welcome,,,,,,,
,,Nov. 23d to 25th,"Chattanooga, Tennessee","Fourth Corps, Major General G. Granger, and Fourteenth Corps, Major General J. M. Palmer, —Army of the Cumberland, Major General George H. Thomas; Eleventh Corps, Major General O. O. Howard, and Geary’s Division of the Twelfth Corps, Major General Joseph E. Hooker; and Fifteenth Corps, Army of the Tennessee, Major General W. T. Sherman",757,4529,330,361,2181,6142,"Official Report of Major General U. S. Grant, commanding . Casualty List, S. G. O. Appendix to Part I, Medical and Surgical History of the War, page 283. In the battle of Chattanooga are included the engagements at Orchard Knob on the 23d, Lookout Mountain on the 24th. and Missionary Ridge on the 25th. Among the casualties were Brigadier Generals J. M. Corse, G. A. Smith, and Matthies, U. S. V., wounded"
,,Nov. 24th,"Barnwell’s Island, South Carolina","33d U. S. Colored Troops (1st South Carolina), commanded by Captain Whitney",2,7,,,,,Official
,,Nov. 26th,"Bonfouca, Louisiana","31st Massachusetts Volunteers and 4th Massachusetts Battery, commanded by Captain G. S. Darling",,8,,,,,"Report of Adjutant General of Massachusetts, 1863, page 985"
,,Nov. 26th,"Sparta, Tennessee","1st Tennessee and 9th Pennsylvania Cavalry, commanded  by Lieut. Colonel J. P. Brownlow",,,,1,2,10,Official Report of Major General Thomas
,,Nov. 26th,"Beersheba Springs, Tennessee","Alabama and Tennessee Scouts, commanded by Captain Brixby",,,,,,20,Official
,,Nov. 25th,"Greenville, North Carolina","12th New York Cavalry, 1st North Carolina Volunteers, and 24th New York Battery, commanded by Captain G. W. Graham",1,,,,,50,
,,Nov. 26th,"Warm Springs, North Carolina",,,30,,,,,
,,Nov. 26th,"Kingston, Tennessee","Cavalry of the Army of the Ohio, commanded by Col. Byrd",,,,,,,
,,Nov. 26th to 28th,"Operations at Mine Run, Virginia","First Corps, Major General John Newton; Second Corps, Major General G. K. Warren; Third Corps, Major General French; Fifth Corps. Major General Sykes; Sixth Corps, Major General John Sedgwick ; and 1st and 2d Divisions Cavalry, Army of the Potomac",100,400,,100,400,,"List of casualties, S. G. O. Includes the engagements  at Raccoon Ford, Bartlett’s Mills, Robertson’s Tavern, and New Hope, and is designated Locust Grove, Payne’s Tavern, and Orange Grove. Official Reports of Major General Meade, commanding Union, and Lieut. General R. E. Lee, commanding Confederate forces. Among the casualties were Brigadier Generals J. M. Jones and J. E. B. Stuart, wounded"
94,,Nov. 27th,"Ringgold, Greysville, Pea Vine Creek, and Taylor’s Ridge, Georgia","Johnson’s Division, Fourteenth Corps; Osterhaus’s Division, Fifteenth Corps; and Geary’s Division, Twelfth Corps",65,367,,50,200,230,Official Report of Major General U. S. Grant
,,Nov. 27th,"Cleveland, Tennessee","2d Brigade, 2d Cavalry Division, commanded by Col. Eli Long",,,,,,200,Official Report of Major General U. S. Grant
,,Nov. 27th to 29th,"Fort Esperanza, Texas","8th and 18th Indiana, 33d and 99th Illinois, 23d and 34th Iowa, and 13th and 15th Maine Volunteers, 7th Michigan and Co. F, 1st Missouri Battery, —portion of the 1st and 2d Divisions, Thirteenth Corps",1,2,,1,,6,"Official Report of Major General C. C. Washburne, commanding"
,,Nov. 28th,"Louisville, Tennessee",Cth Illinois Cavalry,,,,,,,
,,Nov. 29th,"Fort Sanders, Knoxville, Tennessee",Army of the Ohio Major General A. E. Burnside,20,80,,80,400,300,"See Siege of Knoxville, Nov. 17th"
,,Nov. 30th,"Salyersville, Kentucky",14th Kentucky Volunteers,,,,,,,page 892
,,Dec. 1st,"Ripley, Mississippi","2d Brigade, Cavalry Division, Army of the Tennessee , commanded by Colonel Hatch, 2d Iowa Cavalry",,,,,,,
,,Dec. 2d,"Walker’s Ford, Clinch River, West Virginia","5th Indiana and 14th Illinois Cavalry, 21st Ohio Battery , and 65th, 116th, and 118th Indiana Volunteers",9,39,21,25,50,28,Official
,,Dec. 3d,"Salisbury, Tennessee","2d Brigade, Cavalry Division, Sixteenth Corps, commanded  by Colonel E. Hatch, 2d Iowa Cavalry",,,,,,,
,,Dec. 4th,"Niobrara, Nebraska",One company of the 7th Iowa Cavalry,,,,,,,"Report of Adjutant General of Iowa, 1865, p. 144"
,,Dec. 4th,"Moscow Station, Mississippi","Cavalry Division, Sixteenth Corps, commanded by Brigadier General B. H. Grierson",,175 kw,40,15,40,,"Also designated Wolf River Bridge. Official dispatches of Gen. S. D. Lee, C. S. A. Colonel E. Hatch, U. S. V., wounded"
,,Dec. 6th,"Clinch Mountain, Tennessee",Cavalry of the Army of the Ohio,,,,,,,
,,Dec. 7th,"Natchez, Mississippi",One company of the 4th Iowa Cavalry,,,,,,,
,,Dec. 7th,"Creelsboro', Kentucky",13th Kentucky Cavalry,,,,10,,10,"Report of Adjutant General of Kentucky. Vol. I, page 373"
,,Dec. 7th,"Celina, Tennessee",13th Kentucky Cavalry,,,,5,,13,"Report of Adjutant General of Kentucky, Vol. I, page 373"
,,Dec. 8th,"Princeton, Arkansas",Detachment of Cavalry,,,,8,18,28,"Report of Adjutant General of Iowa, 1867, Vol. II, page 511"
,,Dec. 8th to 21st,"Averill’s raid, Southwestern Virginia","2d, 3d, 4th, and 8th West Virginia Mounted Infantry, 14th Pennsylvania and Dodson’s Battalion Cavalry, and Battery G, West Virginia Artillery",6,5,94,,,200,"Official Report of Brig. General W. W. Averill, commanding"
,,Dec. 10th,"Bean’s Station, Tennessee","Bond’s Brigade of Wolford’s Division of Shackleford’s Cavalry Corps, Army of the Ohio",,,,,,150,
,,Dec. 10th,"Morristown, Tennessee","Garrard’s Brigade of Foster’s Division, Shackleford’s Cavalry Corps, Army of the Ohio",,,,12,20,,
,,Dec. 10th,"Moresburg, Tennessee","Cavalry, Army of the Ohio",,,,,,,
,,Dec. 12th,"Duval’s Bluff, Arkansas",8th Missouri Cavalry,,2,,,,,Official
95,,Dec. 12th,"Big Sewell and Meadow Bluff, West Virginia","l2th Ohio Volunteers, of General Scammon’s command",2,10,,,,,"Casualty List, S. G. O"
,,Dec. 14th,"Bean’s Station, Tennessee","Cavalry Division of the Army of the Ohio, commanded by Major General Shackleford",,700 kw,,,900 kw,,"General Gracie, C. S. A., wounded"
,,Dec. 15th,"Sangster’s Station, Virginia",150th New York Volunteers,,1,4,,,,
,,Dec. 16th,"Blain’s Cross Roads, Tennessee",Army of the Ohio,,,,,,,
,,Dec. 17th and 24th,"Rodney, Mississippi","1st Mississippi Marine Brigade, cavalry and infantry",2,,1,,,,Official
,,Dec. 18th,"Indiantown, North Carolina","36th U. S. Colored Troops (2d North Carolina) and 5th U. S. Colored Troops, commanded by Brigadier General Wild",9,7,,2,11,,Official. Also designat'd Sandy Swamp
,,Dec. 19th,"Barren Fork, Indian Territory","1st and 3d Kansas Indian Home Guards, commanded by Colonel W. A. Phillips",,,,50,,,
,,Dec. 22d,"Cleveland, Tennessee",,1,,6,,,,Confederate sources
,,Dec. 23d,"Jacksonport, Arkansas",3d Missouri Cavalry,,,,,,,Official
,,Dec. 24th and 25th,"Bolivar and Summerville, Tennessee","7th Illinois Cavalry, commanded by Colonel Prince",3,8,29,,,,"Casualty return, S. G. O"
,,Dec. 25th,"Lafayette, Tennessee",117th Illinois Volunteers,,,,,,,"Report of Adjutant General of Illinois, Vol. II, page 537"
,,Dec. 25th,"Legaresville, Stono Inlet, South Carolina",U. S. gunboat Marblehead,3,3,,,,,
,,Dec. 26th,"Port Gibson, Mississippi",Mississippi Marine Brigade of Infantry and Cavalry,,,,,,,Official
,,Dec. 27th and 28th,"Colliersville, Tennessee",Cavalry of the Army of the Tennessee,,,,,,,
,,Dec. 28th,"Charleston, Tennessee","Detachments of infantry and cavalry, commanded by Colonel Laibold, 2d Missouri Volunteers, and Long's 4th Ohio Cavalry, guarding a wagon train",2,15,1,8,39,121,Official Report of Major General Thomas
,,Dec. 29th,"Talbot’s Station and Mossy Creek, Tennessee","1st Brigade, 2d Division, Twenty-third Corps, 1st Tennessee, 1st Wisconsin, and 2d and 4th Indiana Cavalry, and 24th Indiana Battery, commanded by Brig. General S. D. Sturgis",,,,,,,"Ohio in the War, Vol. 2, page 6"
,,Dec. 29th and 30th,"Matagorda Bay, Texas","Three companies of the 13th Maine, assisted by the gunboat Sciota",,,,,,,"Report of Adjutant General of Maine, 1863, p. 80"
,,Dec. 30th,"St. Augustine, Florida",10th Connecticut and 24th Massachusetts Volunteers,4,,25,,,,Reports of Adjutant Generals of Massachusetts and Connecticut
,,Dec. 30th,"Greenville, North Carolina","Detachment of the 12th New York, 23d New York Battery, and 1st North Carolina Volunteers, commanded  by Colonel McChesney",1,6,1,6,,10,Official
,,Dec. 30th,"Waldron, Arkansas",2d Kansas Cavalry,2,6,,,,,Official
,1864,Jan. 1st,"Rectortown, Virginia","1st Maryland Cavalry, Potomac Home Brigade, commanded  by Major H. A. Cole",,10 kw,41,,,,"Partisan Life with Mosby, page 178. Also designated Five Points"
,,Jan. 3d,"Jonesville, Virginia","Detachment of the 10th Illinois Cavalry and 22d Ohio Battery, commanded by Major Beers, 16th Illinois Cavalry",12,48,300,4,12,,"Ohio in the War, Vol. 2, page 883"
,,Jan. 4th,"Fort Sumner, New Mexico","Co. B, 2d California, and Apaches and citizens",,,,40,25,,Fight with the Navajo Indians
,,Jan. 7th,"Martin’s Creek, Arkansas",11th Missouri Cavalry,1,1,13,,,,Official
96,,Jan. 7th,"Madisonville, Louisiana",,,,,,,,
,,Jan. 8th,"Petersburg, West Virginia",,,,,,,,
,,Jan. 9th,"Turman's Ferry, Kentucky","39th Kentucky, Volunteers",,,,,,,Official
,,Jan. 10th,"Loudon Heights, Virginia","1st Maryland Potomac Home Brigade Cavalry, commanded by Major H. A. Cole",2,17,,4,10,3,"Official Report of Brigadier General J. C. Sullivan. Partizan Life with Mosby, page 180"
,,Jan. 10th,"Strawberry Plains, Tennessee",Cavalry,,,,,,,
,,Jan. 12th,"Mayfield, Kentucky",58th Illinois Volunteers,1,1,14,2,,,
,,Jan. 13th,"Mossy Creek, Tennessee","Cavalry, commanded by Colonel McCook",,,,14,,41,
,,Jan. 14th,"Middleton, Tennessee",35th Iowa Volunteers,,,4,,,,
,,Jan. 14th,"Bealton, Virginia",One company of the 9th Massachusetts Volunteers,,2,,3,12,,"Report of Adjutant General of Massachusetts, 1864. page 295"
,,Jan. 14th,"Terrisville, Cosby Creek, Tennessee","Detachments of the loth Pennsylvania and 10th Ohio Cavalry, commanded by Colonel W. J. Palmer, 15th Pennsylvania Cavalry",,,,,,100,"Ohio in the War, Vol. 2, page 816"
,,Jan. 16th to 18th,"Grand Gulf, Mississippi",Cavalry and infantry of the Mississippi Marine Brigade,,3,,,,,Official
,,Jan. 16th and 17th,"Dandridge, Tennessee","Cavalry Division, Army of the Ohio, commanded by Brigadier General Sturgis, and infantry of the Fourth Corps",,150,,,,,
,,Jan. 17th,"Lewisburgh, Arkansas","Detachment of the 2d Arkansas Cavalry, commanded by Captain D. Hamilton",2,,4,6,6,,
,,Jan. 19th,"Branchville, near Pine Bluff, Arkansas","5th Kansas Cavalry, commanded by Colonel Powell Clayton",,,8,,,,"Casualty List, File F, No. 234, S. G. O. Also designated Ivy Ford"
,,Jan. 20th,"Island No. 76, Mississippi","Battery E, 2d Colored Light Artillery",,,3,,,,Official
,,Jan. 20th,"Tracy City, Tennessee",Detachment of the 20th Connecticut Volunteers,2,,,,,,Official Report of Major General G. II. Thomas
,,Jan. 21st,"Near Dalton, Georgia","28th Kentucky Mounted Infantry and 4th Michigan Cavalry, commanded by Colonel W. P. Boone",,,,,,,Official Report of Major General G. II. Thomas
,,Jan. 22d,"Armstrong Ferry, Tennessee",,,,,,,,
,,Jan. 23d,"Rolling Prairie, Arkansas",11th Missouri Cavalry,11,,,,,,Official
,,Jan. 24th,"Baker Springs, Caddo Gap, Arkansas",2d and 6th Kansas Cavalry,1,2,1,6,2,27,Official
,,Jan. 24th,"Tazewell, Tennessee","34th Kentucky and 116th and 118th Indiana Volunteers, 11th Tennessee Cavalry, and 11th Michigan Battery",,,,31,,,"Report of Adjutant General of Kentucky, Vol. II, page 345"
,,Jan. 25th,"Athens, Alabama",,,20,,,30,,Official reports
,,Jan. 26th,"Florence, Alabama","Troops commanded by Colonel A. O. Miller, 72d Indiana Volunteers",,10,,15,30,30,Official Report of Major General G. H. Thomas
,,Jan. 27th,"Cameron, Virginia",Train on the Orange and Alexandria Railroad,,15,,,,,
97,,Jan. 27th,"Fair Gardens, near Seviersville, Tennessee","Cavalry division, Army of the Ohio, commanded by Brigadier General S. D. Sturgis",,100 kw,,05,,100,Official. Also designated French Broad and Kelly’s Ford
,,Jan. 27th,"Scott’s Mills Road, near Knoxville, Tennessee ",13th Kentucky and 23d Michigan Volunteers,1,,12,,,,"Report of Adjutant General of Michigan, 1864, page 181"
,,Jan. 28th,"Tunnel Hill, Georgia","Reconnoisance of part of the Fourteenth Corps, Army of the Cumberland",,2,,,32,,Official Report of Major General Geo. II. Thomas
,,Jan. 28th,Oregon Mountains,1st California Cavalry,,4,,,,,
,,"Jan, 29th","Medley, near Williamsport, West Virginia","23d Illinois, 2d Maryland Potomac Home Brigade, and 1st and 14th West Virginia Volunteers, and 4th West Virginia and Ringgold’s (Pa. ) Cavalry",10,70,,,100,,"List of casualties, File A, No. 451, S. G. O. The Nationals, commanded by Colonel J. W. Snyder, were guarding a wagon train"
,,Jan. 29th,"Cumberland Gap, Tennessee",,,,,,,,
,,Jan. ---,Canyon de Chelly,"Nationals, commanded by Colonel Kit Carson",,,,,,,Engagements with Indians; 23 killed and 150 wounded
,,"Feb. 1st, 2d and 3d","Bachelor Creek, Newport Barracks, and New Berne, North Carolina","132d New York, 9th Vermont, 17th Massachusetts, and 2d North Carolina Volunteers, l2th New York Cavalry, and 3d New York Artillery, commanded by Brigadier General I. W. Palmer",16,50,280,5,30,,"Official reports, Union and Confederate. Casualty List, File A, No. 432, S. G. O. Appendix to Part I, Medical and Surgical History of the War, page 239"
,,Feb. 1st,"Smithfield, Virginia","Detachments from the 3d Pennsylvania Artillery, 20th New York Cavalry, 99th New York and 21st Connecticut Volunteers, and a detachment of seamen from the U. S. steamer Minnesota, on the gunboat “ Smith Briggs. ”",,,90,,,,Official reports
,,Feb. 1st,"Waldron, Arkansas",2d Kansas Cavalry,,1,,,,,
,,Feb. 1st,"New Creek Valley, West Virginia",One company of infantry,2,10,,,,,
,,Feb. 1st to Mar. 8th,"Expedition up the Yazoo, Mississippi","11th Illinois, 47th IL S. Colored Troops (8th Louisiana), 3d U. S. Colored Cavalry (1st Mississippi), and a portion of Rear-Admiral Porter's fleet",,,,,,,"Casualty List, File A, No. 414, S. G. O. Land forces commanded by Colonel J. H. Coates, 11th Illinois"
,,Feb. 3d,"Lebanon, Alabama",Detachment from the Army of the Cumberland,,,,,,,"Official Report of Major General G. H. Thomas. Ohio in the War, Vol. 2, page 294"
,,Feb. 3d,"Liverpool Heights, Mississippi",11th Illinois Volunteers and 47th U. S. Colored Troops (8th Louisiana),6,28,1,,15,,"Casualty List, File A, No. 414, S. G. O. Sec ex  pedition up the Yazoo, February 1st"
,,Feb. 3d,"Patterson Creek, West Virginia",,2,10,5,,,,
,,Feb. 3d,"Springfield, West Virginia","Cavalry, commanded by Lieut. Colonel Thompson",,,,,,,
,,Feb. 3d to Mar. 5th,"Expedition from Vicksburg to Meridian, Mississippi","Veatch’s and A. J. Smith's Divisions of the Sixteenth Corps. Hurlburt’s: Leggett’s, and Crocker’s Divisions of the Seventeenth Corps, McPherson’s; with the 5th and 11th Illinois, 4th Iowa, 10th Missouri, and Foster's Ohio Battalion of Cavalry",21,68,81,,400 kw,200,"Official Report of Major General W. T. Sherman, commanding. Casualty List, File A, No. 414, S. G. O"
,,Feb. 4th,"Rolling Prairie, Missouri",8th Missouri Militia Cavalry,,,,,,,Official
,,Feb. 4th,"Hot Springs, Arkansas",3d Missouri Cavalry,,3,6,,,,Official
,,Feb. 4th,"Champion Hills, Baker's Creek, Raymond, and Bolton Depot, Mississippi","10th Missouri, 4th Iowa. 5th and 11th Illinois, and Foster's Battalion Ohio Cavalry, and a portion of the Seventeenth Corps",16,40,7,10,30,,"See expedition to Meridian, Mississippi, Feb. 3d. Also designated Big Black River"
,,Feb. 4th,"Moorefield, West Virginia","Portion of the troops of the Department of West Virginia, commanded by Colonel J. A. Mulligan, 23d Illinois Volunteers",,60 kw,,,40 kw,,
,,"Feb, 5th","Clinton and Jackson, Mississippi","Cavalry and a portion of the Seventeenth Corps, Major General Sherman's forces",7,30,13,10,35,,"See expedition to Meridian, February 3d"
98,,Feb. 5th,"Qualltown, North Carolina","Detachment of the 14th Illinois Cavalry, commanded by Major Davis",3,6,,,,50,"Official Report of Major General Grant. Also known as Deep Creek. Major General Vance, of the Confederate army, captured"
,,Feb. 5th,"Cape Girardeau, Missouri",2d Missouri MIlitia Cavalry,,,,7,,8,Official
,,Feb. 5th,"Wyatt’s, Mississippi",114th Illinois Volunteers,,,,,,,"Report of Adjutant General of Illinois, Vol. II, page 516"
,,Feb. 6th,"Bolivar, Tennessee",Detachment of the 7th Indiana Cavalry,1,3,,,30,,
,,Feb. 6th,"Morton’s Ford, Virginia","Reconnoissance by a part of the Second Corps, Army of the Potomac",10,201,45,,,100,"Casualty List, S. G. O"
,,Feb. 7th,"Barnett’s Ford, Virginia","1st Division Cavalry, Army of the Potomac, commanded  by Brigadier General Merritt",,20 kw,,,,,"Casualty Return, S. G. O"
,,Feb. 7th,"Vidalia, Louisiana","6th U. S. Heavy Artillery (2d Mississippi), 64th U. S. Colored Troops (7th Louisiana), and 30th Missouri Volunteers",,,,6,10,18,
,,Feb. 8th,"Morton, Mississippi",Cavalry of Major General Sherman’s forces,,,,,,,"Official. See expedition to Meridian, Mississippi, February 3d"
,,Feb. 8th,"Donaldsonville, Louisiana",4th Wisconsin Cavalry,,1,4,,,,Official
,,Feb. 9th,"Near Point Washington, Florida","Detachment of the 7th Vermont Volunteers, commanded  by Lieutenant Ross",,,11,,,,"Report of Adjutant General of Vermont, 1864, page 189"
,,Feb. 9th,"Morgan’s Mills, Spring River, White County, Arkansas","Detachments of the 11th Missouri and 1st Nebraska Cavalry, and 4th Arkansas Infantry",1,4,23,,,65 kwm,"Official Report of Lieutenant Colonel Stephens, 11th Missouri Cavalry, commanding"
,,Feb. 9th and 10th,"Barber’s Place, South Fork, St. Mary’s River, Florida","40th Massachusetts Mounted Volunteers and Independent  Battalion Massachusetts Cavalry, commanded by Colonel Guy V. Henry, 40th Massachusetts Mounted Volunteers",4,13,,2,3,,"Official Report of Brigadier General Seymour. Casualty List, S. G. O. Appendix to Part I, Medical and Surgical History of the War, p. 243"
,,Feb. 10th to 25th,"Smith’s raids from Germantown, Tennessee, co-operating with Sherman’s expedition to Meridian","4th Missouri, 2d New Jersey, 7th Indiana, 19th Penn-sylvania, 2d Iowa, 2d, 3d, 6th, 7th, and 9th Illinois, 3d Tennessee, 4th U. S., and 5th Kentucky Cavalry, 72d Indiana Mounted Infantry, and other regiments composing Smith’s and Grierson’s Cavalry Divisions",25,109,,,,300,"Official Report of Brigadier General W. S. Smith, commanding. Casualty List, S. G. O., File F, page 251"
,,Feb. 12th,"Rock House, Wayne County, West Virginia","14th Kentucky Infantry, commanded by Col. Gallup",,,,12,4,50,
,,Feb. 12th,"Caddo Gap and Scott’s Farm, Arkansas",2d Kansas Cavalry,,3,,,,,Official
,,Feb. 12th,"Lake City, Florida","40th Massachusetts Volunteers and Independent Battalion  Massachusetts Cavalry, commanded by Col. Guy V. Henry",,3,,2,5,,"Casualty List, S. G. O. Official Report of Brig. General F. Seymour, commanding"
,,Feb. 12th,"Decatur, Mississippi","One regiment of the Sixteenth Corps, guarding a wagon train",,,,,,,"See Sherman’s expedition to Meridian, Mississippi, February 3d"
