battle,belligerent,description,commanders,strength,regiments,companies,brigades,divisions,corps,armies,cavalry_regiments,cavalry_brigades,cavalry_divisions,cavalry_corps,cavalry_companies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,infantry_regiments,strength_other,ships,guns
ND005,I,"Santee Sioux (Wahpekute), Teton Sioux (Hunkpapa, Miniconjou, Sans Arc, and Sihasapa [Blackfeet]), and Yankton-Yanktonai Sioux (Pabaksa [Cuthead] and Yanktonai)","[{'fullname': 'Inkpaduta', 'last_name': '', 'first_name': 'Inkpaduta', 'middle_name': '', 'rank': 'Chief', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
ND005,US,"Army detachments of 8th Minnesota Infantry, 2nd Minnesota Cavalry, 3rd Minnesota Battery, Brackett’s Minnesota Battalion of Cavalry, 6th Iowa Cavalry, 7th Iowa Cavalry, Dakota Cavalry Regiment, Nebraska Scouts, Pope’s Prairie Battery","[{'fullname': 'Alfred Sully', 'last_name': 'Sully', 'first_name': 'Alfred', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,1,,,,,,3.5,,,,,1,,,,,,,
NM001,CS,Army of New Mexico,"[{'fullname': 'Henry H. Sibley', 'last_name': 'Sibley', 'first_name': 'Henry', 'middle_name': 'H.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Thomas Green', 'last_name': 'Green', 'first_name': 'Thomas', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
NM001,US,Department of New Mexico (combination of regular and volunteer units),"[{'fullname': 'Edward R. S. Canby', 'last_name': 'Canby', 'first_name': 'Edward', 'middle_name': 'R. S.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
NM002,CS,Army of New Mexico,"[{'fullname': 'Charles L. Pyron', 'last_name': 'Pyron', 'first_name': 'Charles', 'middle_name': 'L.', 'rank': 'Major', 'suffix': ''}, {'fullname': 'William R. Scurry', 'last_name': 'Scurry', 'first_name': 'William', 'middle_name': 'R.', 'rank': 'Lieutenant Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
NM002,US,"Northern Division, Army of New Mexico","[{'fullname': 'John C. Chivington', 'last_name': 'Chivington', 'first_name': 'John', 'middle_name': 'C.', 'rank': 'Major', 'suffix': ''}, {'fullname': 'John P. Slough', 'last_name': 'Slough', 'first_name': 'John', 'middle_name': 'P.', 'rank': 'Colonel', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
OH001,CS,"Brigade, 1,700","[{'fullname': 'John Hunt Morgan', 'last_name': 'Morgan', 'first_name': 'John', 'middle_name': 'Hunt', 'rank': 'Brigadier General', 'suffix': ''}]",1700,,,,,,,,,,,,,,,,,,,
OH001,US,"Brigade, 3,000","[{'fullname': 'Edward H. Hobson', 'last_name': 'Hobson', 'first_name': 'Edward', 'middle_name': 'H.', 'rank': 'Brigadier General', 'suffix': ''}]",3000,,,,,,,,,,,,,,,,,,,
OH002,CS,"Confederate Army, 800","[{'fullname': 'John Hunt Morgan', 'last_name': 'Morgan', 'first_name': 'John', 'middle_name': 'Hunt', 'rank': 'Brigadier General', 'suffix': ''}]",800,,,,,,,,,,,,,,,,,,,
OH002,US,"9th Michigan Cavalry, 2,600","[{'fullname': 'James Shackelford', 'last_name': 'Shackelford', 'first_name': 'James', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",2600,,,,,,,,,,,,,,,,,,,
OK001,CS,"Six companies of the First Regiment Choctaw and Chickasaw Mounted Rifles, a detachment of the 9th Texas Cavalry, the Creek Regiment, and the Creek and Seminole Battalion","[{'fullname': 'Douglas H. Cooper', 'last_name': 'Cooper', 'first_name': 'Douglas', 'middle_name': 'H.', 'rank': 'Colonel', 'suffix': ''}]",,2.5,6,,,,,,,,,,,,,,,,,
OK001,US,"Creek, Cherokee, and Seminole allies","[{'fullname': 'Opothleyahola', 'last_name': '', 'first_name': 'Opothleyahola', 'middle_name': '', 'rank': 'Chief', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
OK002,CS,Indian Department,"[{'fullname': 'Douglas H. Cooper', 'last_name': 'Cooper', 'first_name': 'Douglas', 'middle_name': 'H.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
OK002,US,"Creek, Cherokee, and Seminole allies","[{'fullname': 'Opothleyahola', 'last_name': '', 'first_name': 'Opothleyahola', 'middle_name': '', 'rank': 'Chief', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
OK003,CS,Indian Department,"[{'fullname': 'Douglas H. Cooper', 'last_name': 'Cooper', 'first_name': 'Douglas', 'middle_name': 'H.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
OK003,US,"Creek, Cherokee, and Seminole allies","[{'fullname': 'Opothleyahola', 'last_name': '', 'first_name': 'Opothleyahola', 'middle_name': '', 'rank': 'Chief', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
OK004,CS,"First Brigade, Indian Department","[{'fullname': 'Douglas H. Cooper', 'last_name': 'Cooper', 'first_name': 'Douglas', 'middle_name': 'H.', 'rank': 'Colonel', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
OK004,US,"First Division, Army of the Frontier","[{'fullname': 'James G. Blunt', 'last_name': 'Blunt', 'first_name': 'James', 'middle_name': 'G.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
OK005,CS,"Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment","[{'fullname': 'John Jumper', 'last_name': 'Jumper', 'first_name': 'John', 'middle_name': '', 'rank': 'Lieutenant Colonel', 'suffix': ''}]",,1,,,,,,,,,,1,,,,,,,,
OK005,US,Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers,"[{'fullname': 'Charles Willette', 'last_name': 'Willette', 'first_name': 'Charles', 'middle_name': '', 'rank': 'Major', 'suffix': ''}]",,,,,,,,,,,,3,,,,1,,,,
OK006,CS,"1st Cherokee Mounted Rifles, First Creek Mounted Volunteers, a detachment of the 29th Texas Cavalry, and a detachment of Martin’s Partisan Rangers","[{'fullname': 'Stand Watie', 'last_name': 'Watie', 'first_name': 'Stand', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,3,,,,,,,,,,,,,,,,,,
OK006,US,"Fort Scott Relief Column (consisting of six companies of the 2nd Colorado Infantry, one company each of the 3rd Wisconsin, 9th Kansas and 14th Kansas Cavalries, the 1st Kansas Colored Infantry, the 3rd Indian Regiment, and the 2nd Kansas Artillery)","[{'fullname': 'James M. Williams', 'last_name': 'Williams', 'first_name': 'James', 'middle_name': 'M.', 'rank': 'Colonel', 'suffix': ''}]",,,8,,,,,,,,,2,,,1,,,,,
OK007,CS,"1st Brigade, Indian Department","[{'fullname': 'Douglas H. Cooper', 'last_name': 'Cooper', 'first_name': 'Douglas', 'middle_name': 'H.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
OK007,US,District of the Frontier,"[{'fullname': 'James G. Blunt', 'last_name': 'Blunt', 'first_name': 'James', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
PA001,CS,"Stuart’s Cavalry Division, Army of Northern Virginia","[{'fullname': 'J.E.B. Stuart', 'last_name': 'Stuart', 'first_name': 'J.E.B.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
PA001,US,"3rd Cavalry Division, Army of the Potomac, including Farnsworth’s 1st Brigade and Custer’s 2nd Brigade","[{'fullname': 'Elon J. Farnsworth', 'last_name': 'Farnsworth', 'first_name': 'Elon', 'middle_name': 'J.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'George A. Custer', 'last_name': 'Custer', 'first_name': 'George', 'middle_name': 'A.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,2,,,,,,,,,,,
PA002,CS,Army of Northern Virginia,"[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
PA002,US,Army of the Potomac,"[{'fullname': 'George G. Meade', 'last_name': 'Meade', 'first_name': 'George', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
SC001,CS,Provisional Forces of the Confederate States in Charleston Harbor,"[{'fullname': 'Pierre G. T. Beauregard', 'last_name': 'Beauregard', 'first_name': 'Pierre', 'middle_name': 'G. T.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
SC001,US,1st United States Artillery,"[{'fullname': 'Robert Anderson', 'last_name': 'Anderson', 'first_name': 'Robert', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
SC002,CS,Second Military District of South Carolina and the Tower Battery/Fort Lamar garrison,"[{'fullname': 'Nathan G. Evans', 'last_name': 'Evans', 'first_name': 'Nathan', 'middle_name': 'G.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Thomas G. Lamar', 'last_name': 'Lamar', 'first_name': 'Thomas', 'middle_name': 'G.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
SC002,US,"1st and 2nd Divisions, and Williams’ 3rd Brigade, Northern District, Department of the South","[{'fullname': 'Henry Benham', 'last_name': 'Benham', 'first_name': 'Henry', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,1,2,,,,,,,,,,,,,,,
SC003,CS,"Companies A and H, 16th South Carolina Infantry and a section of the Marion Artillery","[{'fullname': 'Edward L. Parker', 'last_name': 'Parker', 'first_name': 'Edward', 'middle_name': 'L.', 'rank': 'Captain', 'suffix': ''}]",,,2,,,,,,,,,,,,,1,,,,
SC003,US,"Gunboat USS Crusader and the transport Planter; Company E, 55th Pennsylvania Volunteer Infantry","[{'fullname': 'A.C. Rhind', 'last_name': 'Rhind', 'first_name': 'A.C.', 'middle_name': '', 'rank': 'Lieutenant', 'suffix': ''}, {'fullname': 'Horace C. Bennett', 'last_name': 'Bennett', 'first_name': 'Horace', 'middle_name': 'C.', 'rank': 'Captain', 'suffix': ''}]",,,1,,,,,,,,,,,,,,,,1,
SC004,CS,First Military District of South Carolina,"[{'fullname': 'Roswell S. Ripley', 'last_name': 'Ripley', 'first_name': 'Roswell', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
SC004,US,South Atlantic Blockading Squadron,"[{'fullname': 'Samuel F. DuPont', 'last_name': 'DuPont', 'first_name': 'Samuel', 'middle_name': 'F.', 'rank': 'Rear Admiral', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
SC005,CS,Fort Wagner garrison,"[{'fullname': 'Robert F. Graham', 'last_name': 'Graham', 'first_name': 'Robert', 'middle_name': 'F.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
SC005,US,"Elements of the 1st Brigade (100th New York and 7th New Hampshire Infantry) and 2nd Brigade, 2nd Division, X Corps, Department of the South; the USS Catskill, USS Montauk, USS Nahant, and USS Weehawken","[{'fullname': 'Quincy A. Gilmore', 'last_name': 'Gilmore', 'first_name': 'Quincy', 'middle_name': 'A.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'George C. Strong', 'last_name': 'Strong', 'first_name': 'George', 'middle_name': 'C.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'John A. Dahlgren', 'last_name': 'Dahlgren', 'first_name': 'John', 'middle_name': 'A.', 'rank': 'Rear Admiral', 'suffix': ''}]",,,,2,,,,,,,,,,,,,,,4,
SC006,CS,"1st Sub-division of the 1st Military District, South Carolina","[{'fullname': 'Johnson Hagood', 'last_name': 'Hagood', 'first_name': 'Johnson', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,0.5,,,,,,,,,,,,,,,
SC006,US,"1st Division, X Corps, Department of the South; Stono River Flotilla","[{'fullname': 'Alfred H. Terry', 'last_name': 'Terry', 'first_name': 'Alfred', 'middle_name': 'H.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'George B. Balch', 'last_name': 'Balch', 'first_name': 'George', 'middle_name': 'B.', 'rank': 'Commander', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
SC007,CS,Fort Wagner garrison,"[{'fullname': 'William B. Talliferro', 'last_name': 'Talliferro', 'first_name': 'William', 'middle_name': 'B.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
SC007,US,"2nd Division, X Corps, Department of the South, and the South Atlantic Blockading Squadron","[{'fullname': 'Quincy A. Gilmore', 'last_name': 'Gilmore', 'first_name': 'Quincy', 'middle_name': 'A.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Truman A. Seymour', 'last_name': 'Seymour', 'first_name': 'Truman', 'middle_name': 'A.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'John A. Dahlgren', 'last_name': 'Dahlgren', 'first_name': 'John', 'middle_name': 'A.', 'rank': 'Rear Admiral', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
SC008,CS,"Department of South Carolina, Georgia, and Florida, and Fort Sumter garrison",[],,,,,,,,,,,,,,,,,,,,
SC008,US,"X Corps, Department of the South; South Atlantic Blockading Squadron","[{'fullname': 'William Quincy A. Gilmore', 'last_name': 'Gilmore', 'first_name': 'William', 'middle_name': 'Quincy A.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'John A. Dahlgren', 'last_name': 'Dahlgren', 'first_name': 'John', 'middle_name': 'A.', 'rank': 'Rear Admiral', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
SC009,CS,"Department of South Carolina, Georgia, and Florida, and the Fort Wagner and Battery Gregg garrisons","[{'fullname': 'Pierre G. T. Beauregard', 'last_name': 'Beauregard', 'first_name': 'Pierre', 'middle_name': 'G. T.', 'rank': 'General', 'suffix': ''}, {'fullname': 'Lawrence M. Keitt', 'last_name': 'Keitt', 'first_name': 'Lawrence', 'middle_name': 'M.', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'Henry R. Lesesne', 'last_name': 'Lesesne', 'first_name': 'Henry', 'middle_name': 'R.', 'rank': 'Captain', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
SC009,US,"X Corps, Department of the South, and the South Atlantic Blockading Squadron","[{'fullname': 'Quincy A. Gilmore', 'last_name': 'Gilmore', 'first_name': 'Quincy', 'middle_name': 'A.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'John A. Dahlgren', 'last_name': 'Dahlgren', 'first_name': 'John', 'middle_name': 'A.', 'rank': 'Rear Admiral', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
SC010,CS,"1st Division Georgia Militia; 3rd South Carolina Cavalry; 32nd and 47th Georgia Infantry; 1 Section, Stuart’s Company Artillery; 1 Section Depass’ Light Battery; 1 Gun of Kanapaux’s Company Light Artillery","[{'fullname': 'Gustavus W. Smith', 'last_name': 'Smith', 'first_name': 'Gustavus', 'middle_name': 'W.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Charles J. Colcock', 'last_name': 'Colcock', 'first_name': 'Charles', 'middle_name': 'J.', 'rank': 'Colonel', 'suffix': ''}]",,2,,,1,,,,,,,,,,,2,,,,
SC010,US,"Coastal Division, Department of the South; Marine Brigade, South Atlantic Blockading Squadron","[{'fullname': 'John P. Hatch', 'last_name': 'Hatch', 'first_name': 'John', 'middle_name': 'P.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'George H. Preble', 'last_name': 'Preble', 'first_name': 'George', 'middle_name': 'H.', 'rank': 'Commander', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
SC011,CS,"Harrison’s Brigade, McLaws’ Division, Department of South Carolina, Georgia, and Florida","[{'fullname': 'Lafayette McLaws', 'last_name': 'McLaws', 'first_name': 'Lafayette', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
SC011,US,"1st and 4th Divisions, XVII Corps, and XV Corps, Army of the Tennessee","[{'fullname': 'Francis P. Blair , Jr.', 'last_name': 'Blair', 'first_name': 'Francis', 'middle_name': 'P.', 'rank': 'Major General', 'suffix': 'Jr.'}, {'fullname': 'John A. Logan', 'last_name': 'Logan', 'first_name': 'John', 'middle_name': 'A.', 'rank': 'Major General', 'suffix': ''}]",,,,,2,,,,,,,,,,,,,,,
TN001,CS,Fort Henry Garrison,"[{'fullname': 'Lloyd Tilghman', 'last_name': 'Tilghman', 'first_name': 'Lloyd', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
TN001,US,Flotilla (seven vessels),"[{'fullname': 'Ulysses S. Grant', 'last_name': 'Grant', 'first_name': 'Ulysses', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'A.H. Foote', 'last_name': 'Foote', 'first_name': 'A.H.', 'middle_name': '', 'rank': 'Flag Officer', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,7,
TN002,CS,Fort Donelson Garrison,"[{'fullname': 'John B. Floyd', 'last_name': 'Floyd', 'first_name': 'John', 'middle_name': 'B.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Gideon Pillow', 'last_name': 'Pillow', 'first_name': 'Gideon', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Simon B. Buckner', 'last_name': 'Buckner', 'first_name': 'Simon', 'middle_name': 'B.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
TN002,US,"District of Cairo, Western Flotilla","[{'fullname': 'Ulysses S. Grant', 'last_name': 'Grant', 'first_name': 'Ulysses', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'A.H. Foote', 'last_name': 'Foote', 'first_name': 'A.H.', 'middle_name': '', 'rank': 'Flag Officer', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
TN003,CS,Army of the Mississippi,"[{'fullname': 'Albert Sidney Johnston', 'last_name': 'Johnston', 'first_name': 'Albert', 'middle_name': 'Sidney', 'rank': 'General', 'suffix': ''}, {'fullname': 'P.G.T. Beauregard', 'last_name': 'Beauregard', 'first_name': 'P.G.T.', 'middle_name': '', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
TN003,US,"Army of West Tennessee, Army of the Ohio, USS Tyler and USS Lexington","[{'fullname': 'Ulysses S. Grant', 'last_name': 'Grant', 'first_name': 'Ulysses', 'middle_name': 'S.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Don Carlos Buell', 'last_name': 'Buell', 'first_name': 'Don', 'middle_name': 'Carlos', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'William Gwin', 'last_name': 'Gwin', 'first_name': 'William', 'middle_name': '', 'rank': 'Lieutenant', 'suffix': ''}]",,,,,,,2,,,,,,,,,,,,1,
TN004,CS,eight C.S. Navy Rams,"[{'fullname': 'James E. Montgomery', 'last_name': 'Montgomery', 'first_name': 'James', 'middle_name': 'E.', 'rank': 'Captain', 'suffix': ''}, {'fullname': 'M. Jeff Thompson', 'last_name': 'Thompson', 'first_name': 'M.', 'middle_name': 'Jeff', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,8,
TN004,US,Five ironclads and two U.S. Army Rams,"[{'fullname': 'Charles H. Davis', 'last_name': 'Davis', 'first_name': 'Charles', 'middle_name': 'H.', 'rank': 'Flag Officer', 'suffix': ''}, {'fullname': 'Charles Ellet', 'last_name': 'Ellet', 'first_name': 'Charles', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,7,
TN005,CS,Chattanooga garrison,"[{'fullname': 'Edmund Kirby Smith', 'last_name': 'Smith', 'first_name': 'Edmund', 'middle_name': 'Kirby', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
TN005,US,Negley’s division,"[{'fullname': 'James Negley', 'last_name': 'Negley', 'first_name': 'James', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
TN006,CS,Forrest’s Cavalry Brigade,"[{'fullname': 'Nathan Bedford Forrest', 'last_name': 'Forrest', 'first_name': 'Nathan', 'middle_name': 'Bedford', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,1,,,,,,,,,,,
TN006,US,Murfreesboro Garrison,"[{'fullname': 'Thomas T. Crittenden', 'last_name': 'Crittenden', 'first_name': 'Thomas', 'middle_name': 'T.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
TN007,CS,Army of West Tennessee,"[{'fullname': 'Earl Van Dorn', 'last_name': 'Van Dorn', 'first_name': 'Earl', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
TN007,US,"Division, Union Army of West Tennessee","[{'fullname': 'Edward O.C. Ord', 'last_name': 'Ord', 'first_name': 'Edward', 'middle_name': 'O.C.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Stephen A. Hurlbut', 'last_name': 'Hurlbut', 'first_name': 'Stephen', 'middle_name': 'A.', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
TN008,CS,expeditionary force (two brigades),"[{'fullname': 'John Hunt Morgan', 'last_name': 'Morgan', 'first_name': 'John', 'middle_name': 'Hunt', 'rank': 'Brigadier General', 'suffix': ''}]",,,,2,,,,,,,,,,,,,,,,
TN008,US,"39th Brigade, XIV Army Corps (Army of the Cumberland)","[{'fullname': 'Absalom B. Moore', 'last_name': 'Moore', 'first_name': 'Absalom', 'middle_name': 'B.', 'rank': 'Colonel', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
TN009,CS,Detachment of Forrest’s Cavalry Division,"[{'fullname': 'Nathan Bedford Forrest', 'last_name': 'Forrest', 'first_name': 'Nathan', 'middle_name': 'Bedford', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
TN009,US,Two regiments from the Jackson Garrison,"[{'fullname': 'Adolph Englemann', 'last_name': 'Englemann', 'first_name': 'Adolph', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,2,,,,,,,,,,,,,,,,,,
TN010,CS,Army of Tennessee,"[{'fullname': 'Braxton Bragg', 'last_name': 'Bragg', 'first_name': 'Braxton', 'middle_name': '', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
TN010,US,Army of the Cumberland,"[{'fullname': 'William S. Rosecrans', 'last_name': 'Rosecrans', 'first_name': 'William', 'middle_name': 'S.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
TN011,CS,Forrest’s Cavalry Brigade,"[{'fullname': 'Nathan Bedford Forrest', 'last_name': 'Forrest', 'first_name': 'Nathan', 'middle_name': 'Bedford', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,1,,,,,,,,,,,
TN011,US,Two brigades,"[{'fullname': 'Jeremiah C. Sullivan', 'last_name': 'Sullivan', 'first_name': 'Jeremiah', 'middle_name': 'C.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,2,,,,,,,,,,,,,,,,
TN012,CS,"Cavalry Division (approx. 2,500)","[{'fullname': 'Joseph Wheeler', 'last_name': 'Wheeler', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",2500,,,,,,,,,,,,,,,,,,,
TN012,US,Garrison (approx. 800),"[{'fullname': 'Abner C. Harding', 'last_name': 'Harding', 'first_name': 'Abner', 'middle_name': 'C.', 'rank': 'Colonel', 'suffix': ''}]",800,,,,,,,,,,,,,,,,,,,
TN013,CS,"First Cavalry Corps, Army of Tennessee","[{'fullname': 'Earl Van Dorn', 'last_name': 'Van Dorn', 'first_name': 'Earl', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,1,,,,,,,,,
TN013,US,"Third Brigade, First Division, Reserve Corps, Department of the Cumberland","[{'fullname': 'John Coburn', 'last_name': 'Coburn', 'first_name': 'John', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
TN014,CS,Morgan’s Cavalry Division,"[{'fullname': 'John Hunt Morgan', 'last_name': 'Morgan', 'first_name': 'John', 'middle_name': 'Hunt', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
TN014,US,"2nd Brigade, 5th Division, XIV Army Corps","[{'fullname': 'Albert S. Hall', 'last_name': 'Hall', 'first_name': 'Albert', 'middle_name': 'S.', 'rank': 'Colonel', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
TN015,CS,Forrest’s Division,"[{'fullname': 'Nathan Bedford Forrest', 'last_name': 'Forrest', 'first_name': 'Nathan', 'middle_name': 'Bedford', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
TN015,US,"Detachments of the 22nd Wisconsin Volunteer Infantry, 33rd Indiana, and 19th Michigan Volunteer Infantry regiments, 1st Division, 1st Cavalry Corps (approx. 400)","[{'fullname': 'Edward Bloodgood', 'last_name': 'Bloodgood', 'first_name': 'Edward', 'middle_name': '', 'rank': 'Lieutenant Colonel', 'suffix': ''}]",400,,,,,,,,,,,,,,,,,,,
TN016,CS,"1st Cavalry Corps, Army of Tennessee","[{'fullname': 'Earl Van Dorn', 'last_name': 'Van Dorn', 'first_name': 'Earl', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,1,,,,,,,,,
TN016,US,Army of Kentucky,"[{'fullname': 'Gordon Granger', 'last_name': 'Granger', 'first_name': 'Gordon', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
TN017,CS,"two brigades, Stewart’s Division, Hardee’s Corps, Army of Tennessee, and 1st (3rd) Kentucky Cavalry Regiment","[{'fullname': 'Alexander P. Stewart', 'last_name': 'Stewart', 'first_name': 'Alexander', 'middle_name': 'P.', 'rank': 'Major General', 'suffix': ''}]",,,,2,,,,1,,,,,,,,,,,,
TN017,US,"Wilder’s Brigade, XIV Army Corps, Army of the Cumberland","[{'fullname': 'William S. Rosecrans', 'last_name': 'Rosecrans', 'first_name': 'William', 'middle_name': 'S.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'George H. Thomas', 'last_name': 'Thomas', 'first_name': 'George', 'middle_name': 'H.', 'rank': 'Major General', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
TN018,CS,"Hill's Corps, Army of Tennessee",[],,,,,,1,,,,,,,,,,,,,,
TN018,US,"Wilder's Brigade, 4th Division, XIV Corps, Army of the Cumberland","[{'fullname': 'John T. Wilder', 'last_name': 'Wilder', 'first_name': 'John', 'middle_name': 'T.', 'rank': 'Colonel', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
TN019,CS,"1st Tennessee Cavalry Regiment and Artillery (approx. 1,200)","[{'fullname': 'James E. Carter', 'last_name': 'Carter', 'first_name': 'James', 'middle_name': 'E.', 'rank': 'Colonel', 'suffix': ''}]",1200,,,,,,,,,,,,,,,,,,,
TN019,US,"2nd Brigade, 4th Division, XXIII Army Corps, Department of the Ohio","[{'fullname': 'John W. Foster', 'last_name': 'Foster', 'first_name': 'John', 'middle_name': 'W.', 'rank': 'Colonel', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
