battle,combatant,corps,strength,description,killed,divisions,brigades,ironclads,cavalry_regiments,cavalry_brigades,cavalry_corps,cavalry_divisions,gunboats,casualties,strength_min,companies,missing,armies,artillery_batteries,wounded,captured,wooden_ships,rams,regiments,ships,strength_max
TN014,US,,,"2nd Brigade, 5th Division, XIV Army Corps (a combined force of infantry, artillery, and cavalry comprising detachments from six units; approx. 1,300)",,,,,,,,,,62,1300,,,,,,,,,,,1300
TN014,CS,,,"Morgan's Cavalry Division (approx. 3,500)",,,,,,,,,,373,3500,,,,,,,,,,,3500
WV005,US,,,,,,1,,,,,,,80,,,,,,,,,,,,
WV005,CS,,,,,,1,,,,,,,90,,,,,,,,,,,,
NC015,US,1,,"Expeditionary Corps, Army of the James",,,,,,,,,,,,,,,,,,,,,,
NC015,CS,,,Hoke's Division and Fort Fisher Garrison,,1,,,,,,,,,,,,,,,,,,,,
TN005,US,,,Division,,1,,,,,,,,23,,,,,,,,,,,,
TN005,CS,,,Department,,,,,,,,,,65,,,,,,,,,,,,
TN007,US,,,Detachment,,,,,,,,,,500,,,,,,,,,,,,
TN007,CS,,,Army of the West,,,,,,,,,,400,,,,1,,,,,,,,
KY005,US,,,18th Brigade,,,1,,,,,,,27,,,,,,,,,,,,
KY005,CS,,,brigade,,,1,,,,,,,65,,,,,,,,,,,,
VA033,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA033,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
TN022,US,,,3rd Cavalry Brigade (850),,,,,,,,,,60,850,,,,,,,,,,,850
TN022,CS,,,"cavalry division (2,500)",,,,,,,,,,95,2500,,,,,,,,,,,2500
ND001,I,,,Santee and Teton Sioux,,,,,,,,,,13,,,,,,,,,,,,
ND001,US,,,District of Minnesota,,,,,,,,,,,,,,,,,,,,,,
VA108,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA108,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
KS004,US,,,Provisional cavalry division,,,,,,,,1,,,,,,,,,,,,,,
KS004,CS,,,cavalry division,,,,,,,,1,,,,,,,,,,,,,,
TN021,US,1,,"XI Army Corps and 2nd Division, XII Army Corps",,1,,,,,,,,420,,,,,,,,,,,,
TN021,CS,,,Hood's Division,,1,,,,,,,,408,,,,,,,,,,,,
VA120,US,,,"29,444",,,,,,,,,,528,29444,,,,,,,,,,,29444
VA120,CS,,,"9,500",,,,,,,,,,1235,9500,,,,,,,,,,,9500
LA009,US,,,"1st Division, XIX Army Corps and Cavalry Brigade",,1,,,,,,,,150,,,,,,,,,,,,
LA009,CS,,,"small combined infantry, artillery, and cavalry force",,,,,,,,,,100,,,,,,,,,,,,
DC001,US,,,,,,,,,,,,,,,,,,,,,,,,,
DC001,CS,,,,,,,,,,,,,,,,,,,,,,,,,
NC001,US,,,"9th and 20th New York regiments (est. 2,000)",,,,,,,,,,3,2000,,,,,,,,,,,2000
NC001,CS,,,Hatteras Island Garrison (900),,,,,,,,,,770,900,,,,,,,,,,,900
VA020A,US,,,,,,,,,,,,,,,,,1,,,,,,,,
VA020A,CS,,,,,,,,,,,,,,,,,1,,,,,,,,
GA009,US,,,Military Division of the Mississippi,,,,,,,,,,200,,,,,,,,,,,,
GA009,CS,,,Army of Tennessee,,,,,,,,,,,,,,1,,,,,,,,
VA039,US,,,,,,1,,,,,,,,,,,,,,,,,,,
VA039,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
AR015,US,,,Infantry brigade,,,1,,,,,,,1500,,,,,,,,,,,,
AR015,CS,,,two divisions,,2,,,,,,,,293,,,,,,,,,,,,
MO026,US,,,"1st Division, Army of the Border and provisional cavalry division",,1,,,,,,1,,,,,,,,,,,,,,
MO026,CS,,,Shelby and Marmaduke's Divisions,,2,,,,,,,,,,,,,,,,,,,,
TN018,US,,,Wilder's Brigade,,,1,,,,,,,,,,,,,,,,,,,
TN018,CS,1,,Hill's Corps,,,,,,,,,,,,,,,,,,,,,,
LA014,US,,,"Mississippi Marine Brigade, Brigade of 1st Arkansas Volunteers (African Descent) and 10th Louisiana (African Descent)",,,2,,,,,,,120,,,,,,,,,,1,,
LA014,CS,,,"12th and 19th Texas cavalry Regiments, 15th Louisiana Cavalry Battalion, Cameron's Louisiana Battery, and Ralston's Mississippi Battery",,,,,0.5,,,,,,,,,,2,,,,,2,,
VA072,US,,,,,,,,,,,,,4279,,,,,,,,,,,,
VA072,CS,,,,,,,,,,,,,1600,,,,,,,,,,,,
MO007,US,,,"Brigade size force (approx. 2,500-3,500)",,,,,,,,,,,2500,,,,,,,,,,,2500
MO007,CS,,,Missouri State Guard,,,,,,,,,,62,,,,,,,,,,,,
GA001,US,,,The Port Royal Expeditionary Force's Fort Pulaski investment troops,,,,,,,,,,1,,,,,,,,,,,,
GA001,CS,,,Fort Pulaski Garrison,,,,,,,,,,364,,,,,,,,,,,,
VA076,US,,,,,,,,,,,,,,,,,,,,,,,,,
VA076,CS,,,,,,,,,,,,,,,,,,,,,,,,,
MS011,US,,,Army of the Tennessee,,,,,,,,,,10142,,,,1,,,,,,,,
MS011,CS,,,Army of Vicksburg,,,,,,,,,,9091,,,,1,,,,,,,,
LA016,US,,,"2nd Division, XIII Army Corps",,1,,,,,,,,454,,,,,,,,,,,,
LA016,CS,,,forces on the Atchafalaya River,,,,,,,,,,121,,,,,,,,,,,,
AR002,US,,,46th Indiana and Union Gunboat,,,,,,,,,1,135,,,,,,,,,,1,,
AR002,CS,,50,fifty men and C.S. boats,,,,,,,,,,155,,,,,,,,,,,,
WV006,US,,,,,,1,,,,,,,,,,,,,,,,,,,
WV006,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
ND005,I,,,Santee and Teton Sioux,,,,,,,,,,,,,,,,,,,,,,
ND005,US,,,"Detachments from eight units (2,200)",,,,,,,,,,,2200,,,,,,,,,,,2200
MS013,US,,,"Cavalry force (7,000)",,,,,,,,,,100,7000,,,,,,,,,,,7000
MS013,CS,,,Forrest's Cavalry Corps,,,,,,,1,,,50,,,,,,,,,,,,
GA022,US,6,,Six corps,,,,,,,,,,1149,,,,,,,,,,,,
GA022,CS,2,,two corps,,,,,,,,,,2000,,,,,,,,,,,,
MO006,US,,,"Garrison (approx. 3,500)",,,,,,,,,,1774,3500,,,,,,,,,,,3500
MO006,CS,,,"Missouri State Guard (12,000)",,,,,,,,,,100,12000,,,,,,,,,,,12000
LA022,US,,,Banks's Red River Expeditionary Force,,,,,,,,,,,,,,,,,,,,,,
LA022,CS,,,District of West Louisiana,,,,,,,,,,,,,,,,,,,,,,
MS003,US,0.5,,"Right Wing, XIII Army Corps",,,,,,,,,,1776,,,,,,,,,,,,
MS003,CS,,,Department of Mississippi and East Louisiana,,,,,,,,,,207,,,,,,,,,,,,
ND002,I,,,Santee and Teton Sioux,,,,,,,,,,,,,,,,,,,,,,
ND002,US,,,District of Minnesota,,,,,,,,,,,,,,,,,,,,,,
VA125,US,,,,,,1,,,,,,,,,,,,,,,,,,,
VA125,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
MD008,US,,,,,1,,,,,,,,,,,,,,,,,,,,
MD008,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
NC020,US,2,,Sherman's Right Wing (XX and XIV Corps),,,,,,,,,,1646,,,,,,,,,,,,
NC020,CS,,,Johnston's Army,,,,,,,,,,3092,,,,1,,,,,,,,
FL006,US,,,2nd U.S. Colored Infantry and 99th U.S. Colored Infantry,,,,,,,,,,148,,,,,,,,,,2,,
FL006,CS,,,"Kilcrease Artillery; Dunham's Battery; Abell's Battery; 5th Florida Cavalry; 1st Florida Militia; Barwick's Company Reserves; Hodges Company Reserves; Company A, Milton Light Artillery; Companies A, B, and F, Reserves and reinforcements from Georgia amounting to approx. 1,000 men",,,,,,,,,,26,1000,,,,,,,,,,,1000
VA030,US,,,,,,,,,,,,,,,,,,,,,,,,,
VA030,CS,,,,,,,,,,,,,,,,,,,,,,,,,
CO001,I,,,500 Cheyennes and a few Arapahos,,,,,,,,,,200,500,,,,,,,,,,,500
CO001,US,,,Third Colorado Regiment (approx. 700 men),,,,,,,,,,,700,,,,,,,,,,,700
GA021,US,,,Kilpatrick's Cavalry Division,,,,,,,,1,,,,,,,,,,,,,,
GA021,CS,,,Jackson's Cavalry Division,,,,,,,,1,,,,,,,,,,,,,,
FL001,US,,,Santa Rosa Island Garrison (approx. 600 men),,,,,,,,,,67,600,,,,,,,,,,,600
FL001,CS,,,"infantry and artillery detachments (approx. 1,200 men)",,,,,,,,,,87,1200,,,,,,,,,,,1200
VA007,US,,,,,,1,,,,,,,71,,,,,,,,,,,,
VA007,CS,,,,,,1,,,,,,,230,,,,,,,,,,,,
VA089,US,,,,,,,,,,,,,3500,,,,1,,,,,,,,
VA089,CS,,,,,,,,,,,,,4250,,,,1,,,,,,,,
TX002,US,,,,,,,,,,,,,0,,,,,,,,,,,,
TX002,CS,,,,,,,,,,,,,0,,,,,,,,,,,,
VA084,US,1,,,,,,,,,,,,950,,,,,,,,,,,,
VA084,CS,1,,,,,,,,,,,,2900,,,,,,,,,,,,
ND003,I,,,Santee and Teton Sioux,,,,,,,,,,,,,,,,,,,,,,
ND003,US,,,District of Minnesota,,,,,,,,,,,,,,,,,,,,,,
VA052,US,,,,,,1,,,,,,,,,,,,,,,,,,,
VA052,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
MO003,US,,600,"Detachments of 3rd Iowa Infantry, Home Guards, and artillery (approx. 600 men)",,,,,,,,,,56,,,,,,,,,,,,
MO003,CS,,,"4th Division, Missouri State Guard",,1,,,,,,,,70,,,,,,,,,,,,
LA001,US,,,West Gulf Blockading Squadron,,,,,,,,,,229,,,,,,,,,,,,
LA001,CS,,,Garrisons of Forts Jackson and St. Philip and the crews of various ships,,,,,,,,,,782,,,,,,,,,,,,
KY007,US,,,"1st and 2nd Brigades, Army of Kentucky",,,2,,,,,,,4900,,,,,,,,,,,,
KY007,CS,,,Army of Kentucky,,,,,,,,,,750,,,,1,,,,,,,,
MS012,US,,,Department of the Tennessee,,,,,,,,,,,,,,,,,,,,,,
MS012,CS,,,"Department of Alabama, Mississippi and East Louisiana",,,,,,,,,,,,,,,,,,,,,,
SC006,US,,,"3,800",,,,,,,,,,,3800,,,,,,,,,,,3800
SC006,CS,,,"3,000",,,,,,,,,,18,3000,,,,,,,,,,,3000
GA002,US,,,Union Navy Flotilla,,,,,,,,,,,,,,,,,,,,,,
GA002,CS,,,Fort McAllister Garrison,,,,,,,,,,,,,,,,,,,,,,
SC003,US,,,,,,,,,,,,,0,,,,,,,,,,1,,
SC003,CS,,,,,,,,,,,,,0,,,,,,,,,,1,,
KY010,US,,,Union Garrison (approx. 650 men),,,,,,,,,,90,650,,,,,,,,,,,650
KY010,CS,,,Forrest's Cavalry Department,,,,,,,,,,50,,,,,,,,,,,,
ND004,I,,,"Santee, Yankton, Cut-heads, Hunkapapa and Teton Sioux and Blackfeet (1,200-1,500)",,,,,,,,,,750,1200,,,,,,,,,,,1200
ND004,US,,,Northwestern Expedition (600-700),,,,,,,,,,72,600,,,,,,,,,,,600
TN038,US,2,,"IV Army Corps, XXIII Army Corps, Detachment of Army of the Tennessee, provisional detachment, and cavalry corps",,,,,,,1,,,2140,,,,,,,,,,,,
TN038,CS,,,Army of Tennessee,,,,,,,,,,4462,,,,1,,,,,,,,
TN036,US,1,,IV and XXIII Army Corps (Army of the Ohio and Cumberland),,,,,,,,,,2326,,,,,,,,,,,,
TN036,CS,,,Army of Tennessee,,,,,,,,,,6261,,,,1,,,,,,,,
OK006,US,,,Detachments from nine units,,,,,,,,,,23,,,,,,,,,,,,
OK006,CS,,,"two regiments and detachments from two other units (approx. 1,600-1,800)",,,,,,,,,,65,1600,,,,,,,,,,,1600
NC002,US,,,"7,500",37,,,,,,,,,264,7500,,13,,,214,,,,,,7500
NC002,CS,,,"3,000",23,,,,,,,,,2643,3000,,62,,,58,2500,,,,,3000
MO004,US,,,Army of the West,,,,,,,,,,1235,,,,1,,,,,,,,
MO004,CS,,,Missouri State Guard and McCulloch's Brigade,,,,,,,,,,1095,,,,,,,,,,,,
VA077,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA077,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
AR001,US,,,Army of the Southwest,,,,,,,,,,1349,,,,1,,,,,,,,
AR001,CS,,,Army of the West,,,,,,,,,,4600,,,,1,,,,,,,,
AR003,US,,,"1st and 2nd Brigade, 1st Division, Army of the Southwest",,,2,,,,,,,63,,,,,,,,,,,,
AR003,CS,,,unknown,,,,,,,,,,245,,,,,,,,,,,,
NM002,US,,,"Northern Division, Army of New Mexico",,1,,,,,,,,142,,,,,,,,,,,,
NM002,CS,,,"4th, 5th, and 7th Texas Cavalry Regiment, artillery, and a company of independent volunteers",,,,,,,,,,189,,,,,,,,,,3,,
