battle,belligerent,description,strength,regiments,companies,brigades,divisions,corps,armies,cavalry_regiments,cavalry_brigades,cavalry_divisions,cavalry_corps,cavalry_companies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,infantry_regiments,strength_other,ships,guns
VA013,CS,"Brigade, 4,000",4000,,,,,,,,,,,,,,,,,,,
VA013,US,"Division, 12,000",12000,,,,,,,,,,,,,,,,,,,
VA014,CS,"39,000",39000,,,,,,,,,,,,,,,,,,,
VA014,US,"34,000",34000,,,,,,,,,,,,,,,,,,,
VA015,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA015,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA016,CS,"Divisions, 16,356",16356,,,,,,,,,,,,,,,,,,,
VA016,US,"Corps, 15,631",15631,,,,,,,,,,,,,,,,,,,
VA017,CS,"Army, 57,018",57018,,,,,,,,,,,,,,,,,,,
VA017,US,"Corps, 34,214",34214,,,,,,,,,,,,,,,,,,,
VA018,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA018,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA019,CS,"Division, 14,000",14000,,,,,,,,,,,,,,,,,,,
VA019,US,"II Corps, 26,000",26000,,,,,,,,,,,,,,,,,,,
VA020,CS,"29,000",29000,,,,,,,,,,,,,,,,,,,
VA020,US,"32,000",32000,,,,,,,,,,,,,,,,,,,
VA021,CS,"approximately 80,000",80000,,,,,,,,,,,,,,,,,,,
VA021,US,"approximately 80,000",80000,,,,,,,,,,,,,,,,,,,
VA022,CS,"16,868",16868,,,,,,,,,,,,,,,,,,,
VA022,US,"8,030",8030,,,,,,,,,,,,,,,,,,,
VA023,CS,unknown,,,,1,,,,,,,,,,,,,,,,
VA023,US,unknown,,,,1,,,,,,,,,,,,,,,,
VA024,CS,,,,,1,,,,,,,,,,,,,,,,
VA024,US,,,,,1,,,,,,,,,,,,,,,,
VA025,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA025,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA026,CS,"approximately 55,000",55000,,,,,,,,,,,,,,,,,,,
VA026,US,"approximately 63,000",63000,,,,,,,,,,,,,,,,,,,
VA027,CS,"20,000",20000,,,,,,,,,,,,,,,,,,,
VA027,US,"6,000",6000,,,,,,,,,,,,,,,,,,,
VA028,CS,"72,497",72497,,,,,,,,,,,,,,,,,,,
VA028,US,"100,007",100007,,,,,,,,,,,,,,,,,,,
VA029,CS,"Brigade, 800",800,,,,,,,,,,,,,,,,,,,
VA029,US,"Divisions, 2,100",2100,,,,,,,,,,,,,,,,,,,
VA030,CS,"approximately 20,000",20000,,,,,,,,,,,,,,,,,,,
VA030,US,"Gunboat, approximately 17,000",17000,,,,,,,,,,,,,,,,,,1,
VA031,CS,,,,,,,,,,,,,,,,,,,,,
VA031,US,,,,,,,,,,,,,,,,,,,,,
VA032,CS,"57,352",57352,,,,,,,,,,,,,,,,,,,
VA032,US,"97,382",97382,,,,,,,,,,,,,,,,,,,
VA033,CS,"Brigades 10,000",10000,,,,,,,,,,,,,,,,,,,
VA033,US,"VI Corps, 25,000",25000,,,,,,,,,,,,,,,,,,,
VA034,CS,"approximately 12,000",12000,,,,,,,,,,,,,,,,,,,
VA034,US,"approximately 25,000",25000,,,,,,,,,,,,,,,,,,,
VA035,CS,"9,500",9500,,,,,,,,,,,,,,,,,,,
VA035,US,"11,000",11000,,,,,,,,,,,,,,,,,,,
VA036,CS,"approximately 1,500",1500,,,,,,,,,,,,,,,,,,,
VA036,US,"approximately 2,000",2000,,,,,,,,,,,,,,,,,,,
VA037,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA037,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA038,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA038,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA039,CS,"approximately 3,000",3000,,,,,,,,,,,,,,,,,,,
VA039,US,"approximately 2,000",2000,,,,,,,,,,,,,,,,,,,
VA040,CS,"17,218",17218,,,,,,,,,,,,,,,,,,,
VA040,US,"8,383",8383,,,,,,,,,,,,,,,,,,,
VA041,CS,"approximately 3,000",3000,,,,,,,,,,,,,,,,,,,
VA041,US,unknown,,,,1,,,,,,,,,,,,,,,,
VA042,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA042,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA043,CS,"2,000",2000,,,,,,,,,,,,,,,,,,,
VA043,US,"2,000",2000,,,,,,,,,,,,,,,,,,,
VA044,CS,"44,426",44426,,,,,,,,,,,,,,,,,,,
VA044,US,"69,643",69643,,,,,,,,,,,,,,,,,,,
VA045,CS,,,,,,,1,,,,,,,,,,,,,,
VA045,US,,,,,,,1,,,,,,,,,,,,,,
VA046,CS,"61,025",61025,,,,,,,,,,,,,,,,,,,
VA046,US,"101,895",101895,,,,,,,,,,,,,,,,,,,
VA047,CS,"2,600",2600,,,,,,,,,,,,,,,,,,,
VA047,US,"8,000",8000,,,,,,,,,,,,,,,,,,,
VA048,CS,"52,000",52000,,,,,,,,,,,,,,,,,,,
VA048,US,"100,000",100000,,,,,,,,,,,,,,,,,,,
VA049,CS,"2,400",2400,,,,,,,,,,,,,,,,,,,
VA049,US,"6,555",6555,,,,,,,,,,,,,,,,,,,
VA050,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA050,US,"5 gunboats, unknown",,,,,1,,,,,,,,,,,,,,1,
VA051,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA051,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA052,CS,"5,000",5000,,,,,,,,,,,,,,,,,,,
VA052,US,"12,000",12000,,,,,,,,,,,,,,,,,,,
VA053,CS,"18,000",18000,,,,,,,,,,,,,,,,,,,
VA053,US,"30,000",30000,,,,,,,,,,,,,,,,,,,
VA054,CS,,,,,,,,,,,,,,,,,,,,,
VA054,US,,,,,,,,,,,,,,,,,,,,,
VA055,CS,"53,000",53000,,,,,,,,,,,,,,,,,,,
VA055,US,"68,000",68000,,,,,,,,,,,,,,,,,,,
VA056,CS,"2,500",2500,,,,,,,,,,,,,,,,,,,
VA056,US,"1 Gunboat, 1,100",1100,,,,,,,,,,,,,,,,,,1,
VA057,CS,unknown,,,,,,1,,,,,,,,,,,,,,
VA057,US,unknown,,,,,,1,,,,,,,,,,,,,,
VA058,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA058,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA059,CS,"2,000",2000,,,,,,,,,,,,,,,,,,,
VA059,US,unknown,,,,1,,,,,,,,,,,,,,,,
VA062,CS,"62,000",62000,,,,,,,,,,,,,,,,,,,
VA062,US,"108,000",108000,,,,,,,,,,,,,,,,,,,
VA063,CS,"42,000",42000,,,,,,,,,,,,,,,,,,,
VA063,US,"62,000",62000,,,,,,,,,,,,,,,,,,,
VA064,CS,"approximately 14,000",14000,,,,,,,,,,,,,,,,,,,
VA064,US,"16,643",16643,,,,,,,,,,,,,,,,,,,
VA065,CS,"8,000",8000,,,,,,,,,,,,,,,,,,,
VA065,US,"27,000",27000,,,,,,,,,,,,,,,,,,,
VA066,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA066,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA067,CS,"5,000",5000,,,,,,,,,,,,,,,,,,,
VA067,US,"4,000",4000,,,,,,,,,,,,,,,,,,,
VA068,CS,"7,000",7000,,,,,,,,,,,,,,,,,,,
VA068,US,"4,000",4000,,,,,,,,,,,,,,,,,,,
VA069,CS,"16,500",16500,,,,,,,,,,,,,,,,,,,
VA069,US,unknown,,,,,,1,,,,,,,,,,,,,,
VA070,CS,"Maj. General William Mahone’s Division, approximately 6,100",6100,,,,,,,,,,,,,,,,,,,
VA070,US,"IX Corps, approximately 8,500",8500,,,,,,,,,,,,,,,,,,,
VA071,CS,"approximately 20,000",20000,,,,,,,,,,,,,,,,,,,
VA071,US,"approximately 30,000",30000,,,,,,,,,,,,,,,,,,,
VA072,CS,"14,000",14000,,,,,,,,,,,,,,,,,,,
VA072,US,"20,089",20089,,,,,,,,,,,,,,,,,,,
VA073,CS,"14,000",14000,,,,,,,,,,,,,,,,,,,
VA073,US,"9,000",9000,,,,,,,,,,,,,,,,,,,
VA074,CS,"12,000",12000,,,,,,,,,,,,,,,,,,,
VA074,US,"29,800",29800,,,,,,,,,,,,,,,,,,,
VA075,CS,"14,500",14500,,,,,,,,,,,,,,,,,,,
VA075,US,"25,000",25000,,,,,,,,,,,,,,,,,,,
VA076,CS,"Confederate Home Guard, 300",300,,,,,,,,,,,,,,,,,,,
VA076,US,"Brigade 5,000",5000,,,,,,,,,,,,,,,,,,,
VA077,CS,unknown,,,,,,1,,,,,,,,,,,,,,
VA077,US,unknown,,,,,,1,,,,,,,,,,,,,,
VA078,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA078,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA079,CS,"11,691",11691,,,,,,,,,,,,,,,,,,,
VA079,US,"30,000",30000,,,,,,,,,,,,,,,,,,,
VA080,CS,unknown,,,,,,1,,,,,,,,,,,,,,
VA080,US,unknown,,,,,,1,,,,,,,,,,,,,,
VA081,CS,,,,,,1,,,,,,,,,,,,,,,
VA081,US,,,,,,1,,,,,,,,,,,,,,,
VA082,CS,"2,800",2800,,,,,,,,,,,,,,,,,,,
VA082,US,"4,500",4500,,,,,,,,,,,,,,,,,,,
VA083,CS,"13,835",13835,,,,,,,,,,,,,,,,,,,
VA083,US,"34,517",34517,,,,,,,,,,,,,,,,,,,
VA084,CS,"10,000",10000,,,,,,,,,,,,,,,,,,,
VA084,US,"14,898",149898,,,,,,,,,,,,,,,,,,,
VA085,CS,"8,000",8000,,,,,,,,,,,,,,,,,,,
VA085,US,"17,000",17000,,,,,,,,,,,,,,,,,,,
VA086,CS,"20,030",20030,,,,,,,,,,,,,,,,,,,
VA086,US,"45,247",45247,,,,,,,,,,,,,,,,,,,
VA087,CS,"8,000",8000,,,,,,,,,,,,,,,,,,,
VA087,US,"22,000",22000,,,,,,,,,,,,,,,,,,,
VA088,CS,"10,600",10600,,,,,,,,,,,,,,,,,,,
VA088,US,"22,000",22000,,,,,,,,,,,,,,,,,,,
VA089,CS,"58,400",58400,,,,,,,,,,,,,,,,,,,
VA089,US,"76,113",76113,,,,,,,,,,,,,,,,,,,
VA090,CS,"3,000",3000,,,,,,,,,,,,,,,,,,,
VA090,US,"1,500",1500,,,,,,,,,,,,,,,,,,,
VA091,CS,332,332,,,,,,,,,,,,,,,,,,,
VA091,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA092,CS,"6,800",6800,,,,,,,,,,,,,,,,,,,
VA092,US,"7,500",7500,,,,,,,,,,,,,,,,,,,
VA093,CS,"16,900",16900,,,,,,,,,,,,,,,,,,,
VA093,US,"36,500",36500,,,,,,,,,,,,,,,,,,,
VA094,CS,"4,000",4000,,,,,,,,,,,,,,,,,,,
VA094,US,"8,600",8600,,,,,,,,,,,,,,,,,,,
VA095,CS,"1,200",1200,,,,,,,,,,,,,,,,,,,
VA095,US,900,900,,,,,,,,,,,,,,,,,,,
VA096,CS,"Artillery Train, approximately 3,000",3000,,,,,,,,,,,,,,,,,,,
VA096,US,"3rd US Cavalry Division, approximately 4,000",4000,,,,,,,,,,,,,,,,,,,
VA097,CS,"9,000",9000,,,,,,,,,,,,,,,,,,,
VA097,US,"21,000",21000,,,,,,,,,,,,,,,,,,,
VA098,CS,"2,500",2500,,,,,,,,,,,,,,,,,,,
VA098,US,"4,500",4500,,,,,,,,,,,,,,,,,,,
VA099,CS,"6,400",6400,,,,,,,,,,,,,,,,,,,
VA099,US,"9,300",9300,,,,,,,,,,,,,,,,,,,
VA100,CS,"Battery Garrison, approximately 50",50,,,,,,,,,,,,,,,,,,,
VA100,US,"Gunboats, 2",,,,,,,,,,,,,,,,,,,2,
VA101,CS,"3,800",3800,,,,,,,,,,,,,,,,,,,
VA101,US,"8,500",8500,,,,,,,,,,,,,,,,,,,
VA102,CS,"6,000",6000,,,,,,,,,,,,,,,,,,,
VA102,US,"6,500",6500,,,,,,,,,,,,,,,,,,,
VA103,CS,"Brigade, 3,000",3000,,,,,,,,,,,,,,,,,,,
VA103,US,"Garrison, 1,063",1063,,,,,,,,,,,,,,,,,,,
VA104,CS,"16,000",16000,,,,,,,,,,,,,,,,,,,
VA104,US,"6,500",6500,,,,,,,,,,,,,,,,,,,
VA105,CS,"Division, 5,800",5800,,,,,,,,,,,,,,,,,,,
VA105,US,"Army, 11,500",11500,,,,,,,,,,,,,,,,,,,
VA106,CS,"6,000",6000,,,,,,,,,,,,,,,,,,,
VA106,US,"3,500",3500,,,,,,,,,,,,,,,,,,,
VA107,CS,"II Corps, 12,500",12500,,,,,,,,,,,,,,,,,,,
VA107,US,"Garrison, 7,000",7000,,,,,,,,,,,,,,,,,,,
VA108,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA108,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA109,CS,"4,000",4000,,,,,,,,,,,,,,,,,,,
VA109,US,"2,500",2500,,,,,,,,,,,,,,,,,,,
VA110,CS,"4,090",4090,,,,,,,,,,,,,,,,,,,
VA110,US,"6,275",6275,,,,,,,,,,,,,,,,,,,
VA111,CS,"5,500",5500,,,,,,,,,,,,,,,,,,,
VA111,US,"8,500",8500,,,,,,,,,,,,,,,,,,,
VA113,CS,"4,100",4100,,,,,,,,,,,,,,,,,,,
VA113,US,"5,500",5500,,,,,,,,,,,,,,,,,,,
VA114,CS,"8,000",8000,,,,,,,,,,,,,,,,,,,
VA114,US,"5,000",5000,,,,,,,,,,,,,,,,,,,
VA115,CS,"approximately 3,300",3300,,,,,,,,,,,,,,,,,,,
VA115,US,"approximately 2,350",2350,,,,,,,,,,,,,,,,,,,
VA116,CS,"Corp, 14,000",14000,,,,,,,,,,,,,,,,,,,
VA116,US,"Divisions 9,500",9500,,,,,,,,,,,,,,,,,,,
VA117,CS,unknown,,,,,1,,,,,,,,,,,,,,,
VA117,US,unknown,,,,,1,,,,,,,,,,,,,,,
VA118,CS,unknown,,,,,,1,,,,,,,,,,,,,,
VA118,US,unknown,,,,,,1,,,,,,,,,,,,,,
VA119,CS,"15,200",15200,,,,,,,,,,,,,,,,,,,
VA119,US,"39,240",39240,,,,,,,,,,,,,,,,,,,
VA120,CS,"12,000",12000,,,,,,,,,,,,,,,,,,,
VA120,US,"20,000",20000,,,,,,,,,,,,,,,,,,,
VA121,CS,"3,500",3500,,,,,,,,,,,,,,,,,,,
VA121,US,"6,300",6300,,,,,,,,,,,,,,,,,,,
VA122,CS,"21,000",21000,,,,,,,,,,,,,,,,,,,
VA122,US,"31,945",31945,,,,,,,,,,,,,,,,,,,
VA123,CS,"1,600",1600,,,,,,,,,,,,,,,,,,,
VA123,US,"2,500",2500,,,,,,,,,,,,,,,,,,,
VA124,CS,700,700,,,,,,,,,,,,,,,,,,,
VA124,US,"1,000",1000,,,,,,,,,,,,,,,,,,,
VA125,CS,unknown,,,,1,,,,,,,,,,,,,,,,
VA125,US,"4,000",4000,,,,,,,,,,,,,,,,,,,
WV001,CS,Recruits (approx. 800 men),800,,,,,,,,,,,,,,,,,,,
WV001,US,"Indiana, Ohio, and Virginia Volunteers (approx. 3,000 men)",3000,,,,,,,,,,,,,,,,,,,
WV002,CS,1st Brigade,,,,1,,,,,,,,,,,,,,,,
WV002,US,"1st Brigade and 6th Brigade, Patterson's Division",,,,2,,,,,,,,,,,,,,,,
WV003,CS,"Camp Garnett Garrison and associated regiments (approx. 1,300 men)",1300,,,,,,,,,,,,,,,,,,,
WV003,US,"Department of the Ohio, force at Roaring Creek (approx. 3,000 men) and force at Hart Farm (approx. 1,900 men)",4900,,,,,,,,,,,,,,,,,,,
WV004,CS,Confederate forces in the Kanawha Valley,,,,,,,,,,,,,,,,,,,,
WV004,US,7th Ohio Regiment,,1,,,,,,,,,,,,,,,,,,
WV005,CS,Army of the Northwest,,,,,,,1,,,,,,,,,,,,,
WV005,US,"1st Brigade, Army of Occupation, Western Virginia",,,,1,,,,,,,,,,,,,,,,
WV006,CS,Army of the Kanawha,,,,,,,1,,,,,,,,,,,,,
WV006,US,Army of Occupation in Western Virginia,,,,,,,1,,,,,,,,,,,,,
WV007,CS,Camp Bartow Garrison,,,,,,,,,,,,,,,,,,,,
WV007,US,"1st Brigade, Army of Occupation, Western Virginia",,,,1,,,,,,,,,,,,,,,,
WV008,CS,Camp Allegheny Garrison,,,,,,,,,,,,,,,,,,,,
WV008,US,Army of the Northwest,,,,,,,1,,,,,,,,,,,,,
WV009,CS,"Army of East Kentucky and Wharton’s Brigade, Department of Southwest Virginia",,,,1,,,1,,,,,,,,,,,,,
WV009,US,District of Kanawha,,,,,,,,,,,,,,,,,,,,
WV010,CS,"2nd Wing, Army of Northern Virginia",,,,,,,0.5,,,,,,,,,,,,,
WV010,US,"Harpers Ferry Garrison (approx. 12,000 men)",12000,,,,,,,,,,,,,,,,,,,
WV012,CS,"1st Brigade, Army of Southwestern Virginia",,,,1,,,,,,,,,,,,,,,,
WV012,US,1st Separate Brigade,,,,1,,,,,,,,,,,,,,,,
WV013,CS,Johnson's Cavalry Brigade,,,,,,,,,1,,,,,,,,,,,
WV013,US,Cavalry Division,,,,,,,,,,1,,,,,,,,,,
WV014,CS,Valley District,,,,,,,,,,,,,,,,,,,,
WV014,US,Army of the Shenandoah,,,,,,,1,,,,,,,,,,,,,
WV015,CS,Valley District,,,,,,,,,,,,,,,,,,,,
WV015,US,"First Cavalry Division, Army of the Shenandoah",,,,,,,,,,1,,,,,,,,,,
WV016,CS,"A.P. Hill’s Division, Army of Northern Virginia",,,,,1,,,,,,,,,,,,,,,
WV016,US,"V Corps, Army of the Potomac",,,,,,1,,,,,,,,,,,,,,
