"battle","start_date_1","end_date_1","outcome_cwsac1","significance","theater","campaign","casualties_total_cwsac","casualties_US_cwsac","casualties_CS_cwsac","casualties_mipat_cwsac","core_area","study_area","cwsac_name","outcome_cwsac2","start_date_2","end_date_2","strength_CS_cwsac","strength_US_cwsac","state","casualties_mipat_ken","casualties_total_ken","casualties_US_ken","casualties_CS_ken","strength_US_liv","strength_CS_liv","casualties_US_liv","casualties_CS_liv","outcome_liv","casualties_CS_phi","casualties_US_phi","outcome_bod","casualties_CS_bod","casualties_US_bod","strength_CS_bod","strength_US_bod","casualties_CS_fox","casualties_US_fox","outcome_fox","casualties_US_cdb90","casualties_CS_cdb90","strength_US_cdb90","strength_CS_cdb90","attacker_cdb90","outcome_cdb90","naval_battle","siege","outcome_dbp","dbpedia_uri","strength_US_wiki","strength_CS_wiki","casualties_US_wiki","casualties_CS_wiki","attacker","surrender","start_date","end_date","battle_name","duration","mid_date","battle_num","strength_US","casualties_US","strength_CS","casualties_CS","battle_name_short","outcome","lat","long"
"TN001","1862-02-06","1862-02-06","Union","B","Western","Federal Penetration up the Cumberland and Tennessee Rivers [February-June 1862]",119,40,79,0,1159.87,5144.12,"Fort Henry","Union","1862-02-06","1862-02-06",,,"TN",0,146,47,99,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Fort_Henry",15000,3200,40,79,"US","None","1862-02-06","1862-02-06","Battle of Fort Henry",1,"1862-02-06",41,15228.0763911142,42.8977207676,3160.1545380639,84.1973218793,"Fort Henry","Union",36.5186,-88.0391
"TN002","1862-02-11","1862-02-16","Union","A","Western","Federal Penetration up the Cumberland and Tennessee Rivers [February-June 1862]",17398,2331,15067,0,2982.49,7729.89,"Fort Donelson","Union","1862-02-11","1862-02-16",,,"TN",0,19832,2832,17000,27000,21000,2608,2000,"Inconclusive",15067,2331,"Union",15000,2900,17000,27000,15829,2832,"Union",2609,2000,27000,21000,"CS","Union","FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Fort_Donelson",24531,16171,2691,13846,"US","Confederate complete","1862-02-11","1862-02-16","Battle of Fort Donelson",6,"1862-02-13",43,25367.3040063987,2586.1511312991,17271.9297388768,11593.1808457855,"Fort Donelson","Union",36.4938,-87.856
"TN003","1862-04-06","1862-04-07","Union","A","Western","Federal Penetration up the Cumberland and Tennessee Rivers [February-June 1862]",23746,13047,10699,0,7283.32,31341.81,"Shiloh","Union","1862-04-06","1862-04-07",,,"TN",0,23746,13047,10699,62682,40335,10162,9735,"Union",10699,13573,"Union",10800,13000,40000,60000,10694,13047,"Union",13047,10699,66812,40355,"CS","Union","FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Shiloh",66812,44699,13047,10699,"CS","None","1862-04-06","1862-04-07","Battle of Shiloh",2,"1862-04-06",50,63710.0948587153,12055.7723284042,43967.7309484855,10892.5919408048,"Shiloh","Union",35.1507,-88.3218
"TN004","1862-06-06","1862-06-06","Union","B","Western","Joint Operations Against New Madrid, Island No. 10, and Memphis [February-June 1862]",181,1,180,0,9286.44,19818,"Memphis I","Union","1862-06-06","1862-06-06",,,"TN",0,181,1,180,,,,,,,,,,,,,,,,,,,,,,"TRUE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Memphis",,,1,180,"US","None","1862-06-06","1862-06-06","Battle of Memphis",1,"1862-06-06",68,794.4829944111,1.0206632922,445.9251645875,167.3729972292,"Memphis","Union",35.1291,-90.1558
"TN005","1862-06-07","1862-06-08","Union","D","Western","Confederate Heartland Offensive [June-October 1862]",88,23,65,0,1085.14,2115.91,"Chattanooga I","Union","1862-06-07","1862-06-08",,,"TN",3,,,3,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/First_Battle_of_Chattanooga",,,23,65,"US","None","1862-06-07","1862-06-08","First Battle of Chattanooga",2,"1862-06-07",69,2037.7894779631,22.1272043015,1139.743747915,37.3004176183,"First Chattanooga","Union",35.0651,-85.3088
"TN006","1862-07-13","1862-07-13","Confederate","C","Western","Confederate Heartland Offensive [June-October 1862]",1040,890,150,0,328.82,8639.61,"Murfreesboro I","Confederate","1862-07-13","1862-07-13",,,"TN",0,1350,1200,150,,,,,,150,895,,,,,,,185,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/First_Battle_of_Murfreesboro",900,1400,890,150,"CS","Union complete","1862-07-13","1862-07-13","First Battle of Murfreesboro",1,"1862-07-13",85,848.3113120838,650.8439547002,1388.8987753726,149.7147835463,"First Murfreesboro","Confederate",35.847,-86.393
"TN007","1862-10-05","1862-10-05","Union","C","Western","Iuka and Corinth Operations [September-October 1862]",900,500,400,0,798.19,5754.16,"Hatchie’s Bridge (Davis Bridge)","Union","1862-10-05","1862-10-05",,,"TN",0,900,500,400,,,,,,400,500,,,,,,,570,"Inconclusive",,,,,,,"FALSE","FALSE","Inconclusive","http://dbpedia.org/resource/Battle_of_Hatchie's_Bridge",,,500,400,"CS","None","1862-10-05","1862-10-05","Battle of Hatchie's Bridge",1,"1862-10-05",109,5936.0378427916,499.0360520886,7723.2995067592,388.8131805016,"Hatchie's Bridge","Union",35.035,-88.7994
"TN008","1862-12-07","1862-12-07","Confederate","C","Western","Stones River Campaign [December 1862-January 1863]",2004,1855,149,0,679.95,8044.71,"Hartsville","Confederate","1862-12-07","1862-12-07",,,"TN",0,2235,2096,139,,,,,,149,1855,,,,,,139,2096,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Hartsville",2400,1300,2096,139,"CS","Union complete","1862-12-07","1862-12-07","Battle of Hartsville",1,"1862-12-07",116,2292.6089116415,1887.9889163222,1315.8465761414,142.7852978794,"Hartsville","Confederate",36.3777,-86.1743
"TN009","1862-12-19","1862-12-19","Confederate","D","Western","Forrest's Expedition into West Tennessee [December 1862-January 1863]",,6,,5,148.89,1661.21,"Jackson (TN)","Confederate","1862-12-19","1862-12-19",,,"TN",5,,6,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Jackson,_Tennessee",,400,6,,"CS","None","1862-12-19","1862-12-19","Battle of Jackson, Tennessee",1,"1862-12-19",121,260.3003811945,5.6150767505,409.5266304534,6.7630978858,"Jackson, Tennessee","Confederate",35.632,-88.7635
"TN010","1862-12-31","1863-01-02","Union","A","Western","Stones River Campaign [December 1862-January 1863]",23515,13249,10266,0,5148.66,15087.32,"Stones River","Union","1862-12-31","1863-01-02",,,"TN",0,23000,13000,10000,41400,34732,9220,9239,"Union",25560,11578,"Union",10400,13600,38000,45000,10266,13249,"Union",12906,11739,41400,34732,"CS","Inconclusive","FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Stones_River",41400,35000,12906,11739,"CS","None","1862-12-31","1863-01-02","Battle of Stones River",3,"1863-01-01",125,39534.6470151381,12255.7563168237,36101.9551109576,11654.7908014459,"Stones River","Union",35.88,-86.435
"TN011","1862-12-31","1862-12-31","Confederate","C","Western","Forrest's Expedition into West Tennessee [December 1862-January 1863]",737,237,500,0,1287.34,7716.82,"Parker’s Cross Roads","Confederate","1862-12-31","1862-12-31",,,"TN",0,737,237,500,,,,,,,,,,,,,,237,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Parker's_Cross_Roads",3000,1800,237,500,"US","None","1862-12-31","1862-12-31","Battle of Parker's Cross Roads",1,"1862-12-31",123,2823.2637778349,233.0150430898,1888.555320099,525.3145301016,"Parker's Cross Roads","Confederate",35.793,-88.393
"TN012","1863-02-03","1863-02-03","Union","D","Western","Middle Tennessee Operations [February-April 1863]",796,126,670,0,642.79,2931.62,"Dover","Union","1863-02-03","1863-02-03",2500,800,"TN",0,965,110,855,,,,,,,,,,,,,,78,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Dover_(1863)",800,2500,126,670,"CS","None","1863-02-03","1863-02-03","Battle of Dover (1863)",1,"1863-02-03",129,753.8259553807,108.5637969339,2507.6544181685,723.7849571287,"Dover (1863)","Union",36.4849,-87.8575
"TN013","1863-03-05","1863-03-05","Confederate","C","Western","Middle Tennessee Operations [February-April 1863]",2206,1906,300,0,603.18,3473,"Thompson’s Station","Confederate","1863-03-05","1863-03-05",,,"TN",0,1957,1600,357,,,,,,600,1706,,,,,,357,1446,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Thompson's_Station",,,1096,300,"US","Union complete","1863-03-05","1863-03-05","Battle of Thompson's Station",1,"1863-03-05",131,3219.9546082098,1402.9393433257,3246.4930291091,363.539240009,"Thompson's Station","Confederate",35.798,-86.9063
"TN014","1863-03-20","1863-03-20","Union","D","Western","Middle Tennessee Operations [February-April 1863]",435,62,373,0,849.11,3479.82,"Vaught’s Hill","Union","1863-03-20","1863-03-20",,,"TN",0,188,38,150,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Vaught's_Hill",1300,3500,62,373,"US","None","1863-03-20","1863-03-20","Battle of Vaught's Hill",1,"1863-03-20",134,1267.374704977,52.7963488703,3485.071721423,317.8799819946,"Vaught's Hill","Union",35.9252,-86.2047
"TN015","1863-03-25","1863-03-25","Confederate","D","Western","Middle Tennessee Operations [February-April 1863]",311,305,6,0,1367.26,9589.14,"Brentwood","Confederate","1863-03-25","1863-03-25",,400,"TN",0,532,529,3,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Brentwood",400,,305,6,"CS","Union complete","1863-03-25","1863-03-25","Battle of Brentwood",1,"1863-03-25",135,396.4806286695,338.7496422328,763.2323931208,5.0644072213,"Brentwood","Confederate",36.0363,-86.7855
"TN016","1863-04-10","1863-04-10","Union","D","Western","Middle Tennessee Operations [February-April 1863]",237,100,137,0,2605.65,14386.1,"Franklin I","Union","1863-04-10","1863-04-10",,,"TN",0,237,100,137,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Franklin_(1863)",,,100,137,"CS","None","1863-04-10","1863-04-10","Battle of Franklin (1863)",1,"1863-04-10",137,3459.2460524675,96.5341916384,3708.4780457226,147.9091517214,"Franklin (1863)","Union",35.914,-86.864
"TN017","1863-06-24","1863-06-26","Union","C","Western","Tullahoma or Middle Tennessee Campaign [June 1863]",,,,7,3323.32,25898.02,"Hoover’s Gap","Union","1863-06-24","1863-06-26",,,"TN",5,,583,,,,,,,1634,560,,,,,,,206,"Inconclusive",,,,,,,"FALSE","FALSE",,"http://dbpedia.org/resource/Battle_of_Hoover's_Gap",,,583,,"US","None","1863-06-24","1863-06-26","Battle of Hoover's Gap",3,"1863-06-25",165,9308.7514966593,436.4716921294,6848.1817415962,1435.7509110342,"Hoover's Gap","Union",35.6305,-86.2454
"TN018","1863-08-21","1863-08-21","Union","D","Western","Chickamauga Campaign [August-September 1863]",,,,7,1244.07,6445.71,"Chattanooga II","Union","1863-08-21","1863-08-21",,,"TN",7,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Second_Battle_of_Chattanooga",,,,,"US","None","1863-08-21","1863-08-21","Second Battle of Chattanooga",1,"1863-08-21",185,3000.965867508,57.5337130086,1822.1206050017,146.3007560704,"Second Chattanooga","Union",35.0739,-85.3186
"TN019","1863-09-22","1863-09-22","Union","D","Western","East Tennessee Campaign [September-October 1863]",192,27,165,0,459.04,1549.78,"Blountsville","Union","1863-09-22","1863-09-22",1200,,"TN",0,192,27,165,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Blountville",,1200,27,165,"CS","None","1863-09-22","1863-09-22","Battle of Blountville",1,"1863-09-22",194,854.581930499,25.8849540197,1199.1931726152,182.5878317282,"Blountville","Union",36.5333,-82.3264
"TN020","1863-10-10","1863-10-10","Union","D","Western","East Tennessee Campaign [September-October 1863]",316,100,216,0,1405.12,3715.33,"Blue Springs","Union","1863-10-10","1863-10-10",,,"TN",0,316,100,216,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Blue_Springs",,,100,216,"US","None","1863-10-10","1863-10-10","Battle of Blue Springs",1,"1863-10-10",197,3511.9539168344,98.7529670311,2420.9441330676,233.335433295,"Blue Springs","Union",36.1934,-82.9373
"TN021","1863-10-28","1863-10-29","Union","B","Western","Reopening the Tennessee River [October 1863]",828,420,408,0,2001.37,11457.05,"Wauhatchie","Union","1863-10-28","1863-10-29",,,"TN",0,572,216,356,,,,,,,,,,,,,397,383,"Union",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Wauhatchie",,,420,408,"CS","None","1863-10-28","1863-10-29","Battle of Wauhatchie",2,"1863-10-28",204,6953.7912746497,363.5927582976,5609.3916184396,412.3787322549,"Wauhatchie","Union",35.002,-85.38
"TN022","1863-11-03","1863-11-03","Union","D","Western","Operations on the Memphis & Charleston Railroad [November 1863]",155,60,95,0,325.91,5145.25,"Collierville","Union","1863-11-03","1863-11-03",2500,850,"TN",0,155,60,95,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Collierville",850,2500,60,95,"CS","None","1863-11-03","1863-11-03","Battle of Collierville",1,"1863-11-03",205,826.1029720255,57.8140987016,2658.1287220004,98.8011593517,"Collierville","Union",35.044,-89.6645
"TN023","1863-11-16","1863-11-16","Union","D","Western","Longstreet's Knoxville Campaign [November-December 1863]",970,400,570,0,814.55,11258.68,"Campbell’s Station","Union","1863-11-16","1863-11-16",,,"TN",0,970,400,570,,,,,,,,,,,,,,316,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Campbell's_Station",,,400,570,"CS","None","1863-11-16","1863-11-16","Battle of Campbell's Station",1,"1863-11-16",208,4225.6664827977,361.9424929175,5513.7354254564,583.6802987592,"Campbell's Station","Union",35.8846,-84.1539
"TN024","1863-11-23","1863-11-25","Union","A","Western","Chattanooga-Ringgold Campaign [November 1863]",12485,5815,6670,0,19107.3,45415.23,"Chattanooga III","Union","1863-11-23","1863-11-25",,,"TN",0,12482,5815,6667,56359,46165,5475,2521,"Union",8684,5616,"Union",7000,6000,45000,65000,6667,5382,"Union",5824,6667,61000,40000,"US","Union","FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Missionary_Ridge",56359,44010,5824,6667,"US","None","1863-11-23","1863-11-25","Battle of Missionary Ridge",3,"1863-11-24",209,56896.8025579224,5437.7938689447,44031.7960488217,7032.1755718372,"Missionary Ridge","Union",35.03,-85.257
"TN025","1863-11-29","1863-11-29","Union","B","Western","Longstreet's Knoxville Campaign [November-December 1863]",880,100,780,0,831.14,6933.28,"Fort Sanders","Union","1863-11-29","1863-11-29",,,"TN",0,815,15,800,,,,,,,,,,,,,813,,"Union",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Fort_Sanders",440,3000,13,813,"CS","None","1863-11-29","1863-11-29","Battle of Fort Sanders",1,"1863-11-29",211,447.116122125,20.1554340168,2983.805904218,768.5234291085,"Fort Sanders","Union",35.9589,-83.9338
"TN026","1863-12-14","1863-12-14","Confederate","D","Western","Longstreet's Knoxville Campaign [November-December 1863]",1600,700,900,0,668.61,5347.21,"Bean’s Station","Confederate","1863-12-14","1863-12-14",,,"TN",0,337,115,222,,,,,,900,700,,,,,,,115,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Bean's_Station",,,700,900,"CS","None","1863-12-14","1863-12-14","Battle of Bean's Station",1,"1863-12-14",213,2509.8925046672,371.0536260753,8130.6243484285,697.554919139,"Bean's Station","Confederate",36.3248,-83.369
"TN027","1863-12-29","1863-12-29","Union","D","Western","Operations about Dandridge [December 1863-January 1864]",,151,,5,5210.26,9046.8,"Mossy Creek","Union","1863-12-29","1863-12-29",,,"TN",5,,151,,,,,,,,,,,,,,,109,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Mossy_Creek",,2000,151,,"CS","None","1863-12-29","1863-12-29","Battle of Mossy Creek",1,"1863-12-29",214,2126.2575166354,135.4921631287,2026.8804230914,192.1502004511,"Mossy Creek","Union",36.1444,-83.4423
"TN028","1864-01-17","1864-01-17","Confederate","C","Western","Operations about Dandridge [December 1863-January 1864]",,150,,5,4583.26,12276.33,"Dandridge","Confederate","1864-01-17","1864-01-17",,,"TN",5,,150,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Dandridge",,,150,,"CS","None","1864-01-17","1864-01-17","Battle of Dandridge",1,"1864-01-17",215,2631.9575732854,140.6090214466,3193.9676805191,90.3235762366,"Dandridge","Confederate",36.0472,-83.3493
"TN029","1864-01-27","1864-01-27","Union","C","Western","Operations about Dandridge [December 1863-January 1864]",265,100,165,0,1371.74,10310.31,"Fair Garden","Union","1864-01-27","1864-01-27",,,"TN",0,265,100,165,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Inconclusive","http://dbpedia.org/resource/Battle_of_Fair_Garden",,,100,165,"US","None","1864-01-27","1864-01-27","Battle of Fair Garden",1,"1864-01-27",217,3596.8778783747,99.8068187824,2372.6187869712,171.556375919,"Fair Garden","Union",35.8645,-83.5096
"TN030","1864-04-12","1864-04-12","Confederate","B","Western","Forrest's Expedition into West Tennessee and Kentucky [March-April 1864]",654,574,80,0,423.09,4470.33,"Fort Pillow","Confederate","1864-04-12","1864-04-12",,600,"TN",0,649,549,100,,,,,,80,574,,,,,,,,,,,,,,,"TRUE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Fort_Pillow",600,1850,574,100,"CS","Union complete","1864-04-12","1864-04-12","Battle of Fort Pillow",1,"1864-04-12",231,591.4241216011,523.2088638308,1827.4143594733,88.3504430337,"Fort Pillow","Confederate",35.6324,-89.8487
"TN031","1864-08-21","1864-08-21","Confederate","C","Western","Forrest's Defense of Mississippi [June-August 1864]",194,160,34,0,205.63,2473.46,"Memphis II","Confederate","1864-08-21","1864-08-21",,,"TN",0,542,480,62,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Second_Battle_of_Memphis",,400,160,34,"CS","None","1864-08-21","1864-08-21","Second Battle of Memphis",1,"1864-08-21",299,1031.2849689463,211.8346838904,400.5920610981,39.9890107381,"Second Memphis","Confederate",35.1446,-90.054
"TN032","1864-11-04","1864-11-05","Confederate","B","Western","Franklin-Nashville Campaign [September-December 1864]",,,,7,2167.4,3804.87,"Johnsonville","Confederate","1864-11-04","1864-11-05",,,"TN",7,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Johnsonville",4000,,150,11,"CS","None","1864-11-04","1864-11-05","Battle of Johnsonville",2,"1864-11-04",331,4033.7257071826,150.2083973149,1906.3597757278,11.8953038184,"Johnsonville","Confederate",36.0708,-87.9757
"TN033","1864-11-11","1864-11-13","Confederate","D","Western","Breckenridge's Advance into East Tennessee [November 1864]",,241,,5,603.93,12405.25,"Bull’s Gap","Confederate","1864-11-11","1864-11-13",2400,,"TN",0,424,324,100,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Bull's_Gap",,2400,241,,"CS","None","1864-11-11","1864-11-13","Battle of Bull's Gap",3,"1864-11-12",332,1394.8844241955,265.5757139051,2447.6898367667,103.5819108237,"Bull's Gap","Confederate",36.252,-83.081
"TN034","1864-11-24","1864-11-29","Confederate","C","Western","Franklin-Nashville Campaign [September-December 1864]",,,,7,4238.82,47912.64,"Columbia","Confederate","1864-11-24","1864-11-29",,,"TN",7,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Columbia",28000,35000,,,"CS","None","1864-11-24","1864-11-29","Battle of Columbia",6,"1864-11-26",335,26949.8145400231,1499.4395164015,36072.2185291004,496.5981121267,"Columbia","Confederate",35.6163,-87.0488
"TN035","1864-11-29","1864-11-29","Union","B","Western","Franklin-Nashville Campaign [September-December 1864]",,,,7,2278.37,7034.77,"Spring Hill","Union","1864-11-29","1864-11-29",,,"TN",0,850,350,500,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Spring_Hill",7000,12000,350,500,"CS","None","1864-11-29","1864-11-29","Battle of Spring Hill",1,"1864-11-29",336,6508.8259561575,342.6751913042,12059.6359371753,512.3430832996,"Spring Hill","Union",35.7374,-86.9323
"TN036","1864-11-30","1864-11-30","Union","A","Western","Franklin-Nashville Campaign [September-December 1864]",8587,2326,6261,0,2610.71,13681.15,"Franklin II","Union","1864-11-30","1864-11-30",,,"TN",0,9933,2633,7300,27939,26897,1222,5550,"Confederate",6252,2326,"Confederate",6300,2700,37000,27000,,2326,"Union",2326,6252,27939,26897,"CS","Union","FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Franklin_(1864)",27000,27000,2326,6252,"CS","None","1864-11-30","1864-11-30","Battle of Franklin (1864)",1,"1864-11-30",338,26261.8323500155,2361.3514994107,28215.0431164542,6439.3090044194,"Franklin (1864)","Union",35.9174,-86.8733
"TN037","1864-12-05","1864-12-07","Union","D","Western","Franklin-Nashville Campaign [September-December 1864]",422,225,197,0,799.52,7174.05,"Murfreesboro II","Union","1864-12-05","1864-12-07",,,"TN",0,422,208,214,,,,,,,,,,,,,,205,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Third_Battle_of_Murfreesboro",8000,7000,225,197,"CS","None","1864-12-05","1864-12-07","Third Battle of Murfreesboro",3,"1864-12-06",340,8071.7817139152,210.7999506152,7165.989708239,217.121751498,"Third Murfreesboro","Union",35.8689,-86.4593
"TN038","1864-12-15","1864-12-16","Union","A","Western","Franklin-Nashville Campaign [September-December 1864]",6602,2140,4462,0,3840.14,39422.5,"Nashville","Union","1864-12-15","1864-12-16",,,"TN",0,9561,3061,6500,49773,23207,2949,,"Union",15000,2140,"Union",15000,3100,38000,55000,,3057,"Union",3061,5350,49773,23207,"US","Union","FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Nashville",55000,30000,3061,6000,"US","None","1864-12-15","1864-12-16","Battle of Nashville",2,"1864-12-15",342,48095.9478587252,2777.2219062954,29261.2860392591,10252.1986571821,"Nashville","Union",36.0881,-86.8098
"TX001","1862-09-24","1862-09-25","Union","C","Trans-Mississippi","Operations to Blockade the Texas Coast [September 1862-January 1863]",,,,7,2665.96,6229.72,"Sabine Pass I","Union","1862-09-24","1862-09-25",,,"TX",7,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/First_Battle_of_Sabine_Pass",,60,,,"US","None","1862-09-24","1862-09-25","First Battle of Sabine Pass",2,"1862-09-24",104,237.947999442,6.9268090656,61.4309783436,17.5490795092,"First Sabine Pass","Union",29.7359,-93.8711
"TX002","1862-10-04","1862-10-04","Union","D","Trans-Mississippi","Operations to Blockade the Texas Coast [September 1862-January 1863]",0,0,0,0,4765.4,20539.74,"Galveston I","Union","1862-10-04","1862-10-04",,,"TX",7,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Galveston_Harbor_(1862)",,,0,0,"US","None","1862-10-04","1862-10-04","Battle of Galveston Harbor (1862)",1,"1862-10-04",108,201.1089851643,0,67.4749063893,0,"Galveston Harbor (1862)","Union",29.3397,-94.774
"TX003","1863-01-01","1863-01-01","Confederate","B","Trans-Mississippi","Operations Against Galveston [December 1862-January 1863]",650,600,50,0,3855.6,19434.01,"Galveston II","Confederate","1863-01-01","1863-01-01",,,"TX",0,650,600,50,,,,,,50,600,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Galveston",,,400,143,"CS","Union complete","1863-01-01","1863-01-01","Battle of Galveston",1,"1863-01-01",124,954.173960745,441.494289807,1584.9318456033,71.0308716474,"Galveston","Confederate",29.3395,-94.767
"TX005","1865-05-12","1865-05-13","Confederate","D","Trans-Mississippi","Expedition from Brazos Santiago [May 1865]",,118,,5,3744.78,11696.3,"Palmito Ranch","Confederate","1865-05-12","1865-05-13",,,"TX",0,148,118,30,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Palmito_Ranch",500,300,117,8,"US","None","1865-05-12","1865-05-13","Battle of Palmito Ranch",2,"1865-05-12",374,470.1149879523,114.5825276594,314.5399820681,13.0387196301,"Palmito Ranch","Confederate",25.9467,-97.2853
"TX006","1863-09-08","1863-09-08","Confederate","B","Trans-Mississippi","Operations to Blockade the Texas Coast [September 1863]",,230,,5,3377.22,6489.15,"Sabine Pass II","Confederate","1863-09-08","1863-09-08",,,"TX",0,350,350,0,,,,,,,,,,,,,,,,,,,,,,"TRUE","FALSE","Confederate","http://dbpedia.org/resource/Second_Battle_of_Sabine_Pass",5000,36,200,0,"US","None","1863-09-08","1863-09-08","Second Battle of Sabine Pass",1,"1863-09-08",190,4914.1649866322,240.2531024421,36.1205750705,0.0560274282,"Second Sabine Pass","Confederate",29.7205,-93.8708
"VA001","1861-05-18","1861-05-19","Inconclusive","D","Eastern","Blockade of the Chesapeake Bay [May-June 1861]",10,,,6,1781.39,11568.96,"Sewell’s Point","Inconclusive","1861-05-18","1861-05-19",,,"VA",6,10,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","FALSE","Inconclusive","http://dbpedia.org/resource/Battle_of_Sewell's_Point",,,,,"US","None","1861-05-18","1861-05-19","Battle of Sewell's Point",2,"1861-05-18",2,1055.4099027243,6.5401856219,322.2808840617,4.1039884341,"Sewell's Point","Inconclusive",36.9547,-76.3267
"VA002","1861-05-29","1861-06-01","Inconclusive","D","Eastern","Blockade of the Chesapeake Bay [May-June 1861]",10,,,6,1594.14,1140.18,"Aquia Creek","Inconclusive","1861-05-29","1861-06-01",1000,,"VA",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,"TRUE","FALSE","Inconclusive","http://dbpedia.org/resource/Battle_of_Aquia_Creek",,,9,1,"US","None","1861-05-29","1861-06-01","Battle of Aquia Creek",4,"1861-05-31",3,1695.0448741927,3.6584007382,979.7496223234,1.1443506944,"Aquia Creek","Inconclusive",38.3893,-77.3157
"VA003","1861-06-10","1861-06-10","Confederate","C","Eastern","Blockade of the Chesapeake Bay [May-June 1861]",87,79,8,0,684.04,121468.07,"Big Bethel","Confederate","1861-06-10","1861-06-10",1200,3500,"VA",0,84,76,8,,,,,,,,,,,,,,76,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Big_Bethel",3500,1400,76,8,"US","None","1861-06-10","1861-06-10","Battle of Big Bethel",1,"1861-06-10",5,3395.3703627177,70.9983066508,1321.586277778,8.5035308692,"Big Bethel","Confederate",37.0937,-76.425
