reference_number,event,type,start_date,end_date,theater,campaign,threats,ownership_federal,ownership_local,ownership_private,ownership_state,ownership_unknown,park,integrity,military,interpretive_political,interpretive_commander_loss,interpretive_casualties,interpretive_tactics_strategy,interpretive_public_mind,interpretive_combat_arm,interpretive_military_firsts,interpretive_minority_troops,interpretive_economic,interpretive_archaelolgical,interpretive_logistics,interpretive_individual_bravery,interpretive_group_behavior,interpretive_joint_ops,interpretive_coop_armies,interpretive_naval,jim,ed,bill,protected,percent,county,value,priority1,url
NC010,Fort Anderson,Attack,1863-03-14,1863-03-14,Main Eastern Theater of Operation,"Longstreet's Tidewater Operations (1863), 03/14/63, III",,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,D,,,,Cravern,,0,http://aad.archives.gov/aad//NC010
NC011,Washington,Siege,1863-03-30,1863-04-20,Main Eastern Theater of Operation,"Longstreet's Tidewater Operations (1863), 03/14/63, III",N/A,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Beaufort,,0,http://aad.archives.gov/aad//NC011
NC012,Plymouth,Capture,1864-04-17,1864-04-20,Main Eastern Theater of Operation,"Ops. against Plymouth and New Berne (1864), 04/01/64, III",N/A,0,1,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,C,,,,"Washington, Plymouth, City of",,0,http://aad.archives.gov/aad//NC012
NC013,Albemarle Sound,Engagement,1864-05-05,1864-05-05,Main Eastern Theater of Operation,"Ops. against Plymouth and New Berne (1864), 04/01/64, III",,0,0,0,1,0,0,Good,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,"Chowan, Washington",,0,http://aad.archives.gov/aad//NC013
NC014,Fort Fisher,Expedition,1864-12-07,1864-12-27,Main Eastern Theater of Operation,"Operations against Fort Fisher (1864-1865), 12/07/64, I",,1,1,1,1,0,1,Poor,C,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,C,,,,New Hanover,,0,http://aad.archives.gov/aad//NC014
NC015,Fort Fisher,Expedition,1865-01-03,1865-01-17,Main Eastern Theater of Operation,"Operations against Fort Fisher (1864-1865), 12/07/64, I",,1,1,1,1,0,1,Poor,A,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,A,,,200,100,New Hanover,,0,http://aad.archives.gov/aad//NC015
NC016,Wilmington,Occupation,1865-02-22,1865-02-22,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Campaign of the Carolinas (1865), 02/03/65, I",N/A,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,C,D,,,,"New Hanover, Wilmington, City of",,0,http://aad.archives.gov/aad//NC016
NC017,Wyse Fork,Battle,1865-03-08,1865-03-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Campaign of the Carolinas (1865), 02/03/65, I",,0,1,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Lenoir,,0,http://aad.archives.gov/aad//NC017
NC018,Monroe's Cross-Roads,Engagement,1865-03-10,1865-03-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Campaign of the Carolinas (1865), 02/03/65, I",,1,0,0,0,0,0,Good,D,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,D,,,,Hoke,,0,http://aad.archives.gov/aad//NC018
NC019,Averasborough,Battle,1865-03-16,1865-03-16,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Campaign of the Carolinas (1865), 02/03/65, I",,0,0,1,0,0,0,Good,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Harnett, Cumberland",,0,http://aad.archives.gov/aad//NC019
NC020,Bentonville,Battle,1865-03-19,1865-03-21,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Campaign of the Carolinas (1865), 02/03/65, I",,0,0,1,1,0,1,Good,A,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,A,,,90,5,Johnston,$1000-1500,1,http://aad.archives.gov/aad//NC020
ND001,Big Mound,Action,1863-07-24,1863-07-24,Trans-Mississippi Theater of Operations,"Sioux Expedition (1863), 07/24/63, III",,0,0,1,0,0,0,Fair,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,D,D,,,,Kidder,,0,http://aad.archives.gov/aad//ND001
ND002,Dead Buffalo Lake,Action,1863-07-26,1863-07-26,Trans-Mississippi Theater of Operations,"Sioux Expedition (1863), 07/24/63, III",,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,,,Kidder,,0,http://aad.archives.gov/aad//ND002
ND003,Stony Lake,Action,1863-07-28,1863-07-28,Trans-Mississippi Theater of Operations,"Sioux Expedition (1863), 07/24/63, III",,0,1,1,0,0,0,Fair,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,D,D,,,,Burleigh,,0,http://aad.archives.gov/aad//ND003
ND004,Whitestone Hill,Action,1863-09-03,1863-09-03,Trans-Mississippi Theater of Operations,"Dakota Expedition (1863), 09/03/63, III",,0,0,1,1,0,1,Fair,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,,,Dickey,,0,http://aad.archives.gov/aad//ND004
ND005,Killdeer Mountain,Action,1864-07-28,1864-07-28,Trans-Mississippi Theater of Operations,"Sully's Exp. Agnst Ind.s in Dakota Terr. (1864), 07/28/64, III",,0,0,1,1,0,1,Fair,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,C,,,,Dunn,,0,http://aad.archives.gov/aad//ND005
NM001,Valverde,Engagement,1862-02-21,1862-02-21,Trans-Mississippi Theater of Operations,"Sibley's New Mexico Campaign (1862), 11/01/61, I",,1,0,1,0,0,0,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Socorro,,0,http://aad.archives.gov/aad//NM001
NM002,Glorieta Pass,Engagement,1862-03-28,1862-03-28,Trans-Mississippi Theater of Operations,"Sibley's New Mexico Campaign (1862), 11/01/61, I",,1,0,1,0,0,1,Fair,A,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,A,,0,0,"Santa Fe, San Miguel",,1,http://aad.archives.gov/aad//NM002
OH001,Buffington Island,Engagement,1863-07-19,1863-07-19,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Morgan's Raid in KY, IN, OH (1863), 07/02/63, III",,0,0,0,0,1,0,Unk,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,C,,,Meigs,,0,http://aad.archives.gov/aad//OH001
OH002,Salineville,Skirmish,1863-07-26,1863-07-26,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Morgan's Raid in KY, IN, OH (1863), 07/02/63, III",,0,0,0,0,1,0,Unk,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Columbiana,,0,http://aad.archives.gov/aad//OH002
OK001,Round Mountain,Engagement,1861-11-19,1861-11-19,Trans-Mississippi Theater of Operations,"Operations in the Indian Territory (1861), 11/19/61, II",,0,0,0,0,1,0,Unk,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,,,,,0,http://aad.archives.gov/aad//OK001
OK002,Chusto-Talasah,Engagement,1861-12-09,1861-12-09,Trans-Mississippi Theater of Operations,"Operations in the Indian Territory (1861), 11/19/61, II",N/A,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,,,Tulsa,,0,http://aad.archives.gov/aad//OK002
OK003,Chustenahlah,Engagement,1861-12-26,1861-12-26,Trans-Mississippi Theater of Operations,"Operations in the Indian Territory (1861), 11/19/61, II",,0,1,1,0,0,0,Good,B,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,C,,,Osage,,0,http://aad.archives.gov/aad//OK003
OK004,Old Fort Wayne,Action,1862-10-22,1862-10-22,Trans-Mississippi Theater of Operations,"Offensive [C] North of Boston Mountains (1862), 08/01/62, III",,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Deleware,,0,http://aad.archives.gov/aad//OK004
OK005,Middle Boggy Depot,Action,1864-02-13,1864-02-13,Trans-Mississippi Theater of Operations,"Operations in the Indian Territory (1864), 02/01/64,",,0,0,0,0,1,0,Unk,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,0,http://aad.archives.gov/aad//OK005
OK006,Cabin Creek,Engagement,1863-07-01,1863-07-02,Trans-Mississippi Theater of Operations,"Ops. [U] tp Drive [C] from Indian Terr. (1863), 07/01/63, II",,0,0,1,1,0,0,Good,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Mayes,,0,http://aad.archives.gov/aad//OK006
OK007,Honey Springs,Engagement,1863-07-17,1863-07-17,Trans-Mississippi Theater of Operations,"Ops. [U] tp Drive [C] from Indian Terr. (1863), 07/01/63, II",,0,0,1,1,0,0,Fair,B,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,,B,,,,"Muskogee, McIntosh",,1,http://aad.archives.gov/aad//OK007
PA001,Hanover,Action,1863-06-30,1863-06-30,Main Eastern Theater of Operation,"Gettysburg Campaign (1863), 06/09/63, I",,0,0,0,0,1,0,Unk,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,York,,0,http://aad.archives.gov/aad//PA001
PA002,Gettysburg,Battle,1863-07-01,1863-07-03,Main Eastern Theater of Operation,"Gettysburg Campaign (1863), 06/09/63, I",,1,0,1,0,0,1,Good,A,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,,,,3700,90,Adams,$2500-6000,1,http://aad.archives.gov/aad//PA002
SC001,Fort Sumter,Bombardment,1861-04-12,1861-04-14,Lower Seaboard Theater of Operation,"Operations in Charleston Harbor (1861), 04/12/61, I",,1,0,1,0,0,1,Good,A,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,A,,197,90,Charleston,,0,http://aad.archives.gov/aad//SC001
SC002,Secessionville,Engagement,1862-06-16,1862-06-16,Lower Seaboard Theater of Operation,"Operations [U] Against Charleston (1862), 06/01/62, II",,0,0,1,0,0,0,Fair,B,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,B,,,,Charleston,,1,http://aad.archives.gov/aad//SC002
SC003,Simmon's Bluff,Engagement,1862-06-21,1862-06-21,Lower Seaboard Theater of Operation,"Operations [U] Against Charleston (1862), 06/01/62, II",,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Charleston,,0,http://aad.archives.gov/aad//SC003
SC004,Charleston Harbor,Engagement,1863-04-07,1863-04-07,Lower Seaboard Theater of Operation,"Ops. Agnst Defenses of Charleston (1863), 04/07/63, II",,1,1,1,1,0,1,Good,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Charleston,,0,http://aad.archives.gov/aad//SC004
SC005,Fort Wagner,Assault,1863-07-11,1863-07-11,Lower Seaboard Theater of Operation,"Ops. Agnst Defenses of Charleston (1863), 04/07/63, II",N/A,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Charleston,,0,http://aad.archives.gov/aad//SC005
SC006,Grimball's Landing,Engagement,1863-07-16,1863-07-16,Lower Seaboard Theater of Operation,"Ops. Agnst Defenses of Charleston (1863), 04/07/63, II",,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Charleston, James Island",,0,http://aad.archives.gov/aad//SC006
SC007,"Fort Wagner,Morris Is",Siege,1863-07-18,1863-09-07,Lower Seaboard Theater of Operation,"Ops. Agnst Defenses of Charleston (1863), 04/07/63, II",N/A,0,0,1,0,0,0,Lost,B,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,B,,,,Charleston,,0,http://aad.archives.gov/aad//SC007
SC008,Fort Sumter,Bombardment,1863-08-17,1863-12-31,Lower Seaboard Theater of Operation,"Ops. Agnst Defenses of Charleston (1863), 04/07/63, II",,1,0,1,0,0,1,Fair,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Charleston,,0,http://aad.archives.gov/aad//SC008
SC009,Charleston Harbor,Engagement,1863-09-07,1863-09-08,Lower Seaboard Theater of Operation,"Ops. Agnst Defenses of Charleston (1863), 04/07/63, II",,1,1,1,1,0,1,Fair,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Charleston,,0,http://aad.archives.gov/aad//SC009
SC010,Honey Hill,Engagement,1864-11-30,1864-11-30,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Savannah Campaign (1864), 11/22/64, II",,0,0,1,0,0,0,Good,C,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,C,,C,,,Jasper,,0,http://aad.archives.gov/aad//SC010
SC011,Rivers' Bridge,Action,1865-02-03,1865-02-03,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Campaign of the Carolinas (1865), 02/03/65, I",,0,0,0,1,0,1,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Bamberg,,0,http://aad.archives.gov/aad//SC011
TN001,Fort Henry,Capture,1862-02-06,1862-02-06,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Breaking the [Conf.] Barrier in the West (1862), 01/01/62, I",N/A,1,0,1,0,0,0,Lost,B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,B,,,,"Stewart, Calloway, KY",,0,http://aad.archives.gov/aad//TN001
TN002,Fort Donelson,Siege,1862-02-12,1862-02-16,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Breaking the [Conf.] Barrier in the West (1862), 01/01/62, I",,1,0,1,0,0,1,Fair,A,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,,A,,550,15,"Stewart, Dover, City of",,1,http://aad.archives.gov/aad//TN002
TN003,Shiloh,Battle,1862-04-06,1862-04-07,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Shiloh Campaign (1862), 04/01/62, I",,1,0,1,0,0,1,Good,A,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,,A,,3782,90,Hardin,$800,0,http://aad.archives.gov/aad//TN003
TN004,Memphis,Naval,1862-06-06,1862-06-06,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Joint Operations [U] on the Middle Miss. R. (1862), 02/28/62, I",,0,0,0,0,1,0,Unk,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,C,,,,"Shelby, Memphis, City of",,0,http://aad.archives.gov/aad//TN004
TN005,Chattanooga,Attack,1862-06-07,1862-06-08,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Heartland [Confederate] Offensive (1862), 08/29/62, I",N/A,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Hamilton, Chattanooga, Catoosa,Dade",,0,http://aad.archives.gov/aad//TN005
TN006,Murfreesborough,Action,1862-07-13,1862-07-13,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Heartland [Confederate] Offensive (1862), 08/29/62, I",N/A,0,1,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,C,,,,"Rutherford, Murfreesborough, City",,0,http://aad.archives.gov/aad//TN006
TN007,Hatchie's Bridge,Engagement,1862-10-05,1862-10-05,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Batt. of Corinth and Pursuit fr Corinth (1862), 10/03/62, I",,0,0,1,0,0,1,Good,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Hardeman, McNairy",,0,http://aad.archives.gov/aad//TN007
TN008,Hartsville,Action,1862-12-07,1862-12-07,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Stones River Campaign (1862-63), 12/31/62, I",,0,1,1,0,0,0,Fair,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Trousdale,,0,http://aad.archives.gov/aad//TN008
TN009,Jackson,Engagement,1862-12-19,1862-12-19,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Expedition into West Tennessee (1862-63), 12/19/62, III",,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,"Hinds, Jackson City",,0,http://aad.archives.gov/aad//TN009
TN010,Stones River,Battle,1862-12-31,1863-01-03,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Stones River Campaign (1862-63), 12/31/62, I",,1,0,1,0,0,1,Poor,A,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,A,A,,350,10,Rutherford,,0,http://aad.archives.gov/aad//TN010
TN011,Parker's Cross Roads,Engagement,1862-12-31,1862-12-31,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Expedition into West Tennessee (1862-63), 12/19/62, III",,0,1,1,1,0,1,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Henderon,,0,http://aad.archives.gov/aad//TN011
TN012,Dover,Attack,1863-02-03,1863-02-03,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Middle Tennessee Operations (1863), 02/01/63, III",N/A,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,D,,,,"Stewart, Dover, City of",,0,http://aad.archives.gov/aad//TN012
TN013,Thompson's Station,Engagement,1863-03-05,1863-03-05,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Middle Tennessee Operations (1863), 02/01/63, III",,0,0,1,0,0,0,Good,C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Williamson,,0,http://aad.archives.gov/aad//TN013
TN014,Vaught's Hill,Action,1863-03-20,1863-03-20,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Middle Tennessee Operations (1863), 02/01/63, III",,0,0,1,0,0,0,Good,D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Rutherford,,0,http://aad.archives.gov/aad//TN014
TN015,Brentwood,Action,1863-03-25,1863-03-25,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Middle Tennessee Operations (1863), 02/01/63, III",,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Williamson,,0,http://aad.archives.gov/aad//TN015
TN016,Franklin,Engagement,1863-04-10,1863-04-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Middle Tennessee Operations (1863), 02/01/63, III",,0,1,1,0,0,1,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Williamson, Franklin, City of",,0,http://aad.archives.gov/aad//TN016
TN017,Hoover's Gap,Skirmish,1863-06-24,1863-06-26,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Tullahoma Campaign (or Mid. TN Campaign) (1863), 06/23/63, III",,0,0,1,0,0,0,Fair,C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Bedford, Rutherford",,0,http://aad.archives.gov/aad//TN017
TN018,Chattanooga,Bombardment,1863-08-21,1863-08-21,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Chickagmauga Campaign (1863), 08/21/63, I",N/A,0,0,1,0,0,0,Lost,D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Hamilton, Chattanooga, City of",,0,http://aad.archives.gov/aad//TN018
TN019,Blountsville,Engagement,1863-09-22,1863-09-22,Main Western Theater of Operations & the Gulf Approach (1861-1863),"East Tennessee Campaign (1863), 08/16/63, III",N/A,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Sullivan,,0,http://aad.archives.gov/aad//TN019
TN020,Blue Springs,Action,1863-10-10,1863-10-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"East Tennessee Campaign (1863), 08/16/63, III",,0,1,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Greene,,0,http://aad.archives.gov/aad//TN020
TN021,Wauhatchie,Engagement,1863-10-27,1863-10-29,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Reopening of the Tennessee River (1863), 10/26/63, II",N/A,0,0,1,0,0,0,Lost,B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,A,C,,,"Hamilton, Marion, Dade",,0,http://aad.archives.gov/aad//TN021
TN022,Collierville,Action,1863-11-03,1863-11-03,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Ops. on the Memphis and Charleston RR (1863), 11/03/63, III",,0,1,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Shelby,,0,http://aad.archives.gov/aad//TN022
TN023,Campbell's Station,Engagement,1863-11-16,1863-11-16,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Knoxville Campaign (1863), 11/04/63, II",N/A,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Knox,,0,http://aad.archives.gov/aad//TN023
TN024,Chattanooga,Battle,1863-11-23,1863-11-25,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Chattanooga-Ringgold Campaign (1863), 11/28/63, I",,1,1,1,0,0,1,Fair,A,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,,A,,2889,90,"Hamilton, Chattanooga, City of",,1,http://aad.archives.gov/aad//TN024
TN025,Fort Sanders,Assault,1863-11-29,1863-11-29,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Knoxville Campaign (1863), 11/04/63, II",N/A,0,0,1,0,0,0,Lost,B,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,"Knox, Knoxville, City of",,0,http://aad.archives.gov/aad//TN025
TN026,Bean's Station,Engagement,1863-12-14,1863-12-14,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Knoxville Campaign (1863), 11/04/63, II",N/A,1,0,0,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Granger,,0,http://aad.archives.gov/aad//TN026
TN027,Mossy Creek,Action,1863-12-29,1863-12-29,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Operations about Dandridge, TN (1863-64), 12/24/63, III",,0,0,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Jefferson,,0,http://aad.archives.gov/aad//TN027
TN028,Dandridge,Operation,1864-01-16,1864-01-17,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Operations about Dandridge, TN (1863-64), 12/24/63, III",,0,1,1,0,0,0,Poor,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,C,,,,Jefferson,,0,http://aad.archives.gov/aad//TN028
TN029,Fair Garden,Engagement,1864-01-27,1864-01-27,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Operations about Dandridge, TN (1863-64), 12/24/63, III",,0,0,1,0,0,0,Fair,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,D,C,,,Sevier,,0,http://aad.archives.gov/aad//TN029
TN030,Fort Pillow,Capture,1864-04-12,1864-04-12,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Exp. into W. TN and KY (1864), 03/16/64, II",,0,0,0,1,0,1,Good,B,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,C,A,,,,Lauderdale,,0,http://aad.archives.gov/aad//TN030
TN031,Memphis,Attack,1864-08-21,1864-08-21,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Defense of Mississippi (1864), 06/10/64, II",N/A,0,0,1,0,0,1,Lost,C,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,B,,,,"Shelby, Memphis, City of",,0,http://aad.archives.gov/aad//TN031
TN032,Johnsonville,Action,1864-11-04,1864-11-05,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Raid into West Tennessee (1864), 10/16/64, II",N/A,1,0,1,1,0,0,Lost,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,C,,,Benton,,0,http://aad.archives.gov/aad//TN032
TN033,Bull's Gap,Action,1864-11-11,1864-11-13,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Breckenridge's Advance into E. TN (1864), 11/04/64, III",,0,1,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,D,,,,"Hamblin, Greene",,0,http://aad.archives.gov/aad//TN033
TN034,Columbia,Skirmish,1864-11-24,1864-11-27,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Franklin-Nashville Camp., No AL and Mid TN (1864), 11/14/64, I",N/A,0,0,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Maury, Columbia, City of",,0,http://aad.archives.gov/aad//TN034
TN035,Spring Hill,Engagement,1864-11-29,1864-11-29,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Franklin-Nashville Camp., No AL and Mid TN (1864), 11/14/64, I",,0,1,1,0,0,0,Good,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Maury,,1,http://aad.archives.gov/aad//TN035
TN036,Franklin,Battle,1864-11-30,1864-11-30,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Franklin-Nashville Camp., No AL and Mid TN (1864), 11/14/64, I",,0,1,1,1,0,0,Poor,A,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,A,A,10,3,"Williamson, Franklin, City of",$1500-7500,0,http://aad.archives.gov/aad//TN036
TN037,Murfreesborough,Demonstration,1864-12-05,1864-12-07,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Franklin-Nashville Camp., No AL and Mid TN (1864), 11/14/64, I",,1,1,1,0,0,1,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Rutherford, Murfreesborough, City",,0,http://aad.archives.gov/aad//TN037
TN038,Nashville,Battle,1864-12-15,1864-12-16,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Franklin-Nashville Camp., No AL and Mid TN (1864), 11/14/64, I",N/A,0,1,1,1,0,0,Lost,A,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,10,3,"Davidson, Nashville, City of",,0,http://aad.archives.gov/aad//TN038
TX001,Sabine Pass,Engagement,1862-09-24,1862-09-25,Trans-Mississippi Theater of Operations,"Efforts to Establish Posts in Texas (1862-63), 09/01/62, II",,1,0,1,1,0,1,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,C,C,,,"Jefferson, Cameron, LA",,0,http://aad.archives.gov/aad//TX001
TX002,Galveston,Naval,1862-10-05,1862-10-05,Trans-Mississippi Theater of Operations,"Efforts to Establish Posts in Texas (1862-63), 09/01/62, II",,0,1,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Galveston,,0,http://aad.archives.gov/aad//TX002
TX003,Galveston,Recapture,1863-01-01,1863-01-01,Trans-Mississippi Theater of Operations,"Efforts to Establish Posts in Texas (1862-63), 09/01/62, II",,0,1,1,0,0,0,Poor,B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,B,C,,,Galveston,,0,http://aad.archives.gov/aad//TX003
