cwsac,combatant,forces_text,description,armies,artillery_batteries,brigades,cavalry_brigades,cavalry_corps,cavalry_divisions,cavalry_regiments,companies,corps,divisions,gunboats,ironclads,rams,regiments,ships,strength,strength_max,strength_min,wooden_ships
LA002,US,Department of the Gulf [US]; Department No. 1 [CS],Department of the Gulf,,,,,,,,,,,,,,,,,,,
ND003,US,District of Minnesota [US]; Santee and Teton Sioux [I],District of Minnesota,,,,,,,,,,,,,,,,,,,
ND003,I,District of Minnesota [US]; Santee and Teton Sioux [I],Santee and Teton Sioux,,,,,,,,,,,,,,,,,,,
TN019,CS,"2nd Brigade, 4th Division, XXIII Army Corps, Department of the Ohio [US]; 1st Tennessee Cavalry Regiment and Artillery (approx. 1,200) [CS]","1st Tennessee Cavalry Regiment and Artillery (approx. 1,200)",,,,,,,,,,,,,,,,,1200,1200,
TN019,US,"2nd Brigade, 4th Division, XXIII Army Corps, Department of the Ohio [US]; 1st Tennessee Cavalry Regiment and Artillery (approx. 1,200) [CS]","2nd Brigade, 4th Division, XXIII Army Corps, Department of the Ohio",,,,,,,,,,,,,,,,,,,
WV005,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
WV005,US,Brigades,,,,1,,,,,,,,,,,,,,,,
VA072,CS,"Corps (34,300 total)",,,,,,,,,,,,,,,,,,,,
VA072,US,"Corps (34,300 total)",,,,,,,,,,,,,,,,,,,,
LA018,CS,Banks's Red River Expeditionary Force [US]; District of West Louisiana (two divisions) [CS],District of West Louisiana (two divisions),,,,,,,,,,2,,,,,,,,,
LA018,US,Banks's Red River Expeditionary Force [US]; District of West Louisiana (two divisions) [CS],Banks's Red River Expeditionary Force,,,,,,,,,,,,,,,,,,,
TN036,CS,IV and XXIII Army Corps (Army of the Ohio and Cumberland) [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
TN036,US,IV and XXIII Army Corps (Army of the Ohio and Cumberland) [US]; Army of Tennessee [CS],IV and XXIII Army Corps (Army of the Ohio and Cumberland),,,,,,,,,1,,,,,,,,,,
TN001,CS,District of Cairo [US]; Fort Henry Garrison [CS],Fort Henry Garrison,,,,,,,,,,,,,,,,,,,
TN001,US,District of Cairo [US]; Fort Henry Garrison [CS],District of Cairo,,,,,,,,,,,,,,,,,,,
VA117,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA117,US,Divisions,,,,,,,,,,,1,,,,,,,,,
AL005,CS,XVI and XIII Corps [US]; Spanish Fort Garrison [CS],Spanish Fort Garrison,,,,,,,,,,,,,,,,,,,
AL005,US,XVI and XIII Corps [US]; Spanish Fort Garrison [CS],XVI and XIII Corps,,,,,,,,,2,,,,,,,,,,
TN023,CS,Department of the Ohio [US]; Confederate Forces in East Tennessee [CS],Confederate Forces in East Tennessee,,,,,,,,,,,,,,,,,,,
TN023,US,Department of the Ohio [US]; Confederate Forces in East Tennessee [CS],Department of the Ohio,,,,,,,,,,,,,,,,,,,
AL003,CS,"Farragut's Fleet (14 wooden ships and 4 monitors) and U.S. army forces near Mobile [US]; Buchanan's Flotilla (3 gunboats and an ironclad), Fort Morgan Garrison, Fort Gaines Garrison, and Fort Powell Garrison [CS]","Buchanan's Flotilla (3 gunboats and an ironclad), Fort Morgan Garrison, Fort Gaines Garrison, and Fort Powell Garrison",,,,,,,,,,,3,1,,,,,,,
AL003,US,"Farragut's Fleet (14 wooden ships and 4 monitors) and U.S. army forces near Mobile [US]; Buchanan's Flotilla (3 gunboats and an ironclad), Fort Morgan Garrison, Fort Gaines Garrison, and Fort Powell Garrison [CS]",Farragut's Fleet (14 wooden ships and 4 monitors) and U.S. army forces near Mobile,,,,,,,,,,,,4,,,,,,,14
TN005,CS,Division [US]; Department [CS],Department,,,,,,,,,,,,,,,,,,,
TN005,US,Division [US]; Department [CS],Division,,,,,,,,,,1,,,,,,,,,
MO016,CS,"Two brigades, Army of Kansas (1,500) [US]; Cooper's Division [CS]",Cooper's Division,,,,,,,,,,1,,,,,,,,,
MO016,US,"Two brigades, Army of Kansas (1,500) [US]; Cooper's Division [CS]","Two brigades, Army of Kansas (1,500)",,,,,,,,,,,,,,,,,1500,1500,
AR011,CS,Pine Bluff Garrison (two under-strength cavalry regiments and a company of state militia) [US]; division [CS],division,,,,,,,,,,1,,,,,,,,,
AR011,US,Pine Bluff Garrison (two under-strength cavalry regiments and a company of state militia) [US]; division [CS],Pine Bluff Garrison (two under-strength cavalry regiments and a company of state militia),,,,,,,2,1,,,,,,,,,,,
SC006,CS,"6,800 total (US 3,800; CS 3,000)","3,000",,,,,,,,,,,,,,,,,3000,3000,
SC006,US,"6,800 total (US 3,800; CS 3,000)","3,800",,,,,,,,,,,,,,,,,3800,3800,
MS005,CS,"XV Army Corps, Department of the Tennessee [US]; Hébert's Brigade [CS]",Hébert's Brigade,,,1,,,,,,,,,,,,,,,,
MS005,US,"XV Army Corps, Department of the Tennessee [US]; Hébert's Brigade [CS]","XV Army Corps, Department of the Tennessee",,,,,,,,,1,,,,,,,,,,
GA008,CS,Military Division of the Mississippi [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
GA008,US,Military Division of the Mississippi [US]; Army of Tennessee [CS],Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,
WV014,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
WV014,US,Divisions,,,,,,,,,,,1,,,,,,,,,
AR003,CS,"1st and 2nd Brigade, 1st Division, Army of the Southwest [US]; unknown [CS]",unknown,,,,,,,,,,,,,,,,,,,
AR003,US,"1st and 2nd Brigade, 1st Division, Army of the Southwest [US]; unknown [CS]","1st and 2nd Brigade, 1st Division, Army of the Southwest",,,2,,,,,,,,,,,,,,,,
KY011,CS,"168th Regiment Ohio Volunteer Infantry, 171st Ohio National Guard, and the Kentucky Harrison County Home Guards [US]; Morgan's Division [CS]",Morgan's Division,,,,,,,,,,1,,,,,,,,,
KY011,US,"168th Regiment Ohio Volunteer Infantry, 171st Ohio National Guard, and the Kentucky Harrison County Home Guards [US]; Morgan's Division [CS]","168th Regiment Ohio Volunteer Infantry, 171st Ohio National Guard, and the Kentucky Harrison County Home Guards",,,,,,,,,,,,,,3,,,,,
LA013,CS,Fort Butler Garrison: two companies of the 28th Maine Volunteer Infantry and some convalescents from various regiments [US]; Tom Green's Texas Brigade and Colonel James Patrick Major's Texas Brigade [CS],Tom Green's Texas Brigade and Colonel James Patrick Major's Texas Brigade,,,2,,,,,,,,,,,,,,,,
LA013,US,Fort Butler Garrison: two companies of the 28th Maine Volunteer Infantry and some convalescents from various regiments [US]; Tom Green's Texas Brigade and Colonel James Patrick Major's Texas Brigade [CS],Fort Butler Garrison: two companies of the 28th Maine Volunteer Infantry and some convalescents from various regiments,,,,,,,,2,,,,,,,,,,,
TN034,CS,XXIII Army Corps and elements of IV Army Corps [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
TN034,US,XXIII Army Corps and elements of IV Army Corps [US]; Army of Tennessee [CS],XXIII Army Corps and elements of IV Army Corps,,,,,,,,,1.5,,,,,,,,,,
VA029,CS,"Divisions (3,000 total)",,,,,,,,,,,,,,,,,,,,
VA029,US,"Divisions (3,000 total)",,,,,,,,,,,,,,,,,,,,
TN026,CS,"Cavalry Corps, Department of the Ohio [US]; Confederate Forces in East Tennessee [CS]",Confederate Forces in East Tennessee,,,,,,,,,,,,,,,,,,,
TN026,US,"Cavalry Corps, Department of the Ohio [US]; Confederate Forces in East Tennessee [CS]","Cavalry Corps, Department of the Ohio",,,,,1,,,,,,,,,,,,,,
VA005,CS,"60,680 total (US 28,450; CS 32,230)","32,230",,,,,,,,,,,,,,,,,32230,32230,
VA005,US,"60,680 total (US 28,450; CS 32,230)","28,450",,,,,,,,,,,,,,,,,28450,28450,
VA118,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA118,US,Corps,,,,,,,,,,1,,,,,,,,,,
WV004,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
WV004,US,Brigades,,,,1,,,,,,,,,,,,,,,,
MO003,CS,"Detachments of 3rd Iowa Infantry, Home Guards, and artillery (approx. 600 men) [US]; 4th Division, Missouri State Guard [CS]","4th Division, Missouri State Guard",,,,,,,,,,1,,,,,,,,,
MO003,US,"Detachments of 3rd Iowa Infantry, Home Guards, and artillery (approx. 600 men) [US]; 4th Division, Missouri State Guard [CS]","Detachments of 3rd Iowa Infantry, Home Guards, and artillery (approx. 600 men)",,,,,,,,,,,,,,,,600,,,
MS013,CS,"Cavalry force (7,000) [US]; Forrest's Cavalry Corps [CS]",Forrest's Cavalry Corps,,,,,1,,,,,,,,,,,,,,
MS013,US,"Cavalry force (7,000) [US]; Forrest's Cavalry Corps [CS]","Cavalry force (7,000)",,,,,,,,,,,,,,,,,7000,7000,
NC001,CS,"9th and 20th New York regiments (est. 2,000) [US]; Hatteras Island Garrison (900) [CS]",Hatteras Island Garrison (900),,,,,,,,,,,,,,,,,900,900,
NC001,US,"9th and 20th New York regiments (est. 2,000) [US]; Hatteras Island Garrison (900) [CS]","9th and 20th New York regiments (est. 2,000)",,,,,,,,,,,,,,,,,2000,2000,
NC015,CS,"Expeditionary Corps, Army of the James [US]; Hoke's Division and Fort Fisher Garrison [CS]",Hoke's Division and Fort Fisher Garrison,,,,,,,,,,1,,,,,,,,,
NC015,US,"Expeditionary Corps, Army of the James [US]; Hoke's Division and Fort Fisher Garrison [CS]","Expeditionary Corps, Army of the James",,,,,,,,,1,,,,,,,,,,
GA017,CS,Military Division of the Mississippi [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
GA017,US,Military Division of the Mississippi [US]; Army of Tennessee [CS],Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,
AR013,CS,Department of Arkansas [US]; District of Arkansas [CS],District of Arkansas,,,,,,,,,,,,,,,,,,,
AR013,US,Department of Arkansas [US]; District of Arkansas [CS],Department of Arkansas,,,,,,,,,,,,,,,,,,,
WV012,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
WV012,US,Brigades,,,,1,,,,,,,,,,,,,,,,
VA058,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA058,US,Divisions,,,,,,,,,,,1,,,,,,,,,
VA036,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
VA036,US,Brigades,,,,1,,,,,,,,,,,,,,,,
TN009,CS,Two regiments from the Jackson Garrison [US]; Detachment of Forrest's Cavalry (approx. 400) [CS],Detachment of Forrest's Cavalry (approx. 400),,,,,,,,,,,,,,,,,400,400,
TN009,US,Two regiments from the Jackson Garrison [US]; Detachment of Forrest's Cavalry (approx. 400) [CS],Two regiments from the Jackson Garrison,,,,,,,,,,,,,,2,,,,,
VA115,CS,"Divisions(5,850 total)",,,,,,,,,,,,,,,,,,,,
VA115,US,"Divisions(5,850 total)",,,,,,,,,,,,,,,,,,,,
GA018,CS,Army of the Tennessee [US]; two corps of Army of Tennessee [CS],two corps of Army of Tennessee,,,,,,,,,2,,,,,,,,,,
GA018,US,Army of the Tennessee [US]; two corps of Army of Tennessee [CS],Army of the Tennessee,,,,,,,,,,,,,,,,,,,
VA073,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA073,US,Corps,,,,,,,,,,1,,,,,,,,,,
MS006,CS,Army of the Tennessee (comprising two corps) [US]; Confederate forces in area (one reinforced division: four brigades) [CS],Confederate forces in area (one reinforced division: four brigades),,,4,,,,,,,,,,,,,,,,
MS006,US,Army of the Tennessee (comprising two corps) [US]; Confederate forces in area (one reinforced division: four brigades) [CS],Army of the Tennessee (comprising two corps),,,,,,,,,2,,,,,,,,,,
VA096,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA096,US,Divisions,,,,,,,,,,,1,,,,,,,,,
VA067,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA067,US,Divisions,,,,,,,,,,,1,,,,,,,,,
VA018,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA018,US,Divisions,,,,,,,,,,,1,,,,,,,,,
MO023,CS,"1st Division, Army of the Border [US]; Army of Missouri [CS]",Army of Missouri,1,,,,,,,,,,,,,,,,,,
MO023,US,"1st Division, Army of the Border [US]; Army of Missouri [CS]","1st Division, Army of the Border",,,,,,,,,,1,,,,,,,,,
VA103,CS,"4,063 total (US 1,063; CS 3,000)","3,000",,,,,,,,,,,,,,,,,3000,3000,
VA103,US,"4,063 total (US 1,063; CS 3,000)","1,063",,,,,,,,,,,,,,,,,1063,1063,
VA053,CS,"48,000 total (US 30,000; CS 18,000)","18,000",,,,,,,,,,,,,,,,,18000,18000,
VA053,US,"48,000 total (US 30,000; CS 18,000)","30,000",,,,,,,,,,,,,,,,,30000,30000,
KY006,CS,"1st Division, Army of the Ohio, and Brig. Gen. A. Schoepf's Brigade (total of four brigades) [US]; division of two brigades [CS]",division of two brigades,,,2,,,,,,,,,,,,,,,,
KY006,US,"1st Division, Army of the Ohio, and Brig. Gen. A. Schoepf's Brigade (total of four brigades) [US]; division of two brigades [CS]","1st Division, Army of the Ohio, and Brig. Gen. A. Schoepf's Brigade (total of four brigades)",,,,,,,,,,1,,,,,,,,,
TN017,CS,"XIV Army Corps [US]; Bate's and Johnson's Brigades, Stewart's Division, Hardee's Corps, Army of Tennessee, and J.R. Butler's 1st [3rd] Kentucky Cavalry Regiment [CS]","Bate's and Johnson's Brigades, Stewart's Division, Hardee's Corps, Army of Tennessee, and J.R. Butler's 1st [3rd] Kentucky Cavalry Regiment",,,2,,,,1,,,,,,,,,,,,
TN017,US,"XIV Army Corps [US]; Bate's and Johnson's Brigades, Stewart's Division, Hardee's Corps, Army of Tennessee, and J.R. Butler's 1st [3rd] Kentucky Cavalry Regiment [CS]",XIV Army Corps,,,,,,,,,1,,,,,,,,,,
VA006,CS,"3,600 total (US 2,000; CS 1,600)","1,600",,,,,,,,,,,,,,,,,1600,1600,
VA006,US,"3,600 total (US 2,000; CS 1,600)","2,000",,,,,,,,,,,,,,,,,2000,2000,
NC016,CS,"Cox's, Ames's, and Paine's Divisions (12,000) [US]; Hoke's Division, Hagood's Brigade (6,600) [CS]","Hoke's Division, Hagood's Brigade (6,600)",,,,,,,,,,,,,,,,,6600,6600,
NC016,US,"Cox's, Ames's, and Paine's Divisions (12,000) [US]; Hoke's Division, Hagood's Brigade (6,600) [CS]","Cox's, Ames's, and Paine's Divisions (12,000)",,,,,,,,,,,,,,,,,12000,12000,
VA093,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA093,US,Corps,,,,,,,,,,1,,,,,,,,,,
VA037,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA037,US,Divisions,,,,,,,,,,,1,,,,,,,,,
TN007,CS,Detachment [US]; Army of the West [CS],Army of the West,1,,,,,,,,,,,,,,,,,,
TN007,US,Detachment [US]; Army of the West [CS],Detachment,,,,,,,,,,,,,,,,,,,
FL004,CS,"Tahoma, Adela, and landing force [US]; Company A, 2nd Battalion, Florida Volunteers [CS]","Company A, 2nd Battalion, Florida Volunteers",,,,,,,,1,,,,,,,,,,,
FL004,US,"Tahoma, Adela, and landing force [US]; Company A, 2nd Battalion, Florida Volunteers [CS]","Tahoma, Adela, and landing force",,,,,,,,,,,2,,,,,,,,
KS003,CS,Provisional cavalry division [US]; cavalry division [CS],cavalry division,,,,,,1,,,,,,,,,,,,,
KS003,US,Provisional cavalry division [US]; cavalry division [CS],Provisional cavalry division,,,,,,1,,,,,,,,,,,,,
VA076,CS,"Divisions (11,000 total)",,,,,,,,,,,,,,,,,,,,
VA076,US,"Divisions (11,000 total)",,,,,,,,,,,,,,,,,,,,
MS016,CS,Department of the Mississippi [US]; Department No. 2 [CS],Department No. 2,,,,,,,,,,,,,,,,,,,
MS016,US,Department of the Mississippi [US]; Department No. 2 [CS],Department of the Mississippi,,,,,,,,,,,,,,,,,,,
VA091,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA091,US,Divisions,,,,,,,,,,,1,,,,,,,,,
SC008,CS,Morris Island Batteries [US]; Fort Sumter Garrison [CS],Fort Sumter Garrison,,,,,,,,,,,,,,,,,,,
SC008,US,Morris Island Batteries [US]; Fort Sumter Garrison [CS],Morris Island Batteries,,,,,,,,,,,,,,,,,,,
ND001,US,District of Minnesota [US]; Santee and Teton Sioux [I],District of Minnesota,,,,,,,,,,,,,,,,,,,
ND001,I,District of Minnesota [US]; Santee and Teton Sioux [I],Santee and Teton Sioux,,,,,,,,,,,,,,,,,,,
WV001,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
WV001,US,Brigades,,,,1,,,,,,,,,,,,,,,,
VA045,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA045,US,Divisions,,,,,,,,,,,1,,,,,,,,,
VA084,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA084,US,Corps,,,,,,,,,,1,,,,,,,,,,
VA049,CS,"Divisions (total 10,000)",,,,,,,,,,,,,,,,,,,,
VA049,US,"Divisions (total 10,000)",,,,,,,,,,,,,,,,,,,,
VA123,CS,"4,100 total (US 2,500; CS 1,600)","1,600",,,,,,,,,,,,,,,,,1600,1600,
VA123,US,"4,100 total (US 2,500; CS 1,600)","2,500",,,,,,,,,,,,,,,,,2500,2500,
NC002,CS,"10,500 total (US 7,500; CS 3,000)","3,000",,,,,,,,,,,,,,,,,3000,3000,
NC002,US,"10,500 total (US 7,500; CS 3,000)","7,500",,,,,,,,,,,,,,,,,7500,7500,
NC019,CS,"XX Corps and XIV Corps (25,992) [US]; Hardee's Corps (5,400) [CS]","Hardee's Corps (5,400)",,,,,,,,,,,,,,,,,5400,5400,
NC019,US,"XX Corps and XIV Corps (25,992) [US]; Hardee's Corps (5,400) [CS]","XX Corps and XIV Corps (25,992)",,,,,,,,,,,,,,,,,25992,25992,
LA005,CS,"Reserve brigade, Department of the Gulf [US]; 18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, Detachment of Cavalry, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery and 2nd Louisiana Cavalry Regiment (approx. 1,392 men) [CS]","18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, Detachment of Cavalry, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery and 2nd Louisiana Cavalry Regiment (approx. 1,392 men)",,,,,,,,,,,,,,,,,1392,1392,
LA005,US,"Reserve brigade, Department of the Gulf [US]; 18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, Detachment of Cavalry, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery and 2nd Louisiana Cavalry Regiment (approx. 1,392 men) [CS]","Reserve brigade, Department of the Gulf",,,1,,,,,,,,,,,,,,,,
TN038,CS,"IV Army Corps, XXIII Army Corps, Detachment of Army of the Tennessee, provisional detachment, and cavalry corps [US]; Army of Tennessee [CS]",Army of Tennessee,1,,,,,,,,,,,,,,,,,,
TN038,US,"IV Army Corps, XXIII Army Corps, Detachment of Army of the Tennessee, provisional detachment, and cavalry corps [US]; Army of Tennessee [CS]","IV Army Corps, XXIII Army Corps, Detachment of Army of the Tennessee, provisional detachment, and cavalry corps",,,,,1,,,,2,,,,,,,,,,
GA012,CS,IV Corps [US]; Cleburne's Division and Brig. Gen. John H. Kelly's Brigade [CS],Cleburne's Division and Brig. Gen. John H. Kelly's Brigade,,,1,,,,,,,1,,,,,,,,,
GA012,US,IV Corps [US]; Cleburne's Division and Brig. Gen. John H. Kelly's Brigade [CS],IV Corps,,,,,,,,,1,,,,,,,,,,
MO024,CS,"1st Division, Army of the Border [US]; Army of Missouri [CS]",Army of Missouri,1,,,,,,,,,,,,,,,,,,
MO024,US,"1st Division, Army of the Border [US]; Army of Missouri [CS]","1st Division, Army of the Border",,,,,,,,,,1,,,,,,,,,
LA011,CS,African Brigade and the 23rd Iowa Volunteer Infantry [US]; McCulloch's Brigade [CS],McCulloch's Brigade,,,1,,,,,,,,,,,,,,,,
LA011,US,African Brigade and the 23rd Iowa Volunteer Infantry [US]; McCulloch's Brigade [CS],African Brigade and the 23rd Iowa Volunteer Infantry,,,1,,,,,,,,,,,1,,,,,
TN035,CS,IV and XXIII Army Corps [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
TN035,US,IV and XXIII Army Corps [US]; Army of Tennessee [CS],IV and XXIII Army Corps,,,,,,,,,1,,,,,,,,,,
VA026,CS,Armies,,1,,,,,,,,,,,,,,,,,,
VA026,US,Armies,,1,,,,,,,,,,,,,,,,,,
WV003,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
WV003,US,Brigades,,,,1,,,,,,,,,,,,,,,,
VA066,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA066,US,Divisions,,,,,,,,,,,1,,,,,,,,,
LA014,CS,"Mississippi Marine Brigade, Brigade of 1st Arkansas Volunteers (African Descent) and 10th Louisiana (African Descent) [US]; 12th and 19th Texas cavalry Regiments, 15th Louisiana Cavalry Battalion, Cameron's Louisiana Battery, and Ralston's Mississippi Battery [CS]","12th and 19th Texas cavalry Regiments, 15th Louisiana Cavalry Battalion, Cameron's Louisiana Battery, and Ralston's Mississippi Battery",,2,,,,,0.5,,,,,,,2,,,,,
LA014,US,"Mississippi Marine Brigade, Brigade of 1st Arkansas Volunteers (African Descent) and 10th Louisiana (African Descent) [US]; 12th and 19th Texas cavalry Regiments, 15th Louisiana Cavalry Battalion, Cameron's Louisiana Battery, and Ralston's Mississippi Battery [CS]","Mississippi Marine Brigade, Brigade of 1st Arkansas Volunteers (African Descent) and 10th Louisiana (African Descent)",,,2,,,,,,,,,,,1,,,,,
AR002,CS,46th Indiana and Union Gunboat [US]; fifty men and C.S. boats [CS],fifty men and C.S. boats,,,,,,,,,,,,,,,,50,,,
AR002,US,46th Indiana and Union Gunboat [US]; fifty men and C.S. boats [CS],46th Indiana and Union Gunboat,,,,,,,,,,,1,,,1,,,,,
VA020A,CS,Armies,,1,,,,,,,,,,,,,,,,,,
VA020A,US,Armies,,1,,,,,,,,,,,,,,,,,,
VA092,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA092,US,Corps,,,,,,,,,,1,,,,,,,,,,
AR016,CS,Department of Arkansas [US]; Army of Arkansas [CS],Army of Arkansas,,,,,,,,,,,,,,,,,,,
AR016,US,Department of Arkansas [US]; Army of Arkansas [CS],Department of Arkansas,,,,,,,,,,,,,,,,,,,
VA087,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA087,US,Corps,,,,,,,,,,1,,,,,,,,,,
LA012,CS,838 men from eight regiments [US]; 2nd Cavalry Brigade [CS],2nd Cavalry Brigade,,,,1,,,,,,,,,,,,,,,
LA012,US,838 men from eight regiments [US]; 2nd Cavalry Brigade [CS],838 men from eight regiments,,,,,,,,,,,,,,,,,838,838,
VA020B,CS,Armies,,1,,,,,,,,,,,,,,,,,,
VA020B,US,Armies,,1,,,,,,,,,,,,,,,,,,
TN018,CS,Wilder's Brigade [US]; Hill's Corps [CS],Hill's Corps,,,,,,,,,1,,,,,,,,,,
TN018,US,Wilder's Brigade [US]; Hill's Corps [CS],Wilder's Brigade,,,1,,,,,,,,,,,,,,,,
NC014,CS,"Expeditionary Corps, Army of the James [US]; Hoke's Division and Fort Fisher Garrison [CS]",Hoke's Division and Fort Fisher Garrison,,,,,,,,,,1,,,,,,,,,
NC014,US,"Expeditionary Corps, Army of the James [US]; Hoke's Division and Fort Fisher Garrison [CS]","Expeditionary Corps, Army of the James",,,,,,,,,1,,,,,,,,,,
VA013,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA013,US,Divisions,,,,,,,,,,,1,,,,,,,,,
VA100,CS,Two gunboats [US]; battery garrison [CS],battery garrison,,,,,,,,,,,,,,,,,,,
VA100,US,Two gunboats [US]; battery garrison [CS],Two gunboats,,,,,,,,,,,2,,,,,,,,
KS002,CS,Detachments from three regiments and an escort [US]; Quantrill's Raiders (approx. 400) [CS],Quantrill's Raiders (approx. 400),,,,,,,,,,,,,,,,,400,400,
KS002,US,Detachments from three regiments and an escort [US]; Quantrill's Raiders (approx. 400) [CS],Detachments from three regiments and an escort,,,,,,,,,,,,,,1.5,,,,,
KY009,CS,Army of the Ohio [US]; Army of the Mississippi [CS],Army of the Mississippi,1,,,,,,,,,,,,,,,,,,
KY009,US,Army of the Ohio [US]; Army of the Mississippi [CS],Army of the Ohio,,,,,,,,,,,,,,,,,,,
VA125,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
VA125,US,Brigades,,,,1,,,,,,,,,,,,,,,,
LA004,CS,Three Navy ships [US]; a few partisans [CS],a few partisans,,,,,,,,,,,,,,,,,,,
LA004,US,Three Navy ships [US]; a few partisans [CS],Three Navy ships,,,,,,,,,,,,,,,3,,,,
TN037,CS,"District of Tennessee (forces in Murfreesboro area; approx. 8,000) [US]; Forrest's Cavalry, Bate's Infantry Division, and Brig. Gen. Claudius Sears's and Brig. Gen. Joseph B. Palmer's Infantry Brigades (6,500-7,000) [CS]","Forrest's Cavalry, Bate's Infantry Division, and Brig. Gen. Claudius Sears's and Brig. Gen. Joseph B. Palmer's Infantry Brigades (6,500-7,000)",,,,,,,,,,,,,,,,,6500,6500,
TN037,US,"District of Tennessee (forces in Murfreesboro area; approx. 8,000) [US]; Forrest's Cavalry, Bate's Infantry Division, and Brig. Gen. Claudius Sears's and Brig. Gen. Joseph B. Palmer's Infantry Brigades (6,500-7,000) [CS]","District of Tennessee (forces in Murfreesboro area; approx. 8,000)",,,,,,,,,,,,,,,,,8000,8000,
VA002,CS,3 gunboats [US]; battery garrison [CS],battery garrison,,,,,,,,,,,,,,,,,,,
VA002,US,3 gunboats [US]; battery garrison [CS],3 gunboats,,,,,,,,,,,3,,,,,,,,
MO002,CS,Brigade [US]; Missouri State Guard divisions [CS],Missouri State Guard divisions,,,,,,,,,,1,,,,,,,,,
MO002,US,Brigade [US]; Missouri State Guard divisions [CS],Brigade,,,1,,,,,,,,,,,,,,,,
VA085,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA085,US,Corps,,,,,,,,,,1,,,,,,,,,,
OH002,CS,"3,000 total (US 2,600; CS 400)",400,,,,,,,,,,,,,,,,,400,400,
OH002,US,"3,000 total (US 2,600; CS 400)","2,600",,,,,,,,,,,,,,,,,2600,2600,
VA003,CS,"4,700 total (US 3,500; CS 1,200)","1,200",,,,,,,,,,,,,,,,,1200,1200,
VA003,US,"4,700 total (US 3,500; CS 1,200)","3,500",,,,,,,,,,,,,,,,,3500,3500,
VA105,CS,"17,300 total (US 11,500; CS 5,800)","5,800",,,,,,,,,,,,,,,,,5800,5800,
VA105,US,"17,300 total (US 11,500; CS 5,800)","11,500",,,,,,,,,,,,,,,,,11500,11500,
GA002,CS,Union Navy Flotilla [US]; Fort McAllister Garrison [CS],Fort McAllister Garrison,,,,,,,,,,,,,,,,,,,
GA002,US,Union Navy Flotilla [US]; Fort McAllister Garrison [CS],Union Navy Flotilla,,,,,,,,,,,,,,,,,,,
MS012,CS,"Department of the Tennessee [US]; Department of Alabama, Mississippi and East Louisiana [CS]","Department of Alabama, Mississippi and East Louisiana",,,,,,,,,,,,,,,,,,,
MS012,US,"Department of the Tennessee [US]; Department of Alabama, Mississippi and East Louisiana [CS]",Department of the Tennessee,,,,,,,,,,,,,,,,,,,
MO013,CS,Combined force (cavalry and artillery) [US]; Missouri Brigade [CS],Missouri Brigade,,,1,,,,,,,,,,,,,,,,
MO013,US,Combined force (cavalry and artillery) [US]; Missouri Brigade [CS],Combined force (cavalry and artillery),,,,,,,,,,,,,,,,,,,
VA109,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
VA109,US,Brigades,,,,1,,,,,,,,,,,,,,,,
