battle,event_type,state,year,battle_name,start_date,end_date,text,cas_k,cas_w,cas_m,cas_mp,cas_kwm,cas_total
6406,Action,TN,1863,"Nov. 24-25: Actions at Tunnel Hill, terminus of Missionary Ridge",1863-11-24,1863-11-25,"ILLINOIS--Battery ""A,"" 1st Light Arty.; 10th, 26th, 34th, 40th, 48th, 55th, 56th, 63d, 78th, 80th, 82d, 85th, 86th, 90th, 93d, 103d, 110th, 116th, 125th and 127th Infantry. INDIANA--12th, 48th, 59th, 97th, 99th and 100th Infantry. IOWA--5th, 6th, 10th and 17th Infantry. KENTUCKY--21st Infantry. MASSACHUSETTS--33d Infantry. MICHIGAN--10th Infantry. MINNESOTA--4th Infantry. MISSOURI--Battery ""D,"" 1st Light Arty.; 6th, 8th, 10th, 24th (Co. ""E"") and 26th Infantry. NEW JERSEY--33d Infantry. NEW YORK--45th, 58th, 68th, 119th, 134th, 136th, 141st, 143d and 154th Infantry. OHIO--30th, 37th, 46th, 47th, 52d, 53d, 54th, 55th, 57th, 61st, 70th, 73d, 80th, 82d, 98th, 108th, 113th and 121st Infantry. PENNSYLVANIA--27th, 73d and 75th Infantry. WEST VIRGINIA--4th Infantry. WISCONSIN--6th Indpt. Battery Light Arty.; 18th and 26th Infantry.",,,,,,
6407,Assault,TN,1863,Nov. 24-25: Assault and Capture of Missionary Ridge,1863-11-24,1863-11-25,"ILLINOIS--15th Cavalry (Co. ""K""); Batteries ""B,"" ""C,"" ""F,"" ""H,"" ""I"" and ""M,"" 1st Light Arty.; Battery ""I,"" 2d Light Arty.; Cogswell's Indpt. Battery Light Arty.; 13th, 19th, 22d, 24th, 25th, 27th, 35th, 36th, 42d, 44th, 51st, 59th, 73d, 74th, 75th, 79th, 84th, 88th, 89th, 96th, 100th and 104th Infantry. INDIANA--7th and 10th Indpt. Batteries Light Arty.; 6th, 10th, 15th, 22d, 32d, 38th, 40th, 42d, 57th, 58th, 68th, 74th, 75th, 79th, 82d, 86th, 87th, 88th and 101st Infantry. IOWA--1st Battery Light Arty.; 4th, 9th, 25th, 26th, 30th and 31st Infantry. KANSAS--8th Infantry. KENTUCKY--2d Cavalry (Detachment); 3d, 4th, 5th, 6th, 8th, 9th, 10th, 15th, 17th, 21st and 23d Infantry. MICHIGAN--Battery ""D,"" 1st Light Arty.; 10th and 11th Infantry. MINNESOTA--2d Infantry. MISSOURI--Battery ""F,"" 2d Light Arty.; 2d, 3d, 12th, 15th, 17th, 27th, 29th, 31st and 32d Infantry. NEW YORK--Battery ""I,"" 1st Light Arty.; 13th Indpt. Battery; 60th, 78th, 102d, 137th and 149th Infantry. OHIO--Batteries ""B,"" ""C,"" ""F,"" ""G,"" ""K"" and ""M,"" 1st Light Arty.; 4th and 18th Indpt. Batteries Light Arty.; 1st, 2d, 5th, 6th, 7th, 9th, 11th, 13th, 14th, 15th, 17th, 19th, 21st, 24th, 26th, 29th, 31st, 33d, 35th, 36th, 38th, 40th, 41st, 49th, 51st, 52d, 59th, 64th, 65th, 66th, 69th, 76th, 89th, 92d, 93d, 94th, 97th, 98th, 99th, 105th, 108th, 113th, 124th and 125th Infantry. PENNSYLVANIA--Indpt. Battery ""E"" Light Arty.; 28th, 29th, 78th, 109th, 111th and 147th Infantry. WISCONSIN--12th Indpt. Battery Light Arty.; 15th and 24th Infantry. UNITED STATES--15th, 16th, 18th and 19th Infantry.",,,,,,
6408,Raid,TN,1863,Nov. 24-27: Raid on East Tennessee & Georgia R. R.,1863-11-24,1863-11-27,"ILLINOIS--98th Mounted Infantry. INDIANA--17th Mounted Infantry. MICHIGAN--4th Cavalry. OHIO--1st, 3d and 4th Cavalry.",,,,,,
6409,Skirmish,TN,1863,"Nov. 25: Skirmish, Yankeetown",1863-11-25,1863-11-25,(No Reports.),,,,,,
6410,Skirmish,TN,1863,"Nov. 26: Skirmish, Beersheeba Springs",1863-11-26,1863-11-26,ALABAMA and TENNESSEE--Scouts.,,,,,,
6411,Skirmish,TN,1863,"Nov. 26: Skirmish, Sparta",1863-11-26,1863-11-26,MICHIGAN--2d Cavalry. PENNSYLVANIA--9th Cavalry. TENNESSEE--1st Cavalry.,,,,,,
6412,Skirmish,TN,1863,"Nov. 26: Skirmish, Chickamauga Station",1863-11-26,1863-11-26,"ILLINOIS--Battery ""I,"" 2d Light Arty.; 10th, 16th, 34th, 60th and 78th Infantry. KENTUCKY--21st Infantry. MICHIGAN--10th Infantry. OHIO--98th, 108th, 113th and 121st Infantry.",,,,,,
6413,Skirmish,TN,1863,"Nov. 26: Skirmish, Charleston",1863-11-26,1863-11-26,"ILLINOIS--98th Mounted Infantry. INDIANA--17th Mounted Infantry. MICHIGAN--4th Cavalry. OHIO--1st, 3d and 4th Cavalry.",,,,,,
6414,Skirmish,TN,1863,"Nov. 26: Skirmish, Pea Vine Valley",1863-11-26,1863-11-26,"ILLINOIS--19th and 104th Infantry. INDIANA--38th, 42d and 88th Infantry. MICHIGAN--11th Infantry. OHIO--2d, 33d, 69th and 94th Infantry. WISCONSIN--10th Infantry. UNITED STATES--15th, 16th, 18th and 19th Infantry.",,,,,,
6415,Skirmish,TN,1863,"Nov. 26: Skirmish, Pigeon Hills",1863-11-26,1863-11-26,INDIANA--36th Infantry. OHIO--99th Infantry.,,,,,,
6416,Skirmish,TN,1863,"Nov. 27: Skirmish, Gillespie's",1863-11-27,1863-11-27,TENNESSEE--1st Infantry.,,,,,,
6417,Action,TN,1863,"Nov. 27: Action, Cleveland",1863-11-27,1863-11-27,"ILLINOIS--98th Mounted Infantry. INDIANA--17th Mounted Infantry. MICHIGAN--4th Cavalry. OHIO--1st, 3d and 4th Cavalry.",,,,,,
6418,Skirmish,TN,1863,"Nov. 27: Skirmish, Sparta",1863-11-27,1863-11-27,"TENNESSEE--1st Cavalry. Union loss, 200 missing.",0,0,200,0,0,200
6419,March,TN,1863,Nov. 27-Dec. 8: March to relief of Knoxville,1863-11-27,1863-12-08,"ILLINOIS--Battery ""I,"" 2d Light Arty.; 10th, 13th, 22d, 25th, 26th, 27th, 34th, 35th, 36th, 40th, 42d, 44th, 48th, 51st, 55th, 60th, 73d, 74th, 78th, 79th, 80th, 82d, 85th, 86th, 88th, 89th, 90th, 92d (Mounted), 100th, 101st, 103d, 110th, 116th, 125th and 127th Infantry. INDIANA--6th, 12th, 15th, 17th (Mounted), 22d, 32d, 40th, 57th, 58th, 68th, 79th, 83d, 86th, 97th, 99th and 100th Infantry. IOWA--4th, 6th, 9th, 25th, 26th, 30th and 31st Infantry. KANSAS--8th Infantry. KENTUCKY--2d Cavalry; 3d, 5th, 6th, 9th, 17th, 21st and 23d Infantry. MASSACHUSETTS--33d Infantry. MICHIGAN--4th Cavalry; 10th Infantry. MISSOURI--2d, 3d, 6th, 8th, 12th, 15th, 17th, 27th, 29th, 31st and 32d Infantry. NEW JERSEY--33d Infantry. NEW YORK--13th Indpt. Battery Light Arty.; 45th, 58th, 68th, 119th, 134th, 136th, 141st, 143d and 154th Infantry. OHIO--1st, 3d, 4th and 10th Cavalry; Battery ""I,"" 1st Light Arty.; 1st, 6th, 13th, 19th, 26th, 30th, 37th, 41st, 46th, 47th, 52d, 53d, 54th, 55th, 57th, 59th, 61st, 64th, 65th, 70th, 73d, 76th, 82d, 93d, 97th, 98th, 108th, 113th, 121st, 124th and 125th Infantry. PENNSYLVANIA--27th, 73d and 75th Infantry. WISCONSIN--15th, 24th and 26th Infantry. WEST VIRGINIA--4th Infantry. UNITED STATES--3d Cavalry; 13th Infantry.",,,,,,
6420,Occupation,TN,1863,Nov. 28-Dec. 10: Operations on Memphis & Charleston R. R. against Lee's attack,1863-11-28,1863-12-10,"ALABAMA--1st Cavalry. ILLINOIS--3d, 6th, 7th and 9th Cavalry; Battery ""K,"" 1st Light Arty. IOWA--2d Cavalry. KANSAS--7th Cavalry. MICHIGAN--3d Cavalry. TENNESSEE--6th Cavalry.",,,,,,
6421,Assault,TN,1863,"Nov. 29: Assault on Forts Saunders and Loudon, Knoxville",1863-11-29,1863-11-29,"MICHIGAN--2d Infantry. NEW YORK--79th Infantry. PENNSYLVANIA--100th Infantry. RHODE ISLAND--Battery ""D,"" 1st Light Arty. UNITED STATES--Battery ""E,"" 2d Arty. Union loss, 20 killed, 80 wounded. Total, 100.",,80,,,20,100
6422,Skirmish,TN,1863,"Nov. 30: Skirmish, Yankeetown",1863-11-30,1863-11-30,"TENNESSEE--1st Cavalry (Detachment). Union loss, 1 killed, 1 wounded. Total, 2.",,1,,,1,2
6423,Scout,TN,1863,Nov. 30-Dec. 3: Scouts to New Madrid Bend,1863-11-30,1863-12-03,IOWA--32d Infantry.,,,,,,
6424,Scout,TN,1863,Dec. 1: Scouts from Pulaski,1863-12-01,1863-12-01,ILLINOIS--7th and 9th Mounted Infantry.,,,,,,
6425,Skirmish,TN,1863,Dec. 1: Skirmish near Florence,1863-12-01,1863-12-01,ILLINOIS--7th and 9th Mounted Infantry.,,,,,,
6426,Skirmish,TN,1863,Dec. 1: Skirmish near Maynardsville,1863-12-01,1863-12-01,ILLINOIS--14th Cavalry; Colvin's Indpt. Battery Light Arty. INDIANA--65th Mounted Infantry.,,,,,,
6427,Skirmish,TN,1863,Dec. 2: Skirmish near Eastport,1863-12-02,1863-12-02,ILLINOIS--7th Mounted Infantry (Detachment).,,,,,,
6428,Skirmish,TN,1863,"Dec. 2: Skirmish, Philadelphia",1863-12-02,1863-12-02,OHIO--3d Cavalry.,,,,,,
6429,Skirmish,TN,1863,Dec. 2: Skirmish near Loudon,1863-12-02,1863-12-02,"ILLINOIS--98th Mounted Infantry (Detachment). OHIO--1st, 3d, 5th and 10th Cavalry (Detachments). UNITED STATES--3d Cavalry (Detachment).",,,,,,
6430,Skirmish,TN,1863,"Dec. 2: Skirmish, Moscow",1863-12-02,1863-12-02,WISCONSIN--32d Infantry.,,,,,,
6431,Action,TN,1863,"Dec. 2: Action, Walker's Ford, Clinch River",1863-12-02,1863-12-02,"ILLINOIS--14th Cavalry. INDIANA--5th Cavalry; 65th (Mounted), 116th and 118th Infantry. MICHIGAN--12th Indpt. Battery Light Arty. (""M""), OHIO--21st Indpt. Battery Light Arty. TENNESSEE--2d Mounted Infantry. Union loss, 9 killed, 43 wounded, 12 missing. Total, 64.",,43,12,,9,64
6432,Action,TN,1863,"Dec. 2: Action, Saulsbury",1863-12-02,1863-12-02,"ILLINOIS--6th, 7th and 9th Cavalry; 47th Infantry. IOWA--2d Cavalry.",,,,,,
6433,Reconn,TN,1863,Dec. 2-3: Reconnoissance from Blain's Cross Roads to Powder Springs Gap,1863-12-02,1863-12-03,ILLINOIS--14th Cavalry.,,,,,,
6434,Action,TN,1863,"Dec. 3: Action, Log Mountain",1863-12-03,1863-12-03,INDIANA--5th Cavalry.,,,,,,
6435,Skirmish,TN,1863,"Dec. 3: Skirmish, Moscow",1863-12-03,1863-12-03,TENNESSEE--2d West (Colored) Infantry (Detachment).,,,,,,
6436,Action,TN,1863,"Dec. 3-4: Action, Wolf Bridge, near Moscow",1863-12-03,1863-12-04,"ILLINOIS--6th, 7th and 9th Cavalry; Battery ""K,"" 1st Light Arty. IOWA--2d Cavalry. TENNESSEE--2d West (Colored) Infantry. Union loss, 7 killed, 31 wounded, 25 missing. Total, 63.",,31,25,,7,63
6437,Skirmish,TN,1863,Dec. 4: Skirmish near Kingston,1863-12-04,1863-12-04,"ILLINOIS--Elgin Indpt. Battery Light Arty. INDIANA--3d Cavalry (1st Battalion); 84th Infantry. KENTUCKY--16th Infantry. MICHIGAN--25th Infantry. OHIO--118th Infantry. TENNESSEE--3d, 5th and 6th Infantry.",,,,,,
6438,Skirmish,TN,1863,"Dec. 4: Skirmish, La Fayette",1863-12-04,1863-12-04,ILLINOIS--6th Cavalry.,,,,,,
6439,Skirmish,TN,1863,"Dec. 4-5: Skirmishes, Loudon",1863-12-04,1863-12-05,NEW YORK--141st Infantry.,,,,,,
6440,Skirmish,TN,1863,"Dec. 5: Skirmish, Walker's Ford, Clinch River",1863-12-05,1863-12-05,INDIANA--5th Cavalry.,,,,,,
6441,Action,TN,1863,Dec. 5: Action Crab Gap,1863-12-05,1863-12-05,OHIO--22d Battery Light Arty.,,,,,,
6442,Skirmish,TN,1863,"Dec. 6: Skirmish, Clinch Mountain",1863-12-06,1863-12-06,(No Reports.),,,,,,
6443,Affair,TN,1863,Dec. 6: Affair near Fayetteville,1863-12-06,1863-12-06,Destruction of Bridge by Confederates.,,,,,,
6444,Expedition,TN,1863,"Dec. 6-11: Expedition to Murphey, N. C.",1863-12-06,1863-12-11,"ILLINOIS--98th Mounted Infantry. OHIO--1st, 3d, 4th, 5th (Battalion) and 10th Cavalry. UNITED STATES--3d Cavalry (Detachment).",,,,,,
6445,Skirmish,TN,1863,"Dec. 7: Skirmish, Celina",1863-12-07,1863-12-07,KENTUCKY--13th Cavalry.,,,,,,
6446,Skirmish,TN,1863,"Dec. 7: Skirmish, Rutledge",1863-12-07,1863-12-07,MICHIGAN--9th Cavalry.,,,,,,
6447,Skirmish,TN,1863,"Dec. 7: Skirmish, Eagleville",1863-12-07,1863-12-07,TENNESSEE--5th Cavalry.,,,,,,
6448,Skirmish,TN,1863,"Dec. 9: Skirmish on road to Crossville, Cumberland Mountains",1863-12-09,1863-12-09,PENNSYLVANIA--9th Cavalry.,,,,,,
6449,Skirmish,TN,1863,"Dec. 9: Skirmish, Sparta",1863-12-09,1863-12-09,PENNSYLVANIA--9th Cavalry.,,,,,,
6450,Skirmish,TN,1863,Dec. 9-15: Skirmishes at and near Bean's Station,1863-12-09,1863-12-15,"ILLINOIS--112th Infantry. KENTUCKY--1st, 11th and 12th Cavalry; 11th and 27th Infantry. MICHIGAN--8th Cavalry. OHIO--45th Mounted Infantry. TENNESSEE--1st Mounted Infantry.",,,,,,
6451,Affair,TN,1863,"Dec. 10: Affair, Russellville",1863-12-10,1863-12-10,KENTUCKY--11th and 27th Infantry. OHIO--45th Mounted Infantry.,,,,,,
6452,Scout,TN,1863,Dec. 10: Scout from Memphis,1863-12-10,1863-12-10,"ILLINOIS--6th Cavalry (Co. ""M"").",,,,,,
6453,Skirmish,TN,1863,"Dec. 10: Skirmish, Long's Ford",1863-12-10,1863-12-10,OHIO--2d Cavalry.,,,,,,
6454,Action,TN,1863,"Dec. 10: Action, Gatlinsburg",1863-12-10,1863-12-10,"PENNSYLVANIA--15th Cavalry. Union loss, 3 wounded.",0,3,0,0,0,3
6455,Action,TN,1863,"Dec. 10: Action, Bean's Station",1863-12-10,1863-12-10,ILLINOIS--112th Infantry. INDIANA--15th Indpt. Battery Light Arty. MICHIGAN--8th Cavalry. OHIO--45th Mounted Infantry. TENNESSEE--1st Mounted Infantry.,,,,,,
6456,Action,TN,1863,"Dec. 10: Action, Morristown",1863-12-10,1863-12-10,MICHIGAN--9th Cavalry. OHIO--2d and 7th Cavalry.,,,,,,
6457,Scout,TN,1863,"Dec. 11-17: Scout from Pulaski to Florence, Ala.",1863-12-11,1863-12-17,ILLINOIS--7th Mounted Infantry.,,,,,,
6458,Skirmish,TN,1863,"Dec. 12: Skirmish. Shoal Creek, near Wayland Springs",1863-12-12,1863-12-12,"ILLINOIS--7th Mounted Infantry. Union loss, 1 wounded.",0,1,0,0,0,1
6459,Action,TN,1863,"Dec. 12: Action, Cheek's Cross Roads",1863-12-12,1863-12-12,MICHIGAN--9th Cavalry. OHIO--2d and 7th Cavalry.,,,,,,
6460,Action,TN,1863,"Dec. 12-13: Action, Russellville",1863-12-12,1863-12-13,MICHIGAN--9th Cavalry. OHIO--2d and 7th Cavalry.,,,,,,
6461,Skirmish,TN,1863,"Dec. 13: Skirmish, La Grange",1863-12-13,1863-12-13,ILLINOIS--7th Cavalry.,,,,,,
6462,Skirmish,TN,1863,Dec. 13: Skirmish near Dandridge Mill,1863-12-13,1863-12-13,PENNSYLVANIA--15th Cavalry.,,,,,,
6463,Skirmish,TN,1863,"Dec. 13: Skirmish, Farley's Mill, Holston River",1863-12-13,1863-12-13,(No Reports.),,,,,,
6464,Skirmish,TN,1863,Dec. 14: Skirmish near Morristown,1863-12-14,1863-12-14,PENNSYLVANIA--15th Cavalry.,,,,,,
6465,Engagement,TN,1863,"Dec. 14: Engagement, Bean's Station",1863-12-14,1863-12-14,"ILLINOIS--14th Cavalry; 112th Infantry. INDIANA--5th and 6th Cavalry; 65th Mounted Infantry. KENTUCKY--11th and 27th Infantry. MICHIGAN--8th and 9th Cavalry. OHIO--2d and 7th Cavalry; 44th and 45th Mounted Infantry. Union loss, 16 killed, 51 wounded, 48 missing. Total, 115.",,51,48,,16,115
6466,Skirmish,TN,1863,"Dec. 14: Skirmish, Granger's Mill",1863-12-14,1863-12-14,MICHIGAN--2d Infantry.,,,,,,
6467,Skirmish,TN,1863,"Dec. 14: Skirmish, Clinch Mountain Gap",1863-12-14,1863-12-14,INDIANA--117th Infantry.,,,,,,
6468,Action,TN,1863,"Dec. 15: Action, Rutledge",1863-12-15,1863-12-15,INDIANA--Wilder's Indpt. Battery Light Arty. MICHIGAN--9th Cavalry.,,,,,,
6469,Affair,TN,1863,"Dec. 15: Affair, Pulaski",1863-12-15,1863-12-15,(No Reports.),,,,,,
6470,Skirmish,TN,1863,Dec. 15: Skirmish near Livingston,1863-12-15,1863-12-15,KENTUCKY--13th Mounted Infantry (Detachment).,,,,,,
6471,Action,TN,1863,"Dec. 15: Action, Bean's Station",1863-12-15,1863-12-15,KENTUCKY--11th and 27th Infantry. OHIO--45th Mounted Infantry.,,,,,,
6472,Action,TN,1863,"Dec. 16: Action, Rutledge",1863-12-16,1863-12-16,KENTUCKY--11th and 27th Infantry. MICHIGAN--9th Cavalry. OHIO--2d and 7th Cavalry; 45th Mounted Infantry.,,,,,,
6473,Skirmish,TN,1863,"Dec. 16-19: Skirmishes, Blain's Cross Roads",1863-12-16,1863-12-19,ILLINOIS--14th Cavalry; 112th Infantry. INDIANA--5th Cavalry; 15th Indpt. Battery Light Arty.; 65th Mounted Infantry. KENTUCKY--11th and 27th Infantry. MICHIGAN--8th and 9th Cavalry. OHIO--2d and 7th Cavalry; 45th Mounted Infantry. TENNESSEE--1st Mounted Infantry.,,,,,,
6474,Action,TN,1863,"Dec. 18: Action, Bean's Station",1863-12-18,1863-12-18,KENTUCKY--12th Cavalry.,,,,,,
6475,Action,TN,1863,"Dec. 18: Action, Rutledge",1863-12-18,1863-12-18,OHIO--7th Cavalry.,,,,,,
6476,Skirmish,TN,1863,"Dec. 19: Skirmish, Stone's Mill",1863-12-19,1863-12-19,(No Reports.),,,,,,
6477,Skirmish,TN,1863,"Dec. 21: Skirmish, McMinnville",1863-12-21,1863-12-21,TENNESSEE--5th Cavalry.,,,,,,
6478,Skirmish,TN,1863,"Dec. 21: Skirmish, Clinch River",1863-12-21,1863-12-21,INDIANA--5th Cavalry.,,,,,,
6479,Skirmish,TN,1863,"Dec. 22: Skirmish, Cleveland",1863-12-22,1863-12-22,"MICHIGAN--4th Cavalry (Detachment). Union loss, 1 killed, 6 missing. Total, 7.",,,6,,1,7
6480,Scout,TN,1863,"Dec. 22-23: Scouts near Dandridge, and Skirmish",1863-12-22,1863-12-23,OHIO--10th Cavalry (Detachment). PENNSYLVANIA--15th Cavalry (Detachment).,,,,,,
6481,Skirmish,TN,1863,"Dec. 23: Skirmish, Mulberry Village",1863-12-23,1863-12-23,INDIANA--37th Infantry (Detachment).,,,,,,
6482,Occupation,TN,1863,Dec. 24-28: Operations about Dandridge and Mossy Creek,1863-12-24,1863-12-28,"INDIANA--2d and 4th Cavalry; 18th Indpt. Battery Light Arty. KENTUCKY--7th Cavalry. MICHIGAN--2d and 9th Cavalry. OHIO--2d and 7th Cavalry. PENNSYLVANIA--9th and 15th Cavalry. TENNESSEE--1st, 2d and 3d Cavalry; 2d Mounted Infantry. WISCONSIN--1st Cavalry. Union loss, 20 killed, 88 wounded, 19 missing. Total, 127.",,88,19,,20,127
6483,Skirmish,TN,1863,"Dec. 24: Skirmish, Estenaula",1863-12-24,1863-12-24,ILLINOIS--7th Cavalry.,,,,,,
6484,Action,TN,1863,"Dec. 24: Action, Hays' Ferry, near Dandridge",1863-12-24,1863-12-24,"INDIANA--18th Indpt. Battery Light Arty. MICHIGAN--2d and 9th Cavalry. OHIO--2d, 7th and 10th (Detachment) Cavalry. PENNSYLVANIA--9th and 15th (Detachment) Cavalry. TENNESSEE--1st Cavalry; 1st Mounted Infantry. Union loss, 7 killed, 27 wounded, 27 missing. Total, 61.",,27,27,,7,61
6485,Skirmish,TN,1863,"Dec. 24: Skirmish, Jack's Creek",1863-12-24,1863-12-24,ALABAMA--1st Cavalry.,,,,,,
6486,Skirmish,TN,1863,"Dec. 24: Skirmish, Mossy Creek Station",1863-12-24,1863-12-24,INDIANA--2d and 4th Cavalry; 18th Indpt. Battery Light Arty. KENTUCKY--7th Cavalry. WISCONSIN--1st Cavalry.,,,,,,
6487,Skirmish,TN,1863,"Dec. 24: Skirmish, Peck's House, near New Market",1863-12-24,1863-12-24,"INDIANA--2d and 4th Cavalry. KENTUCKY--7th Cavalry. WISCONSIN--1st Cavalry. Union loss, 2 killed, 9 wounded. Total, 11.",,9,,,2,11
6488,Skirmish,TN,1863,"Dec. 26: Skirmish, New Castle",1863-12-26,1863-12-26,ILLINOIS--7th Cavalry.,,,,,,
6489,Skirmish,TN,1863,"Dec. 26: Skirmish, Somerville",1863-12-26,1863-12-26,"ILLINOIS--7th Cavalry. Union loss, 3 killed, 8 wounded, 29 missing. Total, 40.",,8,29,,3,40
6490,Action,TN,1863,"Dec. 26: Action, Mossy Creek",1863-12-26,1863-12-26,INDIANA--2d and 4th Cavalry. KENTUCKY--7th Cavalry. MICHIGAN--9th Cavalry. OHIO--2d and 7th Cavalry. WISCONSIN--1st Cavalry.,,,,,,
6491,Skirmish,TN,1863,"Dec. 27: Skirmish, Grisson's Bridge",1863-12-27,1863-12-27,ILLINOIS--117th Infantry (Detachment). INDIANA--89th Infantry (Detachment).,,,,,,
6492,Skirmish,TN,1863,Dec. 27: Skirmish near Moscow,1863-12-27,1863-12-27,ILLINOIS--9th Cavalry; 117th Infantry (Detachment). INDIANA--89th Infantry (Detachment).,,,,,,
6493,Skirmish,TN,1863,"Dec. 27: Skirmish, La Fayette",1863-12-27,1863-12-27,"ILLINOIS--117th Infantry (Detachment). INDIANA--89th Infantry (Detachment). OHIO--95th Infantry (Detachment). Union loss (including Colliersville, Dec. 27), 2 wounded, 8 missing. Total, 10.",,2,8,,,10
6494,Skirmish,TN,1863,"Dec. 27: Skirmish, Huntingdon",1863-12-27,1863-12-27,INDIANA--7th Cavalry.,,,,,,
6495,Skirmish,TN,1863,"Dec. 27: Skirmish, Colliersville",1863-12-27,1863-12-27,"ILLINOIS--6th and 9th Cavalry. IOWA--2d Cavalry. OHIO--95th Infantry. Loss included in LaFayette, Dec. 27.",,,,,,
6496,Skirmish,TN,1863,"Dec. 27: Skirmish, Talbot's Station",1863-12-27,1863-12-27,INDIANA--2d and 4th Cavalry; 18th Indpt. Battery Light Arty. KENTUCKY--7th Cavalry. PENNSYLVANIA--9th Cavalry. TENNESSEE--1st Cavalry. WISCONSIN--1st Cavalry.,,,,,,
6497,Skirmish,TN,1863,"Dec. 28: Skirmish and Action, Charlestown, Calhoun",1863-12-28,1863-12-28,"KENTUCKY--23d Infantry (Detachment). OHIO--4th Cavalry (Detachment); 59th, 93d and 125th Infantry (Detachments). WISCONSIN--15th Infantry (Detachment). Col. Laibold's Command, guarding Wagon Train, Union loss, 2 killed, 17 wounded. Total, 19.",,17,,,2,19
6498,Expedition,TN,1863,"Dec. 28-Jan. 4, '64: Expedition from Nashville to Creelsborough",1863-12-28,1863-01-04,ILLINOIS--129th Infantry (Detachment).,,,,,,
6499,Expedition,TN,1863,"Dec. 28-Jan. 8, '64: Expedition (Smith's) from Nashville to Corinth, Miss.",1863-12-28,1863-01-08,"INDIANA--72d Mounted Infantry. KENTUCKY--3d and 5th Cavalry; 28th Mounted Infantry. TENNESSEE--2d, 3d and 4th Cavalry. UNITED STATES--4th Cavalry.",,,,,,
6500,Skirmish,TN,1863,"Dec. 29: Skirmish, La Vergne",1863-12-29,1863-12-29,TENNESSEE--5th Cavalry.,,,,,,
6501,Engagement,TN,1863,"Dec. 29: Engagement, Mossy Creek, Talbot Station",1863-12-29,1863-12-29,"ILLINOIS--Colvin's Indpt. Battery Light Arty. INDIANA--2d and 4th Cavalry; 18th Indpt. Battery Light Arty. KENTUCKY--7th Cavalry; 16th Infantry. MICHIGAN--2d Cavalry; 25th Infantry. OHIO--10th Cavalry (Detachment); 118th Infantry. PENNSYLVANIA--9th and 15th (Detachment) Cavalry. TENNESSEE--1st Cavalry; 1st Mounted Infantry. WISCONSIN--1st Cavalry. Union loss, 18 killed, 86 wounded, 5 missing. Total, 109.",,86,5,,18,109
6502,Skirmish,TN,1863,"Dec. 29: Skirmish, Cleveland",1863-12-29,1863-12-29,(No Reports.),,,,,,
6503,Scout,TN,1863,Dec. 29-30: Scout to Bean Station,1863-12-29,1863-12-30,KENTUCKY--11th and 27th Mounted Infantry (Detachments).,,,,,,
6504,Skirmish,TN,1863,"Dec. 31: Skirmish, Powell River, near Stickleyville, Virginia",1863-12-31,1863-12-31,(No Reports.),,,,,,
6505,Skirmish,TN,1864,"Jan. 1: Skirmish, Dandridge",1864-01-01,1864-01-01,(No Reports.),,,,,,
6506,Skirmish,TN,1864,"Jan. 2: Skirmish, La Grange",1864-01-02,1864-01-02,ILLINOIS--7th Cavalry.,,,,,,
6507,Scout,TN,1864,"Jan. 3: Scout from Memphis toward Hernando, Miss.",1864-01-03,1864-01-03,ILLINOIS--6th Cavalry.,,,,,,
6508,Occupation,TN,1864,Jan. 4-14: Operations about Sparta,1864-01-04,1864-01-14,INDIANA--8th Cavalry.,,,,,,
6509,Skirmish,TN,1864,"Jan. 5: Skirmish, Lawrence's Mills",1864-01-05,1864-01-05,Foraging party.,,,,,,
6510,Skirmish,TN,1864,Jan. 10: Skirmish near Mossy Creek,1864-01-10,1864-01-10,"INDIANA--2d and 4th Cavalry (Detachments). WISCONSIN--1st Cavalry (Detachment). Union loss, 4 killed, 7 wounded. Total, 11.",,7,,,4,11
6511,Scout,TN,1864,Jan. 10-11: Scout from Dandridge to Clark's Ferry,1864-01-10,1864-01-11,PENNSYLVANIA--15th Cavalry (Detachment).,,,,,,
6512,Scout,TN,1864,Jan. 11: Scout to Lexington,1864-01-11,1864-01-11,TENNESSEE--7th Cavalry.,,,,,,
6513,Expedition,TN,1864,Jan. 11-12: Expedition from Maysville up Little Tennessee River,1864-01-11,1864-01-12,INDIANA--3d Cavalry.,,,,,,
6514,Skirmish,TN,1864,Jan. 12: Skirmish near Mossy Creek,1864-01-12,1864-01-12,INDIANA--2d and 4th Cavalry (Detachments). TENNESSEE--2d and 3d Cavalry (Detachments). WISCONSIN--1st Cavalry (Detachment).,,,,,,
6515,Skirmish,TN,1864,Jan. 13: Skirmish near Colliersville,1864-01-13,1864-01-13,ILLINOIS--9th Cavalry (Detachment).,,,,,,
6516,Skirmish,TN,1864,"Jan. 13: Skirmish, Seviersville",1864-01-13,1864-01-13,(No Reports.),,,,,,
6517,Skirmish,TN,1864,"Jan. 14: Skirmish, Schulz's Mill, Cosby Creek",1864-01-14,1864-01-14,OHIO--10th Cavalry (Detachment). PENNSYLVANIA--15th Cavalry (Detachment).,,,,,,
6518,Scout,TN,1864,Jan. 14: Scout from Colliersville,1864-01-14,1864-01-14,ILLINOIS--9th Cavalry.,,,,,,
6519,Skirmish,TN,1864,"Jan. 14: Skirmish, Middletown",1864-01-14,1864-01-14,IOWA--35th Infantry. Union loss. 4 missing.,0,0,4,0,0,4
