BattlefieldCode,BattleName,BattleType,CampaignCode,CampaignDates,CampaignName,Comment,EndDate,ID,Result,ShortSummary,ShortSummarySource,State,Summary,SummarySource,TheaterCode,TheaterName,TotalCasualties
NM001,Valverde,Engagement,TM62-01,February-March 1862,Sobley's New Mexico Operations,,2/21/1862,2780,Confederate Victory," Brig. Gen. Henry H. Sibley led his force of 2,500 men across the Rio Grande River and up the east side of the river to the ford at Valverde, north of Fort Craig, New Mexico, hoping to cut Federal communications between the fort and military headquarters in Santa Fe. Union Col. E.R.S. Canby left Fort Craig with more than 3,000 men to prevent the Confederates from crossing the river. When he was opposite them, across the river, Canby opened fire and sent Union cavalry over, forcing the Rebels back. The Confederates halted their retirement at the Old Rio Grande riverbed, which served as an excellent position. After crossing all his men, Canby decided that a frontal assault would fail and deployed his force to assault and turn the Confederate left flank. Before he could do so, though, the Rebels attacked. Federals rebuffed a cavalry charge, but the main Confederate force made a frontal attack, capturing six artillery pieces and forcing the Union battle line to break and many of the men to flee. Canby ordered a retreat. Confederate reinforcements arrived and Sibley was about to order another attack when Canby asked for a truce, by a white flag, to remove the bodies of the dead and wounded. Left in possession of the battlefield, the Confederates claimed victory but had suffered heavy casualties. Although the Confederates would soon occupy Santa Fe, they would have to leave New Mexico within four months.", ,NM," Brig. Gen. Henry H. Sibley led his force of 2,500 men across the Rio Grande River and up the east side of the river to the ford at Valverde, north of Fort Craig, New Mexico, hoping to cut Federal communications between the fort and military headquarters in Santa Fe. Union Col. E.R.S. Canby left Fort Craig with more than 3,000 men to prevent the Confederates from crossing the river. When he was opposite them, across the river, Canby opened fire and sent Union cavalry over, forcing the Rebels back. The Confederates halted their retirement at the Old Rio Grande riverbed, which served as an excellent position. After crossing all his men, Canby decided that a frontal assault would fail and deployed his force to assault and turn the Confederate left flank. Before he could do so, though, the Rebels attacked. Federals rebuffed a cavalry charge, but the main Confederate force made a frontal attack, capturing six artillery pieces and forcing the Union battle line to break and many of the men to flee. Canby ordered a retreat. Confederate reinforcements arrived and Sibley was about to order another attack when Canby asked for a truce, by a white flag, to remove the bodies of the dead and wounded. Left in possession of the battlefield, the Confederates claimed victory but had suffered heavy casualties. Although the Confederates would soon occupy Santa Fe, they would have to leave New Mexico within four months.",,TM,Trans-Mississippi Theater,450
NM002,Glorieta Pass,Engagement,TM62-01,February-March 1862,Sobley's New Mexico Operations,,3/28/1862,531,Union Victory,"Glorieta Pass was a strategic location, situated at the southern tip of the Sangre de Cristo Mountains, southeast of Santa Fe, and on the Santa Fe Trail. In March 1862, a Confederate force of 200-300 Texans under the command of Maj. Charles L. Pyron encamped at Johnson’s Ranch, at one end of the pass. Union Maj. John M. Chivington led more than 400 soldiers to the Pass and on the morning of March 26 moved out to attack. After noon, Chivington’s men captured some Rebel advance troops and then found the main force behind them. Chivington advanced on them, but their artillery fire threw him back. He regrouped, split his force to the two sides of the pass, caught the Rebels in a crossfire, and soon forced them to retire. Pyron and his men retired about a mile and a half to a narrow section of the pass and formed a defensive line before Chivington’s men appeared. The Yankees flanked Pyron’s men again and punished them with enfilade fire. The Confederates fled again and the Union cavalry charged, capturing the rearguard. Chivington then retired and went into camp at Kozlowski’s Ranch. No fighting occurred the next day as reinforcements arrived for both sides. Lt. Col. William R. Scurry’s troops swelled the Rebel ranks to about 1,100 while Union Col. John P. Slough arrived with about 900 men. Both Slough and Scurry decided to attack and set out early on the 28th to do so. As Scurry advanced down the canyon, he saw the Union forces approaching, so he established a battle line, including his dismounted cavalry. Slough hit them before 11:00 am. The Confederates held their ground and then attacked and counterattacked throughout the afternoon. The fighting then ended as Slough retired first to Pigeon’s Ranch and then to Kozlowski’s Ranch. Scurry soon left the field also, thinking he had won the battle. Chivington’s men, how-ever, had destroyed all Scurry’s supplies and animals at Johnson’s Ranch, forcing him to retreat to Santa Fe, the first step on the long road back to San Antonio, Texas. The Federals had won and, thereby, stopped Confederate incursions into the Southwest. Glorieta Pass was the turning point of the war in the New Mexico Territory.",,NM,"Glorieta Pass was a strategic location, situated at the southern tip of the Sangre de Cristo Mountains, southeast of Santa Fe, and on the Santa Fe Trail. In March 1862, a Confederate force of 200-300 Texans under the command of Maj. Charles L. Pyron encamped at Johnson’s Ranch, at one end of the pass. Union Maj. John M. Chivington led more than 400 soldiers to the Pass and on the morning of March 26 moved out to attack. After noon, Chivington’s men captured some Rebel advance troops and then found the main force behind them. Chivington advanced on them, but their artillery fire threw him back. He regrouped, split his force to the two sides of the pass, caught the Rebels in a crossfire, and soon forced them to retire. Pyron and his men retired about a mile and a half to a narrow section of the pass and formed a defensive line before Chivington’s men appeared. The Yankees flanked Pyron’s men again and punished them with enfilade fire. The Confederates fled again and the Union cavalry charged, capturing the rearguard. Chivington then retired and went into camp at Kozlowski’s Ranch. No fighting occurred the next day as reinforcements arrived for both sides. Lt. Col. William R. Scurry’s troops swelled the Rebel ranks to about 1,100 while Union Col. John P. Slough arrived with about 900 men. Both Slough and Scurry decided to attack and set out early on the 28th to do so. As Scurry advanced down the canyon, he saw the Union forces approaching, so he established a battle line, including his dismounted cavalry. Slough hit them before 11:00 am. The Confederates held their ground and then attacked and counterattacked throughout the afternoon. The fighting then ended as Slough retired first to Pigeon’s Ranch and then to Kozlowski’s Ranch. Scurry soon left the field also, thinking he had won the battle. Chivington’s men, how-ever, had destroyed all Scurry’s supplies and animals at Johnson’s Ranch, forcing him to retreat to Santa Fe, the first step on the long road back to San Antonio, Texas. The Federals had won and, thereby, stopped Confederate incursions into the Southwest. Glorieta Pass was the turning point of the war in the New Mexico Territory.",,TM,Trans-Mississippi Theater,359
OH001,Buffington Island,No Data,MW63-05,July 1863,Morgan's Raid in Kentucky Indiana and Ohio,,7/19/1863,532,Union Victory,"On July 13, Morgan’s raiders crossed into Ohio at Harrison, pursued by several columns of Union cavalry under overall direction of Brig. Gen. Edward H. Hobson. On July 19, Kautz’s and Judah’s brigades attacked Morgan near Buffington Island.  During the night, Morgan and about 400 men escaped encirclement by following a narrow woods path. The rest of his force surrendered.",,OH,"On July 13, Morgan’s raiders crossed into Ohio at Harrison, pursued by several columns of Union cavalry under overall direction of Brig. Gen. Edward H. Hobson. On July 19, Kautz’s and Judah’s brigades attacked Morgan near Buffington Island.  During the night, Morgan and about 400 men escaped encirclement by following a narrow woods path. The rest of his force surrendered.",,MW,Main Western Theater Minus the Gulf Approach,925
OH002,Salineville,No Data,MW63-05,July 1863,Morgan's Raid in Kentucky Indiana and Ohio,,7/26/1863,533,Union Victory,"After escaping encirclement at Buffington’s Island with about 400 of his men, Morgan continued east and north, attempting to find a safe crossing over the Ohio River. With several columns of Union cavalry in hot pursuit, Morgan passed through Salineville, riding down the railroad toward Smith’s Ford. Turning onto the New Lisbon Road, Morgan’s raiders were finally cut off.  Morgan surrendered. During this raid, Morgan and his men captured and paroled about 6,000 Union soldiers and militia, destroyed 34 bridges, disrupted the railroads at more than 60 places, and diverted tens of thousands of troops from other duties.",,OH,"After escaping encirclement at Buffington’s Island with about 400 of his men, Morgan continued east and north, attempting to find a safe crossing over the Ohio River. With several columns of Union cavalry in hot pursuit, Morgan passed through Salineville, riding down the railroad toward Smith’s Ford. Turning onto the New Lisbon Road, Morgan’s raiders were finally cut off.  Morgan surrendered. During this raid, Morgan and his men captured and paroled about 6,000 Union soldiers and militia, destroyed 34 bridges, disrupted the railroads at more than 60 places, and diverted tens of thousands of troops from other duties.",,MW,Main Western Theater Minus the Gulf Approach,364
OK001,Round Mountain,Engagement,TM61-02,November-December 1861,Operations in the Indian Territory,,11/19/1861,2781,Confederate Victory,"Col. Douglas H. Cooper, Confederate commander of the Indian Department, had not been able to reconcile differences with Chief Opothleyahola, who commanded a band of Unionist Creeks and Seminoles. Cooper set out on November 15, 1861, with about 1,400 men to  either compel submission . . . or “drive him and his party from the country.”  His force rode up the Deep Fork of the Canadian River towards Chief Opothleyahola’s camp which they found deserted. On the 19th, Cooper learned from captured prisoners that part of Chief Opothleyahola’s band was at the Red Fork of the Arkansas River, where they were erecting a fort. Cooper’s men arrived there around 4:00 pm and ordered a cavalry charge which discovered that Chief Opothleyahola’s band had recently abandoned the camp. The Confederates did find some stragglers beyond the camp and followed them, blundering into Chief Opothleyahola’s camp. The Federals fired into the Rebel cavalry and, in large force, came out to attack them. They chased the Confederates back to Cooper’s main force. Darkness prevented Cooper from attacking until the main enemy force was within 60 yards. A short fight ensued but Chief Opothleyahola’s men broke it off and retreated back to their camp. Cooper set out for Chief Opothleyahola’s camp the next morning but found it gone. The Confederates claimed victory because Chief Opothleyahola had left the area. This was the first of three encounters between Chief Opothleyahola’s Union bands and Confederate troops. The chief was forced to flee Oklahoma for Kansas at the end of the year.", ,OK,,,TM,Trans-Mississippi Theater,10
OK002,Chusto-Talasah,Engagement,TM61-02,November-December 1861,Operations in the Indian Territory,,12/9/1861,535,Confederate Victory,"Following Chief Opothleyahola and his Union force’s defeat at Round Mountain, he retreated northeastward, in search of safety. On December 9, 1861, the force was at Chusto-Talasah, or Caving Banks, on the Horseshoe Bend of Bird Creek when Col. Douglas H. Cooper’s 1,300 Confederates attacked Chief Opothleyahola around 2:00 pm. Chief Opothleyahola knew Cooper was coming and had placed his troops in a strong position at Horseshoe Bend. For almost four hours, Cooper attacked and attempted to outflank the Federals, finally driving them east across Bird Creek just before dark. Cooper camped there overnight but did not pursue the Federals because he was short of ammunition.  The Confederates claimed victory. Chief Opothleyahola and his band moved off in search of security elsewhere. Although the Confederates had gained a victory, they would win a resounding one later in the month at Chustenahlah.",,OK,"Following Chief Opothleyahola and his Union force’s defeat at Round Mountain, he retreated northeastward, in search of safety. On December 9, 1861, the force was at Chusto-Talasah, or Caving Banks, on the Horseshoe Bend of Bird Creek when Col. Douglas H. Cooper’s 1,300 Confederates attacked Chief Opothleyahola around 2:00 pm. Chief Opothleyahola knew Cooper was coming and had placed his troops in a strong position at Horseshoe Bend. For almost four hours, Cooper attacked and attempted to outflank the Federals, finally driving them east across Bird Creek just before dark. Cooper camped there overnight but did not pursue the Federals because he was short of ammunition.  The Confederates claimed victory. Chief Opothleyahola and his band moved off in search of security elsewhere. Although the Confederates had gained a victory, they would win a resounding one later in the month at Chustenahlah.",,TM,Trans-Mississippi Theater,464
OK003,Chustenahlah,Engagement,TM61-02,November-December 1861,Operations in the Indian Territory,,12/26/1861,536,Confederate Victory,"Confederate troops had undertaken a campaign to subdue the Native American Union sympathizers in Indian Territory and consolidate control. They had attacked Chief Opothleyahola’s band of Creeks and Seminoles earlier at Round Mountain and Chusto-Talasah. Now, they wanted to finish them off by assaulting them in their camp at Chustenahlah in a well-protected cove on Battle Creek. Col. James McQueen McIntosh and Col. Douglas H. Cooper, commanding the Indian Department, planned a combined attack with each of their columns moving on the camp from different directions. McIntosh left Fort Gibson on December 22, with 1,380 men. On the 25th, he was informed that Cooper’s force could not join for a while, but he decided to attack the next day, despite being outnumbered. McIntosh attacked the camp at noon on the 26th. The Union defenders were secluded in the underbrush along the slope of a rugged hill, but as the Confederate attack came forward, the Native Americans began to fall back, taking cover for a while and then moving back. The retreat became a rout as the Federals reached their camp. They attempted to make a stand there but were forced away again. The survivors fled;  many went all the way to Kansas where they found loyal Unionists. Chief Opothleyahola’s band of Creeks and Seminoles mounted no resistance again.",,OK,"Confederate troops had undertaken a campaign to subdue the Native American Union sympathizers in Indian Territory and consolidate control. They had attacked Chief Opothleyahola’s band of Creeks and Seminoles earlier at Round Mountain and Chusto-Talasah. Now, they wanted to finish them off by assaulting them in their camp at Chustenahlah in a well-protected cove on Battle Creek. Col. James McQueen McIntosh and Col. Douglas H. Cooper, commanding the Indian Department, planned a combined attack with each of their columns moving on the camp from different directions. McIntosh left Fort Gibson on December 22, with 1,380 men. On the 25th, he was informed that Cooper’s force could not join for a while, but he decided to attack the next day, despite being outnumbered. McIntosh attacked the camp at noon on the 26th. The Union defenders were secluded in the underbrush along the slope of a rugged hill, but as the Confederate attack came forward, the Native Americans began to fall back, taking cover for a while and then moving back. The retreat became a rout as the Federals reached their camp. They attempted to make a stand there but were forced away again. The survivors fled;  many went all the way to Kansas where they found loyal Unionists. Chief Opothleyahola’s band of Creeks and Seminoles mounted no resistance again.",,TM,Trans-Mississippi Theater,251
OK004,Old Fort Wayne,Action,TM62-05,August-November 1862,Confederate Offensive North of Boston Mountains,,10/22/1862,537,Union Victory,"Brig. Gen. James G. Blunt and his troops attacked Col. Douglas H. Cooper and his Confederate command on Beatties Prairie near Old Fort Wayne at 7:00 am on October 22, 1862. The Confederates put up stiff resistance for a half hour, but overwhelming numbers forced them to retire from the field in haste, leaving artillery and equipage behind. This was a setback in the 1862 Confederate offensive that extended from the tidewater in the east to the plains of the Indian Territory of the west.",,OK,"Brig. Gen. James G. Blunt and his troops attacked Col. Douglas H. Cooper and his Confederate command on Beatties Prairie near Old Fort Wayne at 7:00 am on October 22, 1862. The Confederates put up stiff resistance for a half hour, but overwhelming numbers forced them to retire from the field in haste, leaving artillery and equipage behind. This was a setback in the 1862 Confederate offensive that extended from the tidewater in the east to the plains of the Indian Territory of the west.",,TM,Trans-Mississippi Theater,164
OK005,Middle Boggy Depot,No Data,TM64-01,March-April 1864,Red River Campaign,,2/13/1864,2782,Union Victory,"While on an expedition in February 1864 to meet, defeat or destroy Confederate forces in Indian Territory, Union Maj. Charles Willette and his troops surprised a Confederate force at Middle Boggy Depot on February 13. Although poorly armed, the Rebels made a determined stand for a half hour before retiring.  The Union forces killed 47 Confederates during this short fight.  Fear of the arrival of fresh Confederate forces influenced the Federals to retire to Fort Gibson. During Col. John F. Phillips’s Indian Territory expedition, he and his men fought with and dispersed numerous Confederate forces. Middle Boggy Depot was, perhaps, the largest encounter during the expedition.", ,OK,,,TM,Trans-Mississippi Theater,47
OK006,Cabin Creek,Engagement,TM63-04,June-September 1863,Operations to Control Indian Territory,,7/2/1863,539,Union Victory,"Col. James M. Williams of the First Kansas Colored Infantry led a Union supply train from Fort Scott, Kansas, to Fort Gibson, Oklahoma (then Indian Territory). As he approached the crossing of Cabin Creek, he learned that Confederate Col. Stand Watie, with about 1,600 to 1,800 men intended to assault him there. Watie was waiting for about 1,500 reinforcements under the command of Brig. Gen. William L. Cabell to join him before attacking the supply train. Cabell, however, was detained due to high water on Grand River. Cabin Creek also had high water, preventing a crossing at first, but when it had receded enough, Williams drove the Confederates off with artillery fire and two cavalry charges. The wagon train continued to Fort Gibson and delivered the supplies, making it possible for the Union forces to maintain their presence in Indian territory and take the offensive that resulted in a victory at Honey Springs and the fall of Fort Smith, Arkansas.",,OK,"Col. James M. Williams of the First Kansas Colored Infantry led a Union supply train from Fort Scott, Kansas, to Fort Gibson, Oklahoma (then Indian Territory). As he approached the crossing of Cabin Creek, he learned that Confederate Col. Stand Watie, with about 1,600 to 1,800 men intended to assault him there. Watie was waiting for about 1,500 reinforcements under the command of Brig. Gen. William L. Cabell to join him before attacking the supply train. Cabell, however, was detained due to high water on Grand River. Cabin Creek also had high water, preventing a crossing at first, but when it had receded enough, Williams drove the Confederates off with artillery fire and two cavalry charges. The wagon train continued to Fort Gibson and delivered the supplies, making it possible for the Union forces to maintain their presence in Indian territory and take the offensive that resulted in a victory at Honey Springs and the fall of Fort Smith, Arkansas.",,TM,Trans-Mississippi Theater,80
OK007,Honey Springs,Engagement,TM63-04,June-September 1863,Operations to Control Indian Territory,,7/17/1863,540,Union Victory,"Union and Confederate troops had frequently skirmished in the vicinity of Honey Springs Depot. The Union commander in the area, Maj. Gen. James G. Blunt, correctly surmised that Confederate forces, mostly Native American troops under the command of Brig. Gen. Douglas H. Cooper, were about to concentrate and would then attack his force at Fort Gibson. He decided to defeat the Confederates at Honey Springs Depot before they were joined by Brig. Gen. William Cabell’s brigade, advancing from Fort Smith, Arkansas. Blunt began crossing the swollen Arkansas River on July 15, 1863, and, by midnight on July 16-17, he had a force of 3,000 men, composed of whites, Native Americans, and African Americans, marching toward Honey Springs. Blunt skirmished with Rebel troops early on the morning of the 17th, and by midafternoon, full-scale fighting ensued. The Confederates had wet powder, causing misfires, and the problem intensified when rain began.  After repulsing one attack, Cooper pulled his forces back to obtain new ammunition. In the meantime, Cooper began to experience command problems, and he learned that Blunt was about to turn his left flank. The Confederate retreat began, and although Cooper fought a rearguard action, many of those troops counterattacked, failed, and fled. Any possibility of the Confederates taking Fort Gibson was gone. Following this battle, Union forces controlled Indian Territory, north of the Arkansas River.",,OK,"Union and Confederate troops had frequently skirmished in the vicinity of Honey Springs Depot. The Union commander in the area, Maj. Gen. James G. Blunt, correctly surmised that Confederate forces, mostly Native American troops under the command of Brig. Gen. Douglas H. Cooper, were about to concentrate and would then attack his force at Fort Gibson. He decided to defeat the Confederates at Honey Springs Depot before they were joined by Brig. Gen. William Cabell’s brigade, advancing from Fort Smith, Arkansas. Blunt began crossing the swollen Arkansas River on July 15, 1863, and, by midnight on July 16-17, he had a force of 3,000 men, composed of whites, Native Americans, and African Americans, marching toward Honey Springs. Blunt skirmished with Rebel troops early on the morning of the 17th, and by midafternoon, full-scale fighting ensued. The Confederates had wet powder, causing misfires, and the problem intensified when rain began.  After repulsing one attack, Cooper pulled his forces back to obtain new ammunition. In the meantime, Cooper began to experience command problems, and he learned that Blunt was about to turn his left flank. The Confederate retreat began, and although Cooper fought a rearguard action, many of those troops counterattacked, failed, and fled. Any possibility of the Confederates taking Fort Gibson was gone. Following this battle, Union forces controlled Indian Territory, north of the Arkansas River.",,TM,Trans-Mississippi Theater,211
PA001,Hanover,Action,ME63-04,June-July 1863,Gettysburg Campaign,,6/30/1863,541,Indecisive,"Maj. Gen. J.E.B. Stuart’s cavalry, which was riding north to get around the Union army, attacked a Union cavalry regiment, driving it through the streets of Hanover. Brig. Gen. Farnsworth’s brigade arrived and counterattacked, routing the Confederate vanguard and nearly capturing Stuart himself. Stuart counterattacked. Reinforced by Brig. Gen. George A. Custer’s brigade, Farnsworth held his ground, and a stalemate ensued. Stuart was forced to continue north and east to get around the Union cavalry, further delaying his attempt to rejoin Lee’s army which was then concentrating at Cashtown Gap west of Gettysburg.",,PA,"Maj. Gen. J.E.B. Stuart’s cavalry, which was riding north to get around the Union army, attacked a Union cavalry regiment, driving it through the streets of Hanover. Brig. Gen. Farnsworth’s brigade arrived and counterattacked, routing the Confederate vanguard and nearly capturing Stuart himself. Stuart counterattacked. Reinforced by Brig. Gen. George A. Custer’s brigade, Farnsworth held his ground, and a stalemate ensued. Stuart was forced to continue north and east to get around the Union cavalry, further delaying his attempt to rejoin Lee’s army which was then concentrating at Cashtown Gap west of Gettysburg.",,ME,Main Eastern Theater,228
PA002,Gettysburg,Battle,ME63-04,June-July 1863,Gettysburg Campaign,,7/3/1863,521,Union Victory,"Gen. Robert E. Lee concentrated his full strength against Maj. Gen. George G. Meade’s Army of the Potomac at the crossroads county seat of Gettysburg. On July 1, Confederate forces converged on the town from west and north, driving Union defenders back through the streets to Cemetery Hill. During the night, reinforcements arrived for both sides. On July 2, Lee attempted to envelop the Federals, first striking the Union left flank at the Peach Orchard, Wheatfield, Devil’s Den, and the Round Tops with Longstreet’s and Hill’s divisions, and then attacking the Union right at Culp’s and East Cemetery Hills with Ewell’s divisions. By evening, the Federals retained Little Round Top and had repulsed most of Ewell’s men. During the morning of July 3, the Confederate infantry were driven from their last toe-hold on Culp’s Hill. In the afternoon, after a preliminary artillery bombardment, Lee attacked the Union center on Cemetery Ridge. The Pickett-Pettigrew assault (more popularly, Pickett’s Charge) momentarily pierced the Union line but was driven back with severe casualties. Stuart’s cavalry attempted to gain the Union rear but was repulsed. On July 4, Lee began withdrawing his army toward Williamsport on the Potomac River. His train of wounded stretched more than fourteen miles.",,PA,"Gen. Robert E. Lee concentrated his full strength against Maj. Gen. George G. Meade’s Army of the Potomac at the crossroads county seat of Gettysburg. On July 1, Confederate forces converged on the town from west and north, driving Union defenders back through the streets to Cemetery Hill. During the night, reinforcements arrived for both sides. On July 2, Lee attempted to envelop the Federals, first striking the Union left flank at the Peach Orchard, Wheatfield, Devil’s Den, and the Round Tops with Longstreet’s and Hill’s divisions, and then attacking the Union right at Culp’s and East Cemetery Hills with Ewell’s divisions. By evening, the Federals retained Little Round Top and had repulsed most of Ewell’s men. During the morning of July 3, the Confederate infantry were driven from their last toe-hold on Culp’s Hill. In the afternoon, after a preliminary artillery bombardment, Lee attacked the Union center on Cemetery Ridge. The Pickett-Pettigrew assault (more popularly, Pickett’s Charge) momentarily pierced the Union line but was driven back with severe casualties. Stuart’s cavalry attempted to gain the Union rear but was repulsed. On July 4, Lee began withdrawing his army toward Williamsport on the Potomac River. His train of wounded stretched more than fourteen miles.",,ME,Main Eastern Theater,51000
SC001,Fort Sumter I,Bombardment,LS61-01,April 1861,Operations in Charleston Harbor,,4/14/1861,526,Indecisive,"On April 10, 1861, Brig. Gen. Beauregard, in command of the provisional Confederate forces at Charleston, South Carolina, demanded the surrender of the Union garrison of Fort Sumter in Charleston Harbor. Garrison commander Anderson refused. On April 12, Confederate batteries opened fire on the fort, which was unable to reply effectively. At 2:30 pm, April 13, Major Anderson surrendered Fort Sumter, evacuating the garrison on the following day. The bombardment of Fort Sumter was the opening engagement of the American Civil War. Although there were no casualties during the bombardment, one Union artillerist was killed and three wounded (one mortally) when a cannon exploded prematurely while firing a salute during the evacuation on April 14.",,SC,"On April 10, 1861, Brig. Gen. Beauregard, in command of the provisional Confederate forces at Charleston, South Carolina, demanded the surrender of the Union garrison of Fort Sumter in Charleston Harbor. Garrison commander Anderson refused. On April 12, Confederate batteries opened fire on the fort, which was unable to reply effectively. At 2:30 pm, April 13, Major Anderson surrendered Fort Sumter, evacuating the garrison on the following day. The bombardment of Fort Sumter was the opening engagement of the American Civil War. Although there were no casualties during the bombardment, one Union artillerist was killed and three wounded (one mortally) when a cannon exploded prematurely while firing a salute during the evacuation on April 14.",,LS,Lower Seaboard Theater and 1861-63 Gulf Approach,15
SC002,Secessionville,Engagement,LS62-03,June 1862,Operations Against Charleston,,6/16/1862,530,Confederate Victory,"Early June 1862, Maj. Gen. David Hunter transported Horatio G. Wright’s and Isaac I. Stevens’s Union divisions under immediate direction of Brig. Gen. Henry Benham to James Island where they entrenched at Grimball’s Landing near the southern flank of the Confederate defenses. On June 16, contrary to Hunter’s orders, Benham launched an unsuccessful frontal assault against Fort Lamar at Secessionville. Because Benham was said to have disobeyed orders, Hunter relieved him of command.",,SC,"Early June 1862, Maj. Gen. David Hunter transported Horatio G. Wright’s and Isaac I. Stevens’s Union divisions under immediate direction of Brig. Gen. Henry Benham to James Island where they entrenched at Grimball’s Landing near the southern flank of the Confederate defenses. On June 16, contrary to Hunter’s orders, Benham launched an unsuccessful frontal assault against Fort Lamar at Secessionville. Because Benham was said to have disobeyed orders, Hunter relieved him of command.",,LS,Lower Seaboard Theater and 1861-63 Gulf Approach,887
SC003,Simmon's Bluff,Engagement,LS62-03,June 1862,Operations Against Charleston,,6/21/1862,542,Union Victory,"In June, the Federals besieging Charleston mounted an amphibious expedition to cut the Charleston & Savannah Railroad. On June 21, troops of the 55th Pennsylvania landed from the gunboat Crusader and transport Planter near Simmon’s Bluff on Wadmelaw Sound, surprising and burning an encampment of the 16th South Carolina Infantry. The Confederates scattered, and the Federals returned to their ships. Despite this minor victory, the Federals abandoned their raid on the railroad. Although a bloodless raid, this engagement typified scores of similar encounters that occurred along the South Carolina coastline.",,SC,"In June, the Federals besieging Charleston mounted an amphibious expedition to cut the Charleston & Savannah Railroad. On June 21, troops of the 55th Pennsylvania landed from the gunboat Crusader and transport Planter near Simmon’s Bluff on Wadmelaw Sound, surprising and burning an encampment of the 16th South Carolina Infantry. The Confederates scattered, and the Federals returned to their ships. Despite this minor victory, the Federals abandoned their raid on the railroad. Although a bloodless raid, this engagement typified scores of similar encounters that occurred along the South Carolina coastline.",,LS,Lower Seaboard Theater and 1861-63 Gulf Approach,0
SC004,Charleston Harbor I,No Data,LS63-03,April-September 1863,Operations Against Defenses of Charleston,,4/7/1863,543,Confederate Victory,"In April, Maj. Gen. David Hunter prepared his land forces on Folly, Cole's, and North Edisto Islands to cooperate with a naval bombardment of Fort Sumter. On April 7, the South Atlantic Squadron under Rear Admiral S.F. Du Pont bombarded Fort Sumter, having little impact on the Confederate defenses of Charleston Harbor. Although several of Hunter’s units had embarked on transports, the infantry were not landed, and the joint operation was abandoned. The ironclad warships Keokuk, Weehawken, Passaic, Montauk, Patapsco, New Ironsides, Catskill, Nantucket, and Nahant participated in the bombardment.  Keokuk, struck more than 90 times by the accurate Confederate fire, sunk the next day.",,SC,"In April, Maj. Gen. David Hunter prepared his land forces on Folly, Cole's, and North Edisto Islands to cooperate with a naval bombardment of Fort Sumter. On April 7, the South Atlantic Squadron under Rear Admiral S.F. Du Pont bombarded Fort Sumter, having little impact on the Confederate defenses of Charleston Harbor. Although several of Hunter’s units had embarked on transports, the infantry were not landed, and the joint operation was abandoned. The ironclad warships Keokuk, Weehawken, Passaic, Montauk, Patapsco, New Ironsides, Catskill, Nantucket, and Nahant participated in the bombardment.  Keokuk, struck more than 90 times by the accurate Confederate fire, sunk the next day.",,LS,Lower Seaboard Theater and 1861-63 Gulf Approach,36
SC005,Fort Wagner I,No Data,LS63-03,April-September 1863,Operations Against Defenses of Charleston,,7/11/1863,544,Confederate Victory,"On July 10, Union artillery on Folly Island together with Rear Adm. John Dahlgren’s fleet of ironclads opened fire on Confederate defenses of Morris Island. The bombardment provided cover for Brig. Gen. George C. Strong’s brigade, which crossed Light House Inlet and landed by boats on the southern tip of the island. Strong’s troops advanced, capturing several batteries, to within range of Confederate Fort Wagner. At dawn, July 11, Strong attacked the fort. Soldiers of the 7th Connecticut reached the parapet but, unsupported, were thrown back.",,SC,"On July 10, Union artillery on Folly Island together with Rear Adm. John Dahlgren’s fleet of ironclads opened fire on Confederate defenses of Morris Island. The bombardment provided cover for Brig. Gen. George C. Strong’s brigade, which crossed Light House Inlet and landed by boats on the southern tip of the island. Strong’s troops advanced, capturing several batteries, to within range of Confederate Fort Wagner. At dawn, July 11, Strong attacked the fort. Soldiers of the 7th Connecticut reached the parapet but, unsupported, were thrown back.",,LS,Lower Seaboard Theater and 1861-63 Gulf Approach,351
SC006,Grimball's Island,Engagement,LS63-03,April-September 1863,Operations Against Defenses of Charleston,,7/16/1863,545,Indecisive,"To divert Confederate reinforcements from a renewed attack on Fort Wagner, Gen. Gillmore designed two feints. An amphibious force ascended Stono River to threaten the Charleston & Savannah Railroad bridge. A second force, consisting of Terry’s division, landed on James Island on July 8. Terry demonstrated against the Confederate defenses. On July 16, the Confederates attacked Terry’s camp at Grimball’s Landing. Because of incomplete reconnaissance of the difficult, marshy ground, the disorganized Confederate attack was soon aborted. Their mission accomplished, Federal troops withdrew from the island on July 17.",,SC,"To divert Confederate reinforcements from a renewed attack on Fort Wagner, Gen. Gillmore designed two feints. An amphibious force ascended Stono River to threaten the Charleston & Savannah Railroad bridge. A second force, consisting of Terry’s division, landed on James Island on July 8. Terry demonstrated against the Confederate defenses. On July 16, the Confederates attacked Terry’s camp at Grimball’s Landing. Because of incomplete reconnaissance of the difficult, marshy ground, the disorganized Confederate attack was soon aborted. Their mission accomplished, Federal troops withdrew from the island on July 17.",,LS,Lower Seaboard Theater and 1861-63 Gulf Approach,64
